s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+4.33928571E-01,+0.00000000E+00,+2.28242786E-02,+1.91793544E-01,+1.93146864E-01,+1.45234897E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.15716031E-03,+2.12055137E-01,+2.12078638E-01,+1.55590903E+00
+4.50000000E-01,+0.00000000E+00,+2.43021066E-02,+1.90224780E-01,+1.91770851E-01,+1.44372995E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.15556175E-03,+2.12010326E-01,+2.12033809E-01,+1.55591343E+00
+4.66071429E-01,+0.00000000E+00,+2.58330299E-02,+1.88599687E-01,+1.90360677E-01,+1.43467060E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.15390637E-03,+2.11963910E-01,+2.11987373E-01,+1.55591797E+00
+4.82142857E-01,+0.00000000E+00,+2.74169798E-02,+1.86918341E-01,+1.88918387E-01,+1.42515595E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.15219429E-03,+2.11915891E-01,+2.11939334E-01,+1.55592268E+00
+4.98214286E-01,+0.00000000E+00,+2.90538858E-02,+1.85180821E-01,+1.87446165E-01,+1.41517033E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.15042565E-03,+2.11866272E-01,+2.11889694E-01,+1.55592754E+00
+5.14285714E-01,+0.00000000E+00,+3.07436746E-02,+1.83387208E-01,+1.85946341E-01,+1.40469736E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.14860061E-03,+2.11815055E-01,+2.11838455E-01,+1.55593256E+00
+5.30357143E-01,+0.00000000E+00,+3.24862708E-02,+1.81537586E-01,+1.84421401E-01,+1.39371998E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.14671930E-03,+2.11762243E-01,+2.11785621E-01,+1.55593774E+00
+5.46428571E-01,+0.00000000E+00,+3.42815970E-02,+1.79632042E-01,+1.82873996E-01,+1.38222045E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.14478190E-03,+2.11707839E-01,+2.11731195E-01,+1.55594307E+00
+5.62500000E-01,+0.00000000E+00,+3.61295731E-02,+1.77670664E-01,+1.81306952E-01,+1.37018038E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.14278856E-03,+2.11651846E-01,+2.11675178E-01,+1.55594856E+00
+5.78571429E-01,+0.00000000E+00,+3.80301169E-02,+1.75653543E-01,+1.79723279E-01,+1.35758077E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.14073943E-03,+2.11594267E-01,+2.11617576E-01,+1.55595420E+00
