s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+7.55357143E-01,+0.00000000E+00,+7.49914145E-01,-3.65285788E-01,+8.34149226E-01,-4.53277265E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.58681309E-01,-2.70094470E-01,+9.96002447E-01,-2.74617221E-01
+7.71428571E-01,+0.00000000E+00,+7.38345814E-01,-3.64756789E-01,+8.23530240E-01,-4.58851294E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.60911940E-01,-2.62484042E-01,+9.96117276E-01,-2.66656069E-01
+7.87500000E-01,+0.00000000E+00,+7.25671631E-01,-3.64429560E-01,+8.12039543E-01,-4.65403052E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.63195233E-01,-2.54451621E-01,+9.96238267E-01,-2.58274242E-01
+8.03571429E-01,+0.00000000E+00,+7.11699273E-01,-3.64350134E-01,+7.99541666E-01,-4.73157045E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.65531951E-01,-2.45953948E-01,+9.96366043E-01,-2.49429335E-01
+8.19642857E-01,+0.00000000E+00,+6.96182467E-01,-3.64576140E-01,+7.85866267E-01,-4.82410869E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.67922989E-01,-2.36938910E-01,+9.96501359E-01,-2.40070170E-01
+8.35714286E-01,+0.00000000E+00,+6.78799440E-01,-3.65180705E-01,+7.70795451E-01,-4.93568199E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.70369420E-01,-2.27342735E-01,+9.96645138E-01,-2.30134013E-01
+8.51785714E-01,+0.00000000E+00,+6.59119695E-01,-3.66258031E-01,+7.54044904E-01,-5.07191738E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.72872554E-01,-2.17085939E-01,+9.96798531E-01,-2.19542539E-01
+8.67857143E-01,+0.00000000E+00,+6.36550736E-01,-3.67931532E-01,+7.35234963E-01,-5.24092067E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.75434025E-01,-2.06067226E-01,+9.96963007E-01,-2.08195758E-01
+8.83928571E-01,+0.00000000E+00,+6.10248526E-01,-3.70365918E-01,+7.13844645E-01,-5.45484878E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.78055937E-01,-1.94153939E-01,+9.97140495E-01,-1.95962512E-01
+9.00000000E-01,+0.00000000E+00,+5.78958035E-01,-3.73785368E-01,+6.89135624E-01,-5.73288118E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.80741093E-01,-1.81166315E-01,+9.97333608E-01,-1.82664785E-01
+9.16071429E-01,+0.00000000E+00,+5.40707762E-01,-3.78500643E-01,+6.60020924E-01,-6.10732431E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.83493407E-01,-1.66849762E-01,+9.97546052E-01,-1.68050073E-01
+9.32142857E-01,+0.00000000E+00,+4.92165818E-01,-3.84946271E-01,+6.24828636E-01,-6.63760091E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.86318686E-01,-1.50821647E-01,+9.97783403E-01,-1.51738314E-01
+9.48214286E-01,+0.00000000E+00,+4.27091835E-01,-3.93708928E-01,+5.80873614E-01,-7.44749422E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.89226321E-01,-1.32456202E-01,+9.98054788E-01,-1.33107065E-01
+9.64285714E-01,+0.00000000E+00,+3.31811098E-01,-4.05370199E-01,+5.23854563E-01,-8.84853222E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.92233672E-01,-1.10586867E-01,+9.98377241E-01,-1.10994378E-01
+9.80357143E-01,+0.00000000E+00,+1.66711627E-01,-4.18380288E-01,+4.50371881E-01,-1.19161037E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.95381456E-01,-8.24577952E-02,+9.98791035E-01,-8.26516754E-02
+9.96428571E-01,+0.00000000E+00,-3.16099494E-01,-3.74317280E-01,+4.89930930E-01,-2.27207082E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.98856407E-01,-3.53597940E-02,+9.99482085E-01,-3.53855010E-02
+1.01250000E+00,+0.00000000E+00,+2.10351788E-01,-2.26824008E+00,+2.27797298E+00,-1.47832294E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.35694173E-01,+9.10758900E-04,+9.35694616E-01,+9.73350737E-04
+1.02857143E+00,+0.00000000E+00,+1.08164470E+00,-1.62448012E+00,+1.95163800E+00,-9.83365883E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+9.04033524E-01,+1.33603347E-03,+9.04034511E-01,+1.47785725E-03
+1.04464286E+00,+0.00000000E+00,+1.21575980E+00,-1.22685218E+00,+1.72720530E+00,-7.89939327E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.81077279E-01,+1.63454729E-03,+8.81078795E-01,+1.85516691E-03
+1.06071429E+00,+0.00000000E+00,+1.22750104E+00,-1.00422435E+00,+1.58594620E+00,-6.85683301E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.62232126E-01,+1.87329582E-03,+8.62234161E-01,+2.17260853E-03
+1.07678571E+00,+0.00000000E+00,+1.21157011E+00,-8.64661754E-01,+1.48846971E+00,-6.19841946E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.45905083E-01,+2.07547044E-03,+8.45907629E-01,+2.45354510E-03
+1.09285714E+00,+0.00000000E+00,+1.18900202E+00,-7.69365658E-01,+1.41620949E+00,-5.74311595E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.31319691E-01,+2.25235777E-03,+8.31322742E-01,+2.70936955E-03
+1.10892857E+00,+0.00000000E+00,+1.16565138E+00,-7.00235030E-01,+1.35980596E+00,-5.40951854E-01,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+8.18029019E-01,+2.41044582E-03,+8.18032571E-01,+2.94664222E-03
