s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+4.00000000E-02,+0.00000000E+00,-7.45353735E-01,+6.66669191E-01,+1.00000000E+00,+2.41186161E+00,-7.45554356E-01,+6.66444824E-01,+1.00000000E+00,+2.41216259E+00
+4.10000000E-02,+0.00000000E+00,-7.45372615E-01,+6.66648081E-01,+1.00000000E+00,+2.41188993E+00,-7.45583377E-01,+6.66412356E-01,+1.00000000E+00,+2.41220614E+00
+4.20000000E-02,+0.00000000E+00,-7.45391964E-01,+6.66626447E-01,+1.00000000E+00,+2.41191896E+00,-7.45613115E-01,+6.66379083E-01,+1.00000000E+00,+2.41225076E+00
+4.30000000E-02,+0.00000000E+00,-7.45411781E-01,+6.66604288E-01,+1.00000000E+00,+2.41194868E+00,-7.45643570E-01,+6.66345006E-01,+1.00000000E+00,+2.41229647E+00
+4.40000000E-02,+0.00000000E+00,-7.45432066E-01,+6.66581604E-01,+1.00000000E+00,+2.41197911E+00,-7.45674741E-01,+6.66310123E-01,+1.00000000E+00,+2.41234325E+00
+4.50000000E-02,+0.00000000E+00,-7.45452819E-01,+6.66558395E-01,+1.00000000E+00,+2.41201025E+00,-7.45706630E-01,+6.66274435E-01,+1.00000000E+00,+2.41239111E+00
+4.60000000E-02,+0.00000000E+00,-7.45474041E-01,+6.66534661E-01,+1.00000000E+00,+2.41204209E+00,-7.45739234E-01,+6.66237941E-01,+1.00000000E+00,+2.41244005E+00
+4.70000000E-02,+0.00000000E+00,-7.45495731E-01,+6.66510402E-01,+1.00000000E+00,+2.41207463E+00,-7.45772556E-01,+6.66200641E-01,+1.00000000E+00,+2.41249006E+00
+4.80000000E-02,+0.00000000E+00,-7.45517889E-01,+6.66485616E-01,+1.00000000E+00,+2.41210788E+00,-7.45806594E-01,+6.66162536E-01,+1.00000000E+00,+2.41254116E+00
+4.90000000E-02,+0.00000000E+00,-7.45540517E-01,+6.66460305E-01,+1.00000000E+00,+2.41214183E+00,-7.45841349E-01,+6.66123623E-01,+1.00000000E+00,+2.41259333E+00
+5.00000000E-02,+0.00000000E+00,-7.45563613E-01,+6.66434467E-01,+1.00000000E+00,+2.41217648E+00,-7.45876821E-01,+6.66083905E-01,+1.00000000E+00,+2.41264658E+00
+5.10000000E-02,+0.00000000E+00,-7.45587179E-01,+6.66408102E-01,+1.00000000E+00,+2.41221184E+00,-7.45913009E-01,+6.66043379E-01,+1.00000000E+00,+2.41270091E+00
+5.20000000E-02,+0.00000000E+00,-7.45611214E-01,+6.66381211E-01,+1.00000000E+00,+2.41224791E+00,-7.45949915E-01,+6.66002046E-01,+1.00000000E+00,+2.41275632E+00
+5.30000000E-02,+0.00000000E+00,-7.45635718E-01,+6.66353792E-01,+1.00000000E+00,+2.41228468E+00,-7.45987536E-01,+6.65959905E-01,+1.00000000E+00,+2.41281282E+00
+5.40000000E-02,+0.00000000E+00,-7.45660691E-01,+6.66325846E-01,+1.00000000E+00,+2.41232216E+00,-7.46025875E-01,+6.65916957E-01,+1.00000000E+00,+2.41287039E+00
+5.50000000E-02,+0.00000000E+00,-7.45686135E-01,+6.66297372E-01,+1.00000000E+00,+2.41236035E+00,-7.46064930E-01,+6.65873201E-01,+1.00000000E+00,+2.41292904E+00
+5.60000000E-02,+0.00000000E+00,-7.45712048E-01,+6.66268370E-01,+1.00000000E+00,+2.41239924E+00,-7.46104703E-01,+6.65828636E-01,+1.00000000E+00,+2.41298877E+00
