s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+2.60000000E-01,+0.00000000E+00,-5.95045524E-01,-6.49869258E-01,+8.81140867E-01,-2.31218478E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.58840465E-01,-6.76295321E-01,+8.77312959E-01,-2.26138490E+00
+2.70000000E-01,+0.00000000E+00,-5.96324114E-01,-6.48853282E-01,+8.81256507E-01,-2.31403340E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.57153186E-01,-6.77426738E-01,+8.77112682E-01,-2.25908032E+00
+2.80000000E-01,+0.00000000E+00,-5.97656334E-01,-6.47791830E-01,+8.81378097E-01,-2.31596123E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.55386933E-01,-6.78605786E-01,+8.76903905E-01,-2.25667060E+00
+2.90000000E-01,+0.00000000E+00,-5.99042822E-01,-6.46684027E-01,+8.81505833E-01,-2.31796942E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.53539780E-01,-6.79833038E-01,+8.76686516E-01,-2.25415347E+00
+3.00000000E-01,+0.00000000E+00,-6.00484246E-01,-6.45528948E-01,+8.81639923E-01,-2.32005916E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.51609679E-01,-6.81109093E-01,+8.76460401E-01,-2.25152653E+00
+3.10000000E-01,+0.00000000E+00,-6.01981307E-01,-6.44325617E-01,+8.81780582E-01,-2.32223173E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.49594463E-01,-6.82434574E-01,+8.76225440E-01,-2.24878721E+00
+3.20000000E-01,+0.00000000E+00,-6.03534738E-01,-6.43073005E-01,+8.81928041E-01,-2.32448843E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.47491833E-01,-6.83810132E-01,+8.75981509E-01,-2.24593282E+00
+3.30000000E-01,+0.00000000E+00,-6.05145306E-01,-6.41770027E-01,+8.82082541E-01,-2.32683067E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.45299354E-01,-6.85236441E-01,+8.75728477E-01,-2.24296049E+00
+3.40000000E-01,+0.00000000E+00,-6.06813814E-01,-6.40415543E-01,+8.82244338E-01,-2.32925991E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.43014444E-01,-6.86714203E-01,+8.75466209E-01,-2.23986721E+00
+3.50000000E-01,+0.00000000E+00,-6.08541101E-01,-6.39008347E-01,+8.82413701E-01,-2.33177767E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.40634369E-01,-6.88244147E-01,+8.75194565E-01,-2.23664976E+00
+3.60000000E-01,+0.00000000E+00,-6.10328043E-01,-6.37547172E-01,+8.82590911E-01,-2.33438557E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.38156230E-01,-6.89827029E-01,+8.74913400E-01,-2.23330477E+00
+3.70000000E-01,+0.00000000E+00,-6.12175555E-01,-6.36030682E-01,+8.82776267E-01,-2.33708529E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.35576955E-01,-6.91463630E-01,+8.74622562E-01,-2.22982863E+00
+3.80000000E-01,+0.00000000E+00,-6.14084595E-01,-6.34457470E-01,+8.82970085E-01,-2.33987861E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.32893288E-01,-6.93154760E-01,+8.74321896E-01,-2.22621755E+00
+3.90000000E-01,+0.00000000E+00,-6.16056160E-01,-6.32826053E-01,+8.83172693E-01,-2.34276738E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.30101776E-01,-6.94901255E-01,+8.74011240E-01,-2.22246752E+00
+4.00000000E-01,+0.00000000E+00,-6.18091294E-01,-6.31134871E-01,+8.83384442E-01,-2.34575354E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.27198754E-01,-6.96703979E-01,+8.73690427E-01,-2.21857427E+00
+4.10000000E-01,+0.00000000E+00,-6.20191084E-01,-6.29382278E-01,+8.83605699E-01,-2.34883916E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.24180337E-01,-6.98563822E-01,+8.73359284E-01,-2.21453328E+00
+4.20000000E-01,+0.00000000E+00,-6.22356666E-01,-6.27566538E-01,+8.83836851E-01,-2.35202636E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.21042399E-01,-7.00481699E-01,+8.73017635E-01,-2.21033977E+00
+4.30000000E-01,+0.00000000E+00,-6.24589225E-01,-6.25685825E-01,+8.84078307E-01,-2.35531740E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.17780555E-01,-7.02458552E-01,+8.72665297E-01,-2.20598867E+00
+4.40000000E-01,+0.00000000E+00,-6.26890000E-01,-6.23738210E-01,+8.84330496E-01,-2.35871465E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.14390151E-01,-7.04495348E-01,+8.72302082E-01,-2.20147459E+00
+4.50000000E-01,+0.00000000E+00,-6.29260281E-01,-6.21721658E-01,+8.84593874E-01,-2.36222058E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.10866234E-01,-7.06593077E-01,+8.71927798E-01,-2.19679181E+00
+4.60000000E-01,+0.00000000E+00,-6.31701417E-01,-6.19634023E-01,+8.84868919E-01,-2.36583780E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.07203537E-01,-7.08752751E-01,+8.71542248E-01,-2.19193427E+00
+4.70000000E-01,+0.00000000E+00,-6.34214816E-01,-6.17473039E-01,+8.85156137E-01,-2.36956905E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.03396451E-01,-7.10975405E-01,+8.71145231E-01,-2.18689550E+00
+4.80000000E-01,+0.00000000E+00,-6.36801949E-01,-6.15236310E-01,+8.85456063E-01,-2.37341721E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.99439001E-01,-7.13262090E-01,+8.70736542E-01,-2.18166863E+00
+4.90000000E-01,+0.00000000E+00,-6.39464352E-01,-6.12921305E-01,+8.85769261E-01,-2.37738531E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.95324817E-01,-7.15613874E-01,+8.70315972E-01,-2.17624636E+00
+5.00000000E-01,+0.00000000E+00,-6.42203629E-01,-6.10525349E-01,+8.86096328E-01,-2.38147652E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.91047102E-01,-7.18031836E-01,+8.69883310E-01,-2.17062089E+00
