s,n,Re(f_ex.tm),Im(f_ex.tm),Abs(f_ex.tm),Arg(f_ex.tm),Re(f_ex.te),Im(f_ex.te),Abs(f_ex.te),Arg(f_ex.te)
+4.90000000E-01,+0.00000000E+00,-1.45501356E-01,+3.05875907E-01,+3.38719228E-01,+2.01480548E+00,-6.32619782E-01,-3.69815780E-01,+7.32783392E-01,-2.61258984E+00
+5.00000000E-01,+0.00000000E+00,-1.43132297E-01,+3.03446843E-01,+3.35509823E-01,+2.01153907E+00,-6.28640777E-01,-3.70845098E-01,+7.29873491E-01,-2.60862104E+00
+5.10000000E-01,+0.00000000E+00,-1.40719917E-01,+3.00939184E-01,+3.32214521E-01,+2.00819169E+00,-6.24457884E-01,-3.71901789E-01,+7.26813999E-01,-2.60444467E+00
+5.20000000E-01,+0.00000000E+00,-1.38264698E-01,+2.98350840E-01,+3.28831797E-01,+2.00476226E+00,-6.20059852E-01,-3.72984192E-01,+7.23596177E-01,-2.60004940E+00
+5.30000000E-01,+0.00000000E+00,-1.35767159E-01,+2.95679642E-01,+3.25360065E-01,+2.00124963E+00,-6.15434727E-01,-3.74090201E-01,+7.20210651E-01,-2.59542321E+00
+5.40000000E-01,+0.00000000E+00,-1.33227857E-01,+2.92923337E-01,+3.21797674E-01,+1.99765264E+00,-6.10569813E-01,-3.75217199E-01,+7.16647363E-01,-2.59055334E+00
+5.50000000E-01,+0.00000000E+00,-1.30647388E-01,+2.90079588E-01,+3.18142904E-01,+1.99397007E+00,-6.05451634E-01,-3.76361979E-01,+7.12895518E-01,-2.58542624E+00
+5.60000000E-01,+0.00000000E+00,-1.28026393E-01,+2.87145966E-01,+3.14393962E-01,+1.99020062E+00,-6.00065893E-01,-3.77520655E-01,+7.08943524E-01,-2.58002753E+00
+5.70000000E-01,+0.00000000E+00,-1.25365558E-01,+2.84119953E-01,+3.10548982E-01,+1.98634298E+00,-5.94397439E-01,-3.78688564E-01,+7.04778932E-01,-2.57434194E+00
+5.80000000E-01,+0.00000000E+00,-1.22665616E-01,+2.80998928E-01,+3.06606019E-01,+1.98239576E+00,-5.88430226E-01,-3.79860148E-01,+7.00388366E-01,-2.56835327E+00
+5.90000000E-01,+0.00000000E+00,-1.19927356E-01,+2.77780170E-01,+3.02563041E-01,+1.97835752E+00,-5.82147287E-01,-3.81028830E-01,+6.95757453E-01,-2.56204434E+00
+6.00000000E-01,+0.00000000E+00,-1.17151620E-01,+2.74460852E-01,+2.98417931E-01,+1.97422675E+00,-5.75530704E-01,-3.82186865E-01,+6.90870748E-01,-2.55539690E+00
+6.10000000E-01,+0.00000000E+00,-1.14339311E-01,+2.71038034E-01,+2.94168479E-01,+1.97000188E+00,-5.68561589E-01,-3.83325178E-01,+6.85711654E-01,-2.54839163E+00
+6.20000000E-01,+0.00000000E+00,-1.11491395E-01,+2.67508655E-01,+2.89812373E-01,+1.96568126E+00,-5.61220076E-01,-3.84433180E-01,+6.80262334E-01,-2.54100802E+00
