s1,s2,Re(r_ibc3_reduced.tm),Im(r_ibc3_reduced.tm),Abs(r_ibc3_reduced.tm),Arg(r_ibc3_reduced.tm),Re(r_ibc3_reduced.te),Im(r_ibc3_reduced.te),Abs(r_ibc3_reduced.te),Arg(r_ibc3_reduced.te)
+2.00000000E-01,+0.00000000E+00,-7.56942692E-01,+6.53481263E-01,+1.00000000E+00,+2.42941818E+00,-7.61439902E-01,+6.48235510E-01,+1.00000000E+00,+2.43632782E+00
+2.05000000E-01,+0.00000000E+00,-7.57438862E-01,+6.52906096E-01,+1.00000000E+00,+2.43017779E+00,-7.62154062E-01,+6.47395695E-01,+1.00000000E+00,+2.43743023E+00
+2.10000000E-01,+0.00000000E+00,-7.57948343E-01,+6.52314578E-01,+1.00000000E+00,+2.43095847E+00,-7.62885926E-01,+6.46533111E-01,+1.00000000E+00,+2.43856146E+00
+2.15000000E-01,+0.00000000E+00,-7.58471216E-01,+6.51706541E-01,+1.00000000E+00,+2.43176041E+00,-7.63635499E-01,+6.45647601E-01,+1.00000000E+00,+2.43972162E+00
+2.20000000E-01,+0.00000000E+00,-7.59007561E-01,+6.51081809E-01,+1.00000000E+00,+2.43258379E+00,-7.64402784E-01,+6.44739004E-01,+1.00000000E+00,+2.44091086E+00
+2.25000000E-01,+0.00000000E+00,-7.59557465E-01,+6.50440203E-01,+1.00000000E+00,+2.43342881E+00,-7.65187786E-01,+6.43807154E-01,+1.00000000E+00,+2.44212929E+00
+2.30000000E-01,+0.00000000E+00,-7.60121013E-01,+6.49781537E-01,+1.00000000E+00,+2.43429566E+00,-7.65990509E-01,+6.42851881E-01,+1.00000000E+00,+2.44337705E+00
+2.35000000E-01,+0.00000000E+00,-7.60698294E-01,+6.49105619E-01,+1.00000000E+00,+2.43518454E+00,-7.66810956E-01,+6.41873007E-01,+1.00000000E+00,+2.44465428E+00
+2.40000000E-01,+0.00000000E+00,-7.61289400E-01,+6.48412252E-01,+1.00000000E+00,+2.43609568E+00,-7.67649132E-01,+6.40870353E-01,+1.00000000E+00,+2.44596113E+00
+2.45000000E-01,+0.00000000E+00,-7.61894424E-01,+6.47701233E-01,+1.00000000E+00,+2.43702927E+00,-7.68505041E-01,+6.39843732E-01,+1.00000000E+00,+2.44729774E+00
+2.50000000E-01,+0.00000000E+00,-7.62513462E-01,+6.46972349E-01,+1.00000000E+00,+2.43798556E+00,-7.69378686E-01,+6.38792953E-01,+1.00000000E+00,+2.44866427E+00
+2.55000000E-01,+0.00000000E+00,-7.63146611E-01,+6.46225386E-01,+1.00000000E+00,+2.43896476E+00,-7.70270072E-01,+6.37717819E-01,+1.00000000E+00,+2.45006087E+00
+2.60000000E-01,+0.00000000E+00,-7.63793973E-01,+6.45460120E-01,+1.00000000E+00,+2.43996711E+00,-7.71179201E-01,+6.36618128E-01,+1.00000000E+00,+2.45148769E+00
+2.65000000E-01,+0.00000000E+00,-7.64455651E-01,+6.44676321E-01,+1.00000000E+00,+2.44099286E+00,-7.72106077E-01,+6.35493671E-01,+1.00000000E+00,+2.45294492E+00
+2.70000000E-01,+0.00000000E+00,-7.65131749E-01,+6.43873751E-01,+1.00000000E+00,+2.44204225E+00,-7.73050703E-01,+6.34344236E-01,+1.00000000E+00,+2.45443271E+00
+2.75000000E-01,+0.00000000E+00,-7.65822376E-01,+6.43052166E-01,+1.00000000E+00,+2.44311555E+00,-7.74013083E-01,+6.33169603E-01,+1.00000000E+00,+2.45595124E+00
+2.80000000E-01,+0.00000000E+00,-7.66527642E-01,+6.42211315E-01,+1.00000000E+00,+2.44421301E+00,-7.74993220E-01,+6.31969547E-01,+1.00000000E+00,+2.45750069E+00
+2.85000000E-01,+0.00000000E+00,-7.67247661E-01,+6.41350939E-01,+1.00000000E+00,+2.44533492E+00,-7.75991116E-01,+6.30743837E-01,+1.00000000E+00,+2.45908125E+00
+2.90000000E-01,+0.00000000E+00,-7.67982546E-01,+6.40470771E-01,+1.00000000E+00,+2.44648155E+00,-7.77006774E-01,+6.29492235E-01,+1.00000000E+00,+2.46069310E+00
+2.95000000E-01,+0.00000000E+00,-7.68732417E-01,+6.39570537E-01,+1.00000000E+00,+2.44765318E+00,-7.78040195E-01,+6.28214497E-01,+1.00000000E+00,+2.46233645E+00
+3.00000000E-01,+0.00000000E+00,-7.69497393E-01,+6.38649952E-01,+1.00000000E+00,+2.44885012E+00,-7.79091383E-01,+6.26910374E-01,+1.00000000E+00,+2.46401148E+00
+3.05000000E-01,+0.00000000E+00,-7.70277599E-01,+6.37708727E-01,+1.00000000E+00,+2.45007267E+00,-7.80160338E-01,+6.25579608E-01,+1.00000000E+00,+2.46571841E+00
+3.10000000E-01,+0.00000000E+00,-7.71073158E-01,+6.36746562E-01,+1.00000000E+00,+2.45132114E+00,-7.81247063E-01,+6.24221937E-01,+1.00000000E+00,+2.46745744E+00
+3.15000000E-01,+0.00000000E+00,-7.71884201E-01,+6.35763148E-01,+1.00000000E+00,+2.45259585E+00,-7.82351558E-01,+6.22837089E-01,+1.00000000E+00,+2.46922880E+00
+3.20000000E-01,+0.00000000E+00,-7.72710858E-01,+6.34758166E-01,+1.00000000E+00,+2.45389714E+00,-7.83473824E-01,+6.21424788E-01,+1.00000000E+00,+2.47103271E+00
+3.25000000E-01,+0.00000000E+00,-7.73553263E-01,+6.33731292E-01,+1.00000000E+00,+2.45522534E+00,-7.84613861E-01,+6.19984749E-01,+1.00000000E+00,+2.47286939E+00
+3.30000000E-01,+0.00000000E+00,-7.74411551E-01,+6.32682186E-01,+1.00000000E+00,+2.45658081E+00,-7.85771670E-01,+6.18516679E-01,+1.00000000E+00,+2.47473908E+00
+3.35000000E-01,+0.00000000E+00,-7.75285864E-01,+6.31610504E-01,+1.00000000E+00,+2.45796389E+00,-7.86947250E-01,+6.17020280E-01,+1.00000000E+00,+2.47664203E+00
+3.40000000E-01,+0.00000000E+00,-7.76176342E-01,+6.30515889E-01,+1.00000000E+00,+2.45937497E+00,-7.88140600E-01,+6.15495244E-01,+1.00000000E+00,+2.47857847E+00
+3.45000000E-01,+0.00000000E+00,-7.77083131E-01,+6.29397973E-01,+1.00000000E+00,+2.46081441E+00,-7.89351718E-01,+6.13941255E-01,+1.00000000E+00,+2.48054867E+00
+3.50000000E-01,+0.00000000E+00,-7.78006377E-01,+6.28256378E-01,+1.00000000E+00,+2.46228262E+00,-7.90580604E-01,+6.12357991E-01,+1.00000000E+00,+2.48255289E+00
+3.55000000E-01,+0.00000000E+00,-7.78946233E-01,+6.27090716E-01,+1.00000000E+00,+2.46377998E+00,-7.91827254E-01,+6.10745119E-01,+1.00000000E+00,+2.48459139E+00
+3.60000000E-01,+0.00000000E+00,-7.79902851E-01,+6.25900586E-01,+1.00000000E+00,+2.46530691E+00,-7.93091665E-01,+6.09102300E-01,+1.00000000E+00,+2.48666446E+00
+3.65000000E-01,+0.00000000E+00,-7.80876387E-01,+6.24685575E-01,+1.00000000E+00,+2.46686384E+00,-7.94373833E-01,+6.07429184E-01,+1.00000000E+00,+2.48877236E+00
+3.70000000E-01,+0.00000000E+00,-7.81867002E-01,+6.23445260E-01,+1.00000000E+00,+2.46845120E+00,-7.95673755E-01,+6.05725413E-01,+1.00000000E+00,+2.49091541E+00
+3.75000000E-01,+0.00000000E+00,-7.82874856E-01,+6.22179202E-01,+1.00000000E+00,+2.47006943E+00,-7.96991425E-01,+6.03990619E-01,+1.00000000E+00,+2.49309388E+00
+3.80000000E-01,+0.00000000E+00,-7.83900116E-01,+6.20886952E-01,+1.00000000E+00,+2.47171900E+00,-7.98326838E-01,+6.02224426E-01,+1.00000000E+00,+2.49530810E+00
+3.85000000E-01,+0.00000000E+00,-7.84942950E-01,+6.19568047E-01,+1.00000000E+00,+2.47340037E+00,-7.99679987E-01,+6.00426447E-01,+1.00000000E+00,+2.49755838E+00
+3.90000000E-01,+0.00000000E+00,-7.86003529E-01,+6.18222009E-01,+1.00000000E+00,+2.47511403E+00,-8.01050864E-01,+5.98596285E-01,+1.00000000E+00,+2.49984504E+00
+3.95000000E-01,+0.00000000E+00,-7.87082027E-01,+6.16848347E-01,+1.00000000E+00,+2.47686049E+00,-8.02439462E-01,+5.96733533E-01,+1.00000000E+00,+2.50216841E+00
+4.00000000E-01,+0.00000000E+00,-7.88178621E-01,+6.15446554E-01,+1.00000000E+00,+2.47864025E+00,-8.03845771E-01,+5.94837773E-01,+1.00000000E+00,+2.50452883E+00
+4.05000000E-01,+0.00000000E+00,-7.89293493E-01,+6.14016109E-01,+1.00000000E+00,+2.48045384E+00,-8.05269781E-01,+5.92908576E-01,+1.00000000E+00,+2.50692667E+00
+4.10000000E-01,+0.00000000E+00,-7.90426825E-01,+6.12556474E-01,+1.00000000E+00,+2.48230180E+00,-8.06711481E-01,+5.90945502E-01,+1.00000000E+00,+2.50936227E+00
+4.15000000E-01,+0.00000000E+00,-7.91578805E-01,+6.11067096E-01,+1.00000000E+00,+2.48418470E+00,-8.08170858E-01,+5.88948099E-01,+1.00000000E+00,+2.51183601E+00
+4.20000000E-01,+0.00000000E+00,-7.92749621E-01,+6.09547404E-01,+1.00000000E+00,+2.48610311E+00,-8.09647900E-01,+5.86915904E-01,+1.00000000E+00,+2.51434828E+00
+4.25000000E-01,+0.00000000E+00,-7.93939468E-01,+6.07996811E-01,+1.00000000E+00,+2.48805761E+00,-8.11142591E-01,+5.84848440E-01,+1.00000000E+00,+2.51689946E+00
+4.30000000E-01,+0.00000000E+00,-7.95148540E-01,+6.06414709E-01,+1.00000000E+00,+2.49004881E+00,-8.12654915E-01,+5.82745218E-01,+1.00000000E+00,+2.51948995E+00
+4.35000000E-01,+0.00000000E+00,-7.96377037E-01,+6.04800475E-01,+1.00000000E+00,+2.49207735E+00,-8.14184856E-01,+5.80605736E-01,+1.00000000E+00,+2.52212018E+00
+4.40000000E-01,+0.00000000E+00,-7.97625162E-01,+6.03153464E-01,+1.00000000E+00,+2.49414386E+00,-8.15732394E-01,+5.78429479E-01,+1.00000000E+00,+2.52479057E+00
+4.45000000E-01,+0.00000000E+00,-7.98893119E-01,+6.01473012E-01,+1.00000000E+00,+2.49624901E+00,-8.17297509E-01,+5.76215916E-01,+1.00000000E+00,+2.52750156E+00
+4.50000000E-01,+0.00000000E+00,-8.00181117E-01,+5.99758434E-01,+1.00000000E+00,+2.49839347E+00,-8.18880179E-01,+5.73964504E-01,+1.00000000E+00,+2.53025359E+00
+4.55000000E-01,+0.00000000E+00,-8.01489369E-01,+5.98009023E-01,+1.00000000E+00,+2.50057795E+00,-8.20480381E-01,+5.71674684E-01,+1.00000000E+00,+2.53304714E+00
+4.60000000E-01,+0.00000000E+00,-8.02818087E-01,+5.96224051E-01,+1.00000000E+00,+2.50280317E+00,-8.22098089E-01,+5.69345880E-01,+1.00000000E+00,+2.53588269E+00
+4.65000000E-01,+0.00000000E+00,-8.04167491E-01,+5.94402764E-01,+1.00000000E+00,+2.50506988E+00,-8.23733277E-01,+5.66977503E-01,+1.00000000E+00,+2.53876072E+00
+4.70000000E-01,+0.00000000E+00,-8.05537801E-01,+5.92544387E-01,+1.00000000E+00,+2.50737885E+00,-8.25385914E-01,+5.64568944E-01,+1.00000000E+00,+2.54168174E+00
+4.75000000E-01,+0.00000000E+00,-8.06929241E-01,+5.90648118E-01,+1.00000000E+00,+2.50973086E+00,-8.27055970E-01,+5.62119580E-01,+1.00000000E+00,+2.54464628E+00
+4.80000000E-01,+0.00000000E+00,-8.08342038E-01,+5.88713130E-01,+1.00000000E+00,+2.51212672E+00,-8.28743411E-01,+5.59628769E-01,+1.00000000E+00,+2.54765487E+00
+4.85000000E-01,+0.00000000E+00,-8.09776421E-01,+5.86738568E-01,+1.00000000E+00,+2.51456729E+00,-8.30448201E-01,+5.57095850E-01,+1.00000000E+00,+2.55070806E+00
+4.90000000E-01,+0.00000000E+00,-8.11232623E-01,+5.84723551E-01,+1.00000000E+00,+2.51705341E+00,-8.32170301E-01,+5.54520144E-01,+1.00000000E+00,+2.55380643E+00
+4.95000000E-01,+0.00000000E+00,-8.12710880E-01,+5.82667165E-01,+1.00000000E+00,+2.51958600E+00,-8.33909672E-01,+5.51900951E-01,+1.00000000E+00,+2.55695057E+00
