s1,s2,Re(z_ibc3_reduced.tm),Im(z_ibc3_reduced.tm),Abs(z_ibc3_reduced.tm),Arg(z_ibc3_reduced.tm),Re(z_ibc3_reduced.te),Im(z_ibc3_reduced.te),Abs(z_ibc3_reduced.te),Arg(z_ibc3_reduced.te)
+2.80000000E-01,+0.00000000E+00,+0.00000000E+00,-2.87115792E+00,+2.87115792E+00,-1.57079633E+00,+0.00000000E+00,-2.93155768E+00,+2.93155768E+00,-1.57079633E+00
+2.85000000E-01,+0.00000000E+00,+0.00000000E+00,-2.88058026E+00,+2.88058026E+00,-1.57079633E+00,+0.00000000E+00,-2.94339697E+00,+2.94339697E+00,-1.57079633E+00
+2.90000000E-01,+0.00000000E+00,+0.00000000E+00,-2.89024404E+00,+2.89024404E+00,-1.57079633E+00,+0.00000000E+00,-2.95553963E+00,+2.95553963E+00,-1.57079633E+00
+2.95000000E-01,+0.00000000E+00,+0.00000000E+00,-2.90015410E+00,+2.90015410E+00,-1.57079633E+00,+0.00000000E+00,-2.96799174E+00,+2.96799174E+00,-1.57079633E+00
+3.00000000E-01,+0.00000000E+00,+0.00000000E+00,-2.91031546E+00,+2.91031546E+00,-1.57079633E+00,+0.00000000E+00,-2.98075962E+00,+2.98075962E+00,-1.57079633E+00
+3.05000000E-01,+0.00000000E+00,+0.00000000E+00,-2.92073334E+00,+2.92073334E+00,-1.57079633E+00,+0.00000000E+00,-2.99384981E+00,+2.99384981E+00,-1.57079633E+00
+3.10000000E-01,+0.00000000E+00,+0.00000000E+00,-2.93141313E+00,+2.93141313E+00,-1.57079633E+00,+0.00000000E+00,-3.00726910E+00,+3.00726910E+00,-1.57079633E+00
+3.15000000E-01,+0.00000000E+00,+0.00000000E+00,-2.94236045E+00,+2.94236045E+00,-1.57079633E+00,+0.00000000E+00,-3.02102454E+00,+3.02102454E+00,-1.57079633E+00
+3.20000000E-01,+0.00000000E+00,+0.00000000E+00,-2.95358110E+00,+2.95358110E+00,-1.57079633E+00,+0.00000000E+00,-3.03512343E+00,+3.03512343E+00,-1.57079633E+00
+3.25000000E-01,+0.00000000E+00,+0.00000000E+00,-2.96508112E+00,+2.96508112E+00,-1.57079633E+00,+0.00000000E+00,-3.04957335E+00,+3.04957335E+00,-1.57079633E+00
+3.30000000E-01,+0.00000000E+00,+0.00000000E+00,-2.97686678E+00,+2.97686678E+00,-1.57079633E+00,+0.00000000E+00,-3.06438217E+00,+3.06438217E+00,-1.57079633E+00
+3.35000000E-01,+0.00000000E+00,+0.00000000E+00,-2.98894456E+00,+2.98894456E+00,-1.57079633E+00,+0.00000000E+00,-3.07955806E+00,+3.07955806E+00,-1.57079633E+00
+3.40000000E-01,+0.00000000E+00,+0.00000000E+00,-3.00132122E+00,+3.00132122E+00,-1.57079633E+00,+0.00000000E+00,-3.09510948E+00,+3.09510948E+00,-1.57079633E+00
+3.45000000E-01,+0.00000000E+00,+0.00000000E+00,-3.01400376E+00,+3.01400376E+00,-1.57079633E+00,+0.00000000E+00,-3.11104525E+00,+3.11104525E+00,-1.57079633E+00
+3.50000000E-01,+0.00000000E+00,+0.00000000E+00,-3.02699946E+00,+3.02699946E+00,-1.57079633E+00,+0.00000000E+00,-3.12737451E+00,+3.12737451E+00,-1.57079633E+00
+3.55000000E-01,+0.00000000E+00,+0.00000000E+00,-3.04031587E+00,+3.04031587E+00,-1.57079633E+00,+0.00000000E+00,-3.14410674E+00,+3.14410674E+00,-1.57079633E+00
+3.60000000E-01,+0.00000000E+00,+0.00000000E+00,-3.05396083E+00,+3.05396083E+00,-1.57079633E+00,+0.00000000E+00,-3.16125180E+00,+3.16125180E+00,-1.57079633E+00
+3.65000000E-01,+0.00000000E+00,+0.00000000E+00,-3.06794252E+00,+3.06794252E+00,-1.57079633E+00,+0.00000000E+00,-3.17881996E+00,+3.17881996E+00,-1.57079633E+00
+3.70000000E-01,+0.00000000E+00,+0.00000000E+00,-3.08226940E+00,+3.08226940E+00,-1.57079633E+00,+0.00000000E+00,-3.19682186E+00,+3.19682186E+00,-1.57079633E+00
+3.75000000E-01,+0.00000000E+00,+0.00000000E+00,-3.09695029E+00,+3.09695029E+00,-1.57079633E+00,+0.00000000E+00,-3.21526859E+00,+3.21526859E+00,-1.57079633E+00
+3.80000000E-01,+0.00000000E+00,+0.00000000E+00,-3.11199436E+00,+3.11199436E+00,-1.57079633E+00,+0.00000000E+00,-3.23417165E+00,+3.23417165E+00,-1.57079633E+00
+3.85000000E-01,+0.00000000E+00,+0.00000000E+00,-3.12741115E+00,+3.12741115E+00,-1.57079633E+00,+0.00000000E+00,-3.25354304E+00,+3.25354304E+00,-1.57079633E+00
+3.90000000E-01,+0.00000000E+00,+0.00000000E+00,-3.14321058E+00,+3.14321058E+00,-1.57079633E+00,+0.00000000E+00,-3.27339522E+00,+3.27339522E+00,-1.57079633E+00
+3.95000000E-01,+0.00000000E+00,+0.00000000E+00,-3.15940298E+00,+3.15940298E+00,-1.57079633E+00,+0.00000000E+00,-3.29374117E+00,+3.29374117E+00,-1.57079633E+00
+4.00000000E-01,+0.00000000E+00,+0.00000000E+00,-3.17599911E+00,+3.17599911E+00,-1.57079633E+00,+0.00000000E+00,-3.31459441E+00,+3.31459441E+00,-1.57079633E+00
+4.05000000E-01,+0.00000000E+00,+0.00000000E+00,-3.19301016E+00,+3.19301016E+00,-1.57079633E+00,+0.00000000E+00,-3.33596901E+00,+3.33596901E+00,-1.57079633E+00
+4.10000000E-01,+0.00000000E+00,+0.00000000E+00,-3.21044781E+00,+3.21044781E+00,-1.57079633E+00,+0.00000000E+00,-3.35787963E+00,+3.35787963E+00,-1.57079633E+00
