s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+6.05000000E-01,+0.00000000E+00,-8.50719080E-01,+5.25620630E-01,+1.00000000E+00,+2.58814817E+00,-8.75160732E-01,+4.83832299E-01,+1.00000000E+00,+2.63656425E+00
+6.10000000E-01,+0.00000000E+00,-8.52807175E-01,+5.22225930E-01,+1.00000000E+00,+2.59213366E+00,-8.77315573E-01,+4.79913936E-01,+1.00000000E+00,+2.64103604E+00
+6.15000000E-01,+0.00000000E+00,-8.54922597E-01,+5.18755582E-01,+1.00000000E+00,+2.59619794E+00,-8.79485030E-01,+4.75926551E-01,+1.00000000E+00,+2.64557541E+00
+6.20000000E-01,+0.00000000E+00,-8.57065559E-01,+5.15207364E-01,+1.00000000E+00,+2.60034308E+00,-8.81668898E-01,+4.71868578E-01,+1.00000000E+00,+2.65018371E+00
+6.25000000E-01,+0.00000000E+00,-8.59236270E-01,+5.11578960E-01,+1.00000000E+00,+2.60457123E+00,-8.83866957E-01,+4.67738390E-01,+1.00000000E+00,+2.65486238E+00
+6.30000000E-01,+0.00000000E+00,-8.61434930E-01,+5.07867957E-01,+1.00000000E+00,+2.60888466E+00,-8.86078976E-01,+4.63534301E-01,+1.00000000E+00,+2.65961290E+00
+6.35000000E-01,+0.00000000E+00,-8.63661730E-01,+5.04071836E-01,+1.00000000E+00,+2.61328571E+00,-8.88304709E-01,+4.59254552E-01,+1.00000000E+00,+2.66443682E+00
+6.40000000E-01,+0.00000000E+00,-8.65916851E-01,+5.00187972E-01,+1.00000000E+00,+2.61777681E+00,-8.90543895E-01,+4.54897320E-01,+1.00000000E+00,+2.66933574E+00
+6.45000000E-01,+0.00000000E+00,-8.68200462E-01,+4.96213620E-01,+1.00000000E+00,+2.62236052E+00,-8.92796256E-01,+4.50460703E-01,+1.00000000E+00,+2.67431136E+00
+6.50000000E-01,+0.00000000E+00,-8.70512720E-01,+4.92145918E-01,+1.00000000E+00,+2.62703949E+00,-8.95061500E-01,+4.45942723E-01,+1.00000000E+00,+2.67936542E+00
+6.55000000E-01,+0.00000000E+00,-8.72853765E-01,+4.87981870E-01,+1.00000000E+00,+2.63181650E+00,-8.97339312E-01,+4.41341318E-01,+1.00000000E+00,+2.68449976E+00
+6.60000000E-01,+0.00000000E+00,-8.75223721E-01,+4.83718347E-01,+1.00000000E+00,+2.63669445E+00,-8.99629362E-01,+4.36654339E-01,+1.00000000E+00,+2.68971628E+00
+6.65000000E-01,+0.00000000E+00,-8.77622692E-01,+4.79352074E-01,+1.00000000E+00,+2.64167636E+00,-9.01931295E-01,+4.31879543E-01,+1.00000000E+00,+2.69501700E+00
+6.70000000E-01,+0.00000000E+00,-8.80050762E-01,+4.74879623E-01,+1.00000000E+00,+2.64676541E+00,-9.04244734E-01,+4.27014591E-01,+1.00000000E+00,+2.70040401E+00
+6.75000000E-01,+0.00000000E+00,-8.82507990E-01,+4.70297403E-01,+1.00000000E+00,+2.65196491E+00,-9.06569280E-01,+4.22057036E-01,+1.00000000E+00,+2.70587950E+00
+6.80000000E-01,+0.00000000E+00,-8.84994408E-01,+4.65601651E-01,+1.00000000E+00,+2.65727833E+00,-9.08904503E-01,+4.17004322E-01,+1.00000000E+00,+2.71144576E+00
