               s1;              s2;     Re(z_ex.tm);     Im(z_ex.tm);    Abs(z_ex.tm);    Arg(z_ex.tm);     Re(z_ex.te);     Im(z_ex.te);    Abs(z_ex.te);    Arg(z_ex.te); 
  +5.40000000E-01; +0.00000000E+00; -1.97064587E-15; -5.09535449E-01; +5.09535449E-01; -1.57079633E+00; -4.08006962E-15; -1.54268860E+00; +1.54268860E+00; -1.57079633E+00; 
  +5.50000000E-01; +0.00000000E+00; +3.74700271E-16; -5.06677626E-01; +5.06677626E-01; -1.57079633E+00; +1.24067423E-14; -1.53616184E+00; +1.53616184E+00; -1.57079633E+00; 
  +5.60000000E-01; +0.00000000E+00; +2.19269047E-15; -5.03782139E-01; +5.03782139E-01; -1.57079633E+00; -8.04911693E-15; -1.52957631E+00; +1.52957631E+00; -1.57079633E+00; 
  +5.70000000E-01; +0.00000000E+00; +6.66133815E-16; -5.00849669E-01; +5.00849669E-01; -1.57079633E+00; +1.19904087E-14; -1.52293447E+00; +1.52293447E+00; -1.57079633E+00; 
  +5.80000000E-01; +0.00000000E+00; +2.41473508E-15; -4.97880897E-01; +4.97880897E-01; -1.57079633E+00; -1.24900090E-14; -1.51623874E+00; +1.51623874E+00; -1.57079633E+00; 
  +5.90000000E-01; +0.00000000E+00; +1.58206781E-15; -4.94876506E-01; +4.94876506E-01; -1.57079633E+00; +5.99520433E-15; -1.50949154E+00; +1.50949154E+00; -1.57079633E+00; 
  +6.00000000E-01; +0.00000000E+00; +1.24900090E-15; -4.91837182E-01; +4.91837182E-01; -1.57079633E+00; -7.77156117E-15; -1.50269527E+00; +1.50269527E+00; -1.57079633E+00; 
  +6.10000000E-01; +0.00000000E+00; -6.86950496E-16; -4.88763611E-01; +4.88763611E-01; -1.57079633E+00; -4.16333634E-15; -1.49585229E+00; +1.49585229E+00; -1.57079633E+00; 
  +6.20000000E-01; +0.00000000E+00; +8.60422844E-16; -4.85656479E-01; +4.85656479E-01; -1.57079633E+00; +6.60582700E-15; -1.48896495E+00; +1.48896495E+00; -1.57079633E+00; 
  +6.30000000E-01; +0.00000000E+00; +9.02056208E-17; -4.82516476E-01; +4.82516476E-01; -1.57079633E+00; -4.71844785E-15; -1.48203557E+00; +1.48203557E+00; -1.57079633E+00; 
  +6.40000000E-01; +0.00000000E+00; +4.16333634E-17; -4.79344287E-01; +4.79344287E-01; -1.57079633E+00; +1.59317004E-14; -1.47506646E+00; +1.47506646E+00; -1.57079633E+00; 
  +6.50000000E-01; +0.00000000E+00; -8.39606162E-16; -4.76140602E-01; +4.76140602E-01; -1.57079633E+00; +1.19904087E-14; -1.46805988E+00; +1.46805988E+00; -1.57079633E+00; 
  +6.60000000E-01; +0.00000000E+00; -1.47104551E-15; -4.72906108E-01; +4.72906108E-01; -1.57079633E+00; +6.93889390E-15; -1.46101807E+00; +1.46101807E+00; -1.57079633E+00; 
  +6.70000000E-01; +0.00000000E+00; -7.32053307E-16; -4.69641491E-01; +4.69641491E-01; -1.57079633E+00; -1.58206781E-14; -1.45394325E+00; +1.45394325E+00; -1.57079633E+00; 
  +6.80000000E-01; +0.00000000E+00; +8.67361738E-16; -4.66347435E-01; +4.66347435E-01; -1.57079633E+00; -5.99520433E-15; -1.44683759E+00; +1.44683759E+00; -1.57079633E+00; 
  +6.90000000E-01; +0.00000000E+00; -2.59341160E-16; -4.63024626E-01; +4.63024626E-01; -1.57079633E+00; -1.23234756E-14; -1.43970325E+00; +1.43970325E+00; -1.57079633E+00; 
  +7.00000000E-01; +0.00000000E+00; -6.25584654E-17; -4.59673746E-01; +4.59673746E-01; -1.57079633E+00; +1.23789867E-14; -1.43254234E+00; +1.43254234E+00; -1.57079633E+00; 
  +7.10000000E-01; +0.00000000E+00; -9.82720849E-16; -4.56295474E-01; +4.56295474E-01; -1.57079633E+00; +1.32671651E-14; -1.42535695E+00; +1.42535695E+00; -1.57079633E+00; 
  +7.20000000E-01; +0.00000000E+00; -4.82253126E-16; -4.52890488E-01; +4.52890488E-01; -1.57079633E+00; +3.83026943E-15; -1.41814913E+00; +1.41814913E+00; -1.57079633E+00; 
  +7.30000000E-01; +0.00000000E+00; +9.87057658E-16; -4.49459464E-01; +4.49459464E-01; -1.57079633E+00; +5.16253706E-15; -1.41092089E+00; +1.41092089E+00; -1.57079633E+00; 
  +7.40000000E-01; +0.00000000E+00; +4.57966998E-16; -4.46003073E-01; +4.46003073E-01; -1.57079633E+00; -1.16573418E-14; -1.40367421E+00; +1.40367421E+00; -1.57079633E+00; 
  +7.50000000E-01; +0.00000000E+00; +3.46944695E-18; -4.42521986E-01; +4.42521986E-01; -1.57079633E+00; +1.55431223E-15; -1.39641105E+00; +1.39641105E+00; -1.57079633E+00; 
  +7.60000000E-01; +0.00000000E+00; +4.16333634E-17; -4.39016869E-01; +4.39016869E-01; -1.57079633E+00; +7.43849426E-15; -1.38913331E+00; +1.38913331E+00; -1.57079633E+00; 
  +7.70000000E-01; +0.00000000E+00; -4.16333634E-17; -4.35488382E-01; +4.35488382E-01; -1.57079633E+00; +2.66453526E-15; -1.38184287E+00; +1.38184287E+00; -1.57079633E+00; 
  +7.80000000E-01; +0.00000000E+00; +9.02056208E-17; -4.31937185E-01; +4.31937185E-01; -1.57079633E+00; -3.33066907E-16; -1.37454155E+00; +1.37454155E+00; -1.57079633E+00; 
  +7.90000000E-01; +0.00000000E+00; +2.08166817E-17; -4.28363932E-01; +4.28363932E-01; -1.57079633E+00; -2.22044605E-16; -1.36723117E+00; +1.36723117E+00; -1.57079633E+00; 
  +8.00000000E-01; +0.00000000E+00; -4.16333634E-17; -4.24769273E-01; +4.24769273E-01; -1.57079633E+00; +1.77635684E-15; -1.35991349E+00; +1.35991349E+00; -1.57079633E+00; 
  +8.10000000E-01; +0.00000000E+00; -1.04083409E-16; -4.21153852E-01; +4.21153852E-01; -1.57079633E+00; +9.21485110E-15; -1.35259022E+00; +1.35259022E+00; -1.57079633E+00; 
  +8.20000000E-01; +0.00000000E+00; -6.24500451E-17; -4.17518312E-01; +4.17518312E-01; -1.57079633E+00; +3.21964677E-15; -1.34526305E+00; +1.34526305E+00; -1.57079633E+00; 
  +8.30000000E-01; +0.00000000E+00; -3.46944695E-17; -4.13863286E-01; +4.13863286E-01; -1.57079633E+00; -1.44328993E-15; -1.33793364E+00; +1.33793364E+00; -1.57079633E+00; 
  +8.40000000E-01; +0.00000000E+00; -2.08166817E-17; -4.10189407E-01; +4.10189407E-01; -1.57079633E+00; +3.21964677E-15; -1.33060360E+00; +1.33060360E+00; -1.57079633E+00; 
  +8.50000000E-01; +0.00000000E+00; -3.46944695E-17; -4.06497298E-01; +4.06497298E-01; -1.57079633E+00; -1.22124533E-15; -1.32327449E+00; +1.32327449E+00; -1.57079633E+00; 
  +8.60000000E-01; +0.00000000E+00; +8.32667268E-17; -4.02787579E-01; +4.02787579E-01; -1.57079633E+00; +1.11022302E-16; -1.31594786E+00; +1.31594786E+00; -1.57079633E+00; 
  +8.70000000E-01; +0.00000000E+00; -2.77555756E-17; -3.99060865E-01; +3.99060865E-01; -1.57079633E+00; +2.44249065E-15; -1.30862520E+00; +1.30862520E+00; -1.57079633E+00; 
  +8.80000000E-01; +0.00000000E+00; +1.38777878E-17; -3.95317763E-01; +3.95317763E-01; -1.57079633E+00; -1.44328993E-15; -1.30130796E+00; +1.30130796E+00; -1.57079633E+00; 
  +8.90000000E-01; +0.00000000E+00; -1.38777878E-17; -3.91558875E-01; +3.91558875E-01; -1.57079633E+00; +0.00000000E+00; -1.29399758E+00; +1.29399758E+00; -1.57079633E+00; 
  +9.00000000E-01; +0.00000000E+00; -2.77555756E-17; -3.87784796E-01; +3.87784796E-01; -1.57079633E+00; +8.88178420E-16; -1.28669543E+00; +1.28669543E+00; -1.57079633E+00; 
  +9.10000000E-01; +0.00000000E+00; -4.16333634E-17; -3.83996117E-01; +3.83996117E-01; -1.57079633E+00; +1.99840144E-15; -1.27940286E+00; +1.27940286E+00; -1.57079633E+00; 
  +9.20000000E-01; +0.00000000E+00; -8.32667268E-17; -3.80193421E-01; +3.80193421E-01; -1.57079633E+00; -7.77156117E-16; -1.27212118E+00; +1.27212118E+00; -1.57079633E+00; 
  +9.30000000E-01; +0.00000000E+00; +1.38777878E-17; -3.76377283E-01; +3.76377283E-01; -1.57079633E+00; +0.00000000E+00; -1.26485167E+00; +1.26485167E+00; -1.57079633E+00; 
