s1,s2,Re(r_ex.11),Im(r_ex.11),Abs(r_ex.11),Arg(r_ex.11),Re(r_ex.21),Im(r_ex.21),Abs(r_ex.21),Arg(r_ex.21),Re(r_ex.12),Im(r_ex.12),Abs(r_ex.12),Arg(r_ex.12),Re(r_ex.22),Im(r_ex.22),Abs(r_ex.22),Arg(r_ex.22)
+3.20000000E-01,+0.00000000E+00,+7.56387210E-01,-6.54124138E-01,+1.00000000E+00,+1.39146729E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.89391313E-01,-6.13890345E-01,+1.00000000E+00,+1.42128665E+02
+3.30000000E-01,+0.00000000E+00,+7.55656803E-01,-6.54967783E-01,+1.00000000E+00,+1.39082793E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.90854288E-01,-6.12004490E-01,+1.00000000E+00,+1.42265418E+02
+3.40000000E-01,+0.00000000E+00,+7.54891186E-01,-6.55850057E-01,+1.00000000E+00,+1.39015863E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.92363205E-01,-6.10049630E-01,+1.00000000E+00,+1.42406908E+02
+3.50000000E-01,+0.00000000E+00,+7.54088916E-01,-6.56772340E-01,+1.00000000E+00,+1.38945825E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.93918150E-01,-6.08024646E-01,+1.00000000E+00,+1.42553191E+02
+3.60000000E-01,+0.00000000E+00,+7.53248456E-01,-6.57736090E-01,+1.00000000E+00,+1.38872558E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.95519210E-01,-6.05928368E-01,+1.00000000E+00,+1.42704324E+02
+3.70000000E-01,+0.00000000E+00,+7.52368167E-01,-6.58742849E-01,+1.00000000E+00,+1.38795934E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.97166474E-01,-6.03759565E-01,+1.00000000E+00,+1.42860366E+02
+3.80000000E-01,+0.00000000E+00,+7.51446301E-01,-6.59794253E-01,+1.00000000E+00,+1.38715817E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.98860036E-01,-6.01516952E-01,+1.00000000E+00,+1.43021381E+02
+3.90000000E-01,+0.00000000E+00,+7.50480993E-01,-6.60892033E-01,+1.00000000E+00,+1.38632060E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.00599990E-01,-5.99199179E-01,+1.00000000E+00,+1.43187435E+02
+4.00000000E-01,+0.00000000E+00,+7.49470253E-01,-6.62038020E-01,+1.00000000E+00,+1.38544510E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.02386435E-01,-5.96804833E-01,+1.00000000E+00,+1.43358598E+02
+4.10000000E-01,+0.00000000E+00,+7.48411954E-01,-6.63234157E-01,+1.00000000E+00,+1.38453003E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.04219471E-01,-5.94332434E-01,+1.00000000E+00,+1.43534943E+02
+4.20000000E-01,+0.00000000E+00,+7.47303824E-01,-6.64482502E-01,+1.00000000E+00,+1.38357363E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.06099202E-01,-5.91780429E-01,+1.00000000E+00,+1.43716545E+02
+4.30000000E-01,+0.00000000E+00,+7.46143430E-01,-6.65785237E-01,+1.00000000E+00,+1.38257405E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.08025733E-01,-5.89147192E-01,+1.00000000E+00,+1.43903486E+02
+4.40000000E-01,+0.00000000E+00,+7.44928171E-01,-6.67144677E-01,+1.00000000E+00,+1.38152930E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.09999174E-01,-5.86431018E-01,+1.00000000E+00,+1.44095851E+02
+4.50000000E-01,+0.00000000E+00,+7.43655258E-01,-6.68563278E-01,+1.00000000E+00,+1.38043725E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.12019634E-01,-5.83630117E-01,+1.00000000E+00,+1.44293727E+02
+4.60000000E-01,+0.00000000E+00,+7.42321701E-01,-6.70043650E-01,+1.00000000E+00,+1.37929566E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.14087229E-01,-5.80742614E-01,+1.00000000E+00,+1.44497209E+02
+4.70000000E-01,+0.00000000E+00,+7.40924289E-01,-6.71588563E-01,+1.00000000E+00,+1.37810210E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.16202075E-01,-5.77766539E-01,+1.00000000E+00,+1.44706394E+02
+4.80000000E-01,+0.00000000E+00,+7.39459575E-01,-6.73200963E-01,+1.00000000E+00,+1.37685400E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.18364291E-01,-5.74699824E-01,+1.00000000E+00,+1.44921387E+02
+4.90000000E-01,+0.00000000E+00,+7.37923848E-01,-6.74883985E-01,+1.00000000E+00,+1.37554858E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.20573999E-01,-5.71540298E-01,+1.00000000E+00,+1.45142295E+02
+5.00000000E-01,+0.00000000E+00,+7.36313115E-01,-6.76640965E-01,+1.00000000E+00,+1.37418289E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.22831324E-01,-5.68285679E-01,+1.00000000E+00,+1.45369233E+02
+5.10000000E-01,+0.00000000E+00,+7.34623069E-01,-6.78475457E-01,+1.00000000E+00,+1.37275376E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.25136393E-01,-5.64933565E-01,+1.00000000E+00,+1.45602322E+02
+5.20000000E-01,+0.00000000E+00,+7.32849061E-01,-6.80391251E-01,+1.00000000E+00,+1.37125776E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.27489338E-01,-5.61481430E-01,+1.00000000E+00,+1.45841689E+02
+5.30000000E-01,+0.00000000E+00,+7.30986065E-01,-6.82392389E-01,+1.00000000E+00,+1.36969123E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.29890290E-01,-5.57926615E-01,+1.00000000E+00,+1.46087470E+02
+5.40000000E-01,+0.00000000E+00,+7.29028645E-01,-6.84483189E-01,+1.00000000E+00,+1.36805024E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.32339385E-01,-5.54266315E-01,+1.00000000E+00,+1.46339805E+02
+5.50000000E-01,+0.00000000E+00,+7.26970902E-01,-6.86668266E-01,+1.00000000E+00,+1.36633052E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.34836762E-01,-5.50497575E-01,+1.00000000E+00,+1.46598845E+02
+5.60000000E-01,+0.00000000E+00,+7.24806439E-01,-6.88952557E-01,+1.00000000E+00,+1.36452748E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.37382563E-01,-5.46617273E-01,+1.00000000E+00,+1.46864748E+02
+5.70000000E-01,+0.00000000E+00,+7.22528294E-01,-6.91341351E-01,+1.00000000E+00,+1.36263618E+02,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.39976931E-01,-5.42622111E-01,+1.00000000E+00,+1.47137684E+02
