theta,Mie,CI0,CI3,CI3+CSU,CI3*+CSU
22,5.03010669,5.95007517,5.03878065,5.57726994,5.06976358
22.1,5.03016367,5.96065227,5.03881617,5.57721656,5.06999455
22.2,5.0302309,5.97037253,5.03890302,5.57715922,5.07020513
22.3,5.03030904,5.97923099,5.03904254,5.57709792,5.0703952
22.4,5.03039872,5.98722377,5.03923597,5.57703268,5.07056469
22.5,5.03050055,5.99434802,5.03948441,5.57696353,5.07071355
22.6,5.0306151,6.00060191,5.03978881,5.5768905,5.07084179
22.7,5.03074291,6.00598459,5.04015001,5.57681363,5.07094943
22.8,5.0308845,6.01049621,5.04056867,5.57673296,5.07103656
22.9,5.03104034,6.01413792,5.04104532,5.57664857,5.07110329
23,5.03121084,6.01691178,5.04158033,5.57656051,5.07114978
23.1,5.03139642,6.01882083,5.04217391,5.57646885,5.07117622
23.2,5.03159742,6.01986902,5.04282611,5.57637368,5.07118285
23.3,5.03181413,6.02006123,5.04353682,5.57627509,5.07116993
23.4,5.03204684,6.01940325,5.04430576,5.57617318,5.07113778
23.5,5.03229575,6.01790175,5.04513249,5.57606805,5.07108676
23.6,5.03256104,6.01556429,5.04601639,5.57595983,5.07101725
23.7,5.03284283,6.0123993,5.04695669,5.57584863,5.07092968
23.8,5.03314119,6.00841606,5.04795243,5.57573458,5.07082451
23.9,5.03345615,6.00362472,5.04900249,5.57561783,5.07070225
24,5.03378768,5.99803625,5.05010559,5.57549853,5.07056343
24.1,5.03413572,5.99166247,5.05126027,5.57537684,5.07040862
24.2,5.03450013,5.98451602,5.05246492,5.5752529,5.07023843
24.3,5.03488075,5.97661033,5.05371777,5.57512691,5.0700535
24.4,5.03527735,5.96795965,5.05501686,5.57499903,5.06985451
24.5,5.03568965,5.95857904,5.05636012,5.57486945,5.06964214
24.6,5.03611733,5.94848432,5.05774529,5.57473837,5.06941715
24.7,5.03656002,5.93769209,5.05916999,5.57460597,5.06918028
24.8,5.0370173,5.92621975,5.06063169,5.57447247,5.06893233
24.9,5.0374887,5.91408542,5.06212772,5.57433808,5.06867411
25,5.0379737,5.90130799,5.06365527,5.574203,5.06840646
25.1,5.03847174,5.8879071,5.06521144,5.57406746,5.06813024
25.2,5.03898223,5.87390311,5.06679318,5.57393168,5.06784634
25.3,5.0395045,5.8593171,5.06839734,5.5737959,5.06755566
25.4,5.04003788,5.84417086,5.07002067,5.57366034,5.06725913
25.5,5.04058163,5.8284869,5.07165984,5.57352523,5.06695767
25.6,5.04113498,5.81228838,5.07331141,5.57339082,5.06665224
25.7,5.04169714,5.79559917,5.07497188,5.57325735,5.0663438
25.8,5.04226727,5.77844378,5.07663767,5.57312505,5.06603334
25.9,5.0428445,5.76084736,5.07830515,5.57299416,5.06572184
26,5.04342793,5.7428357,5.07997065,5.57286494,5.06541028
26.1,5.04401664,5.7244352,5.08163043,5.57273763,5.06509967
26.2,5.04460969,5.70567282,5.08328077,5.57261246,5.064791
26.3,5.04520608,5.68657614,5.08491788,5.57248968,5.06448528
26.4,5.04580485,5.66717325,5.08653799,5.57236953,5.0641835
26.5,5.04640498,5.64749277,5.08813733,5.57225224,5.06388667
26.6,5.04700545,5.62756382,5.08971213,5.57213806,5.06359576
26.7,5.04760523,5.607416,5.09125865,5.57202721,5.06331177
26.8,5.04820327,5.58707933,5.09277319,5.57191993,5.06303567
26.9,5.04879854,5.56658424,5.09425208,5.57181643,5.06276843
27,5.04938999,5.54596156,5.0956917,5.57171695,5.06251098
27.1,5.04997657,5.52524241,5.09708852,5.57162169,5.06226428
27.2,5.05055723,5.50445825,5.09843906,5.57153086,5.06202923
27.3,5.05113094,5.48364077,5.09973992,5.57144467,5.06180673
27.4,5.05169668,5.46282189,5.10098783,5.57136331,5.06159766
27.5,5.05225344,5.44203369,5.10217957,5.57128697,5.06140287
27.6,5.05280021,5.42130837,5.10331208,5.57121583,5.06122318
27.7,5.05333601,5.4006782,5.1043824,5.57115006,5.0610594
27.8,5.05385991,5.38017546,5.1053877,5.57108984,5.06091231
27.9,5.05437095,5.35983241,5.10632529,5.57103531,5.06078263
28,5.05486825,5.3396812,5.10719265,5.57098663,5.06067108
28.1,5.05535093,5.31975381,5.10798738,5.57094392,5.06057834
28.2,5.05581814,5.30008203,5.10870727,5.57090732,5.06050503
28.3,5.0562691,5.28069736,5.10935027,5.57087694,5.06045178
28.4,5.05670302,5.26163094,5.10991452,5.57085289,5.06041913
28.5,5.0571192,5.24291352,5.11039831,5.57083527,5.06040762
28.6,5.05751695,5.22457535,5.11080016,5.57082415,5.06041773
28.7,5.05789564,5.20664615,5.11111877,5.57081961,5.0604499
28.8,5.05825469,5.18915502,5.11135303,5.57082171,5.06050452
28.9,5.05859355,5.17213035,5.11150203,5.5708305,5.06058197
29,5.05891175,5.15559979,5.11156511,5.57084602,5.06068253
29.1,5.05920886,5.13959017,5.11154176,5.57086829,5.06080649
29.2,5.0594845,5.1241274,5.11143174,5.57089732,5.06095405
29.3,5.05973836,5.10923643,5.111235,5.57093313,5.06112539
