theta,Mie,CI0,CI3,CI3+CSU,CI3*+CSU
115.6,4.21534549,6.38862079,4.18985803,5.56349016,4.19225912
115.7,4.28354508,6.08075599,4.26308985,5.55945516,4.26544988
115.8,4.35270392,5.75652883,4.33737516,5.55616656,4.33966656
115.9,4.42253785,5.41548615,4.4124014,5.55361562,4.4145981
116,4.49277075,5.05726439,4.48786584,5.55178979,4.48994335
116.1,4.56313557,4.68164551,4.56347673,5.55067279,4.56541216
116.2,4.63337521,4.28863578,4.6389542,5.55024464,4.64072629
116.3,4.70324309,3.87857592,4.71403085,5.5504817,4.71561996
116.4,4.77250362,3.45229327,4.78845216,5.55135688,4.78984025
116.5,4.84093241,3.01130887,4.86197673,5.55283965,4.86314729
116.6,4.90831644,2.55811303,4.93437624,5.55489629,4.93531429
116.7,4.974454,2.09652044,5.0054354,5.55748998,5.00612739
116.8,5.03915456,1.63210495,5.07495167,5.56058102,5.07538544
116.9,5.10223858,1.17268803,5.14273495,5.56412705,5.14289965
117,5.16353717,0.728805022,5.20860716,5.56808319,5.20849319
117.1,5.22289179,0.313993322,5.27240176,5.57240237,5.2720007
117.2,5.28015383,-0.055352056,5.33396326,5.57703546,5.33326778
117.3,5.3351842,-0.360874154,5.39314667,5.58193161,5.39215047
117.4,5.38785286,-0.584144157,5.44981694,5.58703841,5.44851469
117.5,5.43803838,-0.70946048,5.50384839,5.59230223,5.50223565
117.6,5.4856275,-0.726920544,5.55512418,5.59766839,5.55319734
117.7,5.53051463,-0.634674303,5.60353572,5.60308149,5.60129195
117.8,5.57260146,-0.43937247,5.64898217,5.60848563,5.64641935
117.9,5.61179647,-0.154597239,5.6913699,5.61382466,5.68848658
118,5.64801457,0.202003951,5.73061203,5.61904245,5.72740736
118.1,5.68117667,0.611746087,5.76662793,5.62408311,5.76310165
118.2,5.7112093,1.05722499,5.79934282,5.62889127,5.79549519
118.3,5.73804431,1.52362115,5.82868733,5.63341227,5.82451911
118.4,5.76161853,1.9991262,5.85459717,5.63759239,5.85010957
118.5,5.78187346,2.47480323,5.87701275,5.6413791,5.87220743
118.6,5.79875503,2.94417194,5.89587892,5.64472125,5.89075792
118.7,5.81221337,3.40271637,5.91114464,5.64756927,5.90571041
118.8,5.82220261,3.84742176,5.9227628,5.64987536,5.91701815
118.9,5.82868071,4.2763843,5.93068998,5.65159368,5.92463806
119,5.83160931,4.6885024,5.93488631,5.65268053,5.92853061
119.1,5.83095366,5.08324202,5.93531529,5.65309452,5.92865966
119.2,5.82668254,5.46046259,5.93194378,5.6527967,5.92499237
119.3,5.8187682,5.82029039,5.92474187,5.65175077,5.91749916
119.4,5.80718644,6.16302743,5.91368291,5.64992317,5.90615371
119.5,5.79191657,6.48908663,5.89874348,5.64728322,5.89093295
119.6,5.77294155,6.79894613,5.87990355,5.64380331,5.87181715
119.7,5.75024812,7.09311734,5.85714649,5.63945895,5.84879008
119.8,5.72382693,7.37212292,5.83045931,5.63422893,5.82183909
119.9,5.69367284,7.6364817,5.79983283,5.6280954,5.79095539
120,5.6597851,7.88669875,5.76526195,5.62104404,5.7561343
120.1,5.62216776,8.12325882,5.72674599,5.61306406,5.71737556
120.2,5.58083002,8.34662242,5.68428905,5.60414839,5.67468375
120.3,5.53578665,8.55722351,5.63790047,5.59429372,5.6280687
120.4,5.48705857,8.75546848,5.58759538,5.58350057,5.57754607
120.5,5.4346734,8.9417359,5.53339525,5.5717734,5.52313792
120.6,5.37866611,9.11637683,5.47532861,5.55912066,5.4648734
120.7,5.31907979,9.27971545,5.41343183,5.54555488,5.40278956
120.8,5.25596646,9.43204999,5.34774995,5.53109266,5.33693217
120.9,5.189388,9.57365364,5.27833772,5.51575479,5.26735675
121,5.11941717,9.70477563,5.2052606,5.49956624,5.19412965
121.1,5.0461387,9.82564222,5.12859604,5.48255623,5.11732921
121.2,4.96965052,9.93645776,5.04843477,5.46475818,5.03704717
121.3,4.89006508,10.0374055,4.96488223,5.44620978,4.95339004
121.4,4.80751077,10.1286487,4.87806018,5.42695293,4.86648072
121.5,4.72213339,10.2103312,4.7881084,5.40703375,4.7764602
121.6,4.63409782,10.282578,4.69518649,5.38650249,4.68348941
121.7,4.54358966,10.3454964,4.59947588,5.36541352,4.58775114
121.8,4.45081698,10.399176,4.50118184,5.34382519,4.4894521
121.9,4.35601211,10.4436893,4.4005356,5.32179977,4.38882506
122,4.2594334,10.4790922,4.2977966,5.29940326,4.28613102
122.1,4.16136701,10.5054241,4.19325465,5.2767053,4.1816614
122.2,4.06212853,10.522708,4.0872321,5.25377892,4.07574019
122.3,3.9620645,10.5309506,3.98008591,5.23070034,3.96872597
122.4,3.86155366,10.5301425,3.87220948,5.20754872,3.86101373
122.5,3.76100793,10.5202578,3.7640342,5.18440588,3.7530364
122.6,3.66087289,10.5012537,3.65603065,5.16135598,3.64526594
122.7,3.56162775,10.4730707,3.54870908,5.13848515,3.53821385
122.8,3.46378467,10.4356317,3.44261934,5.11588112,3.43243094
122.9,3.36788719,10.3888416,3.33834975,5.09363278,3.32850624
123,3.27450778,10.3325865,3.23652506,5.07182974,3.2270648
123.1,3.18424431,10.266733,3.137803,5.05056183,3.12876421
123.2,3.0977153,10.1911271,3.04286953,5.02991858,3.03428972
123.3,3.01555399,10.1055931,2.95243246,5.00998867,2.94434788
123.4,2.93840101,10.0099323,2.86721354,4.99085937,2.85965843
123.5,2.86689594,9.90392162,2.78793878,4.97261595,2.7809447
123.6,2.80166758,9.78731155,2.71532734,4.95534107,2.70892236
123.7,2.74332328,9.65982452,2.65007896,4.93911416,2.6442869
123.8,2.69243766,9.52115258,2.59286031,4.92401084,2.5877
123.9,2.64954077,9.3709549,2.54429076,4.91010226,2.53977535
124,2.61510654,9.20885507,2.50492793,4.89745454,2.5010643
124.1,2.58954157,9.03443789,2.47525381,4.88612821,2.4720421
