s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+7.60000000E-02,+0.00000000E+00,-7.46966058E-01,+6.64862172E-01,+1.00000000E+00,+2.41428337E+00,-7.45037943E-01,+6.67022086E-01,+1.00000000E+00,+2.41138805E+00
+7.70000000E-02,+0.00000000E+00,-7.47072537E-01,+6.64742525E-01,+1.00000000E+00,+2.41444353E+00,-7.45093698E-01,+6.66959804E-01,+1.00000000E+00,+2.41147164E+00
+7.80000000E-02,+0.00000000E+00,-7.47180389E-01,+6.64621296E-01,+1.00000000E+00,+2.41460579E+00,-7.45150183E-01,+6.66896698E-01,+1.00000000E+00,+2.41155634E+00
+7.90000000E-02,+0.00000000E+00,-7.47289613E-01,+6.64498483E-01,+1.00000000E+00,+2.41477015E+00,-7.45207396E-01,+6.66832766E-01,+1.00000000E+00,+2.41164213E+00
+8.00000000E-02,+0.00000000E+00,-7.47400210E-01,+6.64374086E-01,+1.00000000E+00,+2.41493660E+00,-7.45265338E-01,+6.66768008E-01,+1.00000000E+00,+2.41172903E+00
+8.10000000E-02,+0.00000000E+00,-7.47512178E-01,+6.64248104E-01,+1.00000000E+00,+2.41510515E+00,-7.45324009E-01,+6.66702424E-01,+1.00000000E+00,+2.41181702E+00
+8.20000000E-02,+0.00000000E+00,-7.47625516E-01,+6.64120537E-01,+1.00000000E+00,+2.41527579E+00,-7.45383409E-01,+6.66636013E-01,+1.00000000E+00,+2.41190612E+00
+8.30000000E-02,+0.00000000E+00,-7.47740224E-01,+6.63991383E-01,+1.00000000E+00,+2.41544853E+00,-7.45443538E-01,+6.66568775E-01,+1.00000000E+00,+2.41199632E+00
+8.40000000E-02,+0.00000000E+00,-7.47856301E-01,+6.63860642E-01,+1.00000000E+00,+2.41562337E+00,-7.45504396E-01,+6.66500710E-01,+1.00000000E+00,+2.41208763E+00
+8.50000000E-02,+0.00000000E+00,-7.47973747E-01,+6.63728314E-01,+1.00000000E+00,+2.41580030E+00,-7.45565982E-01,+6.66431816E-01,+1.00000000E+00,+2.41218004E+00
+8.60000000E-02,+0.00000000E+00,-7.48092559E-01,+6.63594397E-01,+1.00000000E+00,+2.41597932E+00,-7.45628298E-01,+6.66362095E-01,+1.00000000E+00,+2.41227355E+00
+8.70000000E-02,+0.00000000E+00,-7.48212738E-01,+6.63458890E-01,+1.00000000E+00,+2.41616044E+00,-7.45691343E-01,+6.66291544E-01,+1.00000000E+00,+2.41236816E+00
+8.80000000E-02,+0.00000000E+00,-7.48334283E-01,+6.63321793E-01,+1.00000000E+00,+2.41634366E+00,-7.45755116E-01,+6.66220164E-01,+1.00000000E+00,+2.41246388E+00
+8.90000000E-02,+0.00000000E+00,-7.48457193E-01,+6.63183105E-01,+1.00000000E+00,+2.41652897E+00,-7.45819619E-01,+6.66147954E-01,+1.00000000E+00,+2.41256071E+00
+9.00000000E-02,+0.00000000E+00,-7.48581466E-01,+6.63042825E-01,+1.00000000E+00,+2.41671638E+00,-7.45884850E-01,+6.66074914E-01,+1.00000000E+00,+2.41265864E+00
+9.10000000E-02,+0.00000000E+00,-7.48707104E-01,+6.62900953E-01,+1.00000000E+00,+2.41690589E+00,-7.45950810E-01,+6.66001042E-01,+1.00000000E+00,+2.41275767E+00
+9.20000000E-02,+0.00000000E+00,-7.48834103E-01,+6.62757487E-01,+1.00000000E+00,+2.41709749E+00,-7.46017500E-01,+6.65926340E-01,+1.00000000E+00,+2.41285781E+00
+9.30000000E-02,+0.00000000E+00,-7.48962464E-01,+6.62612426E-01,+1.00000000E+00,+2.41729119E+00,-7.46084918E-01,+6.65850806E-01,+1.00000000E+00,+2.41295905E+00
+9.40000000E-02,+0.00000000E+00,-7.49092186E-01,+6.62465771E-01,+1.00000000E+00,+2.41748699E+00,-7.46153065E-01,+6.65774439E-01,+1.00000000E+00,+2.41306141E+00
+9.50000000E-02,+0.00000000E+00,-7.49223267E-01,+6.62317519E-01,+1.00000000E+00,+2.41768488E+00,-7.46221941E-01,+6.65697239E-01,+1.00000000E+00,+2.41316487E+00
+9.60000000E-02,+0.00000000E+00,-7.49355707E-01,+6.62167671E-01,+1.00000000E+00,+2.41788486E+00,-7.46291546E-01,+6.65619206E-01,+1.00000000E+00,+2.41326943E+00
+9.70000000E-02,+0.00000000E+00,-7.49489505E-01,+6.62016224E-01,+1.00000000E+00,+2.41808695E+00,-7.46361880E-01,+6.65540339E-01,+1.00000000E+00,+2.41337510E+00
+9.80000000E-02,+0.00000000E+00,-7.49624661E-01,+6.61863179E-01,+1.00000000E+00,+2.41829113E+00,-7.46432943E-01,+6.65460638E-01,+1.00000000E+00,+2.41348189E+00
+9.90000000E-02,+0.00000000E+00,-7.49761172E-01,+6.61708535E-01,+1.00000000E+00,+2.41849741E+00,-7.46504735E-01,+6.65380102E-01,+1.00000000E+00,+2.41358978E+00
+1.00000000E-01,+0.00000000E+00,-7.49899039E-01,+6.61552289E-01,+1.00000000E+00,+2.41870578E+00,-7.46577256E-01,+6.65298730E-01,+1.00000000E+00,+2.41369877E+00
+1.01000000E-01,+0.00000000E+00,-7.50038260E-01,+6.61394443E-01,+1.00000000E+00,+2.41891625E+00,-7.46650506E-01,+6.65216522E-01,+1.00000000E+00,+2.41380888E+00
+1.02000000E-01,+0.00000000E+00,-7.50178834E-01,+6.61234994E-01,+1.00000000E+00,+2.41912882E+00,-7.46724485E-01,+6.65133478E-01,+1.00000000E+00,+2.41392010E+00
+1.03000000E-01,+0.00000000E+00,-7.50320760E-01,+6.61073942E-01,+1.00000000E+00,+2.41934348E+00,-7.46799193E-01,+6.65049596E-01,+1.00000000E+00,+2.41403243E+00
+1.04000000E-01,+0.00000000E+00,-7.50464038E-01,+6.60911285E-01,+1.00000000E+00,+2.41956025E+00,-7.46874630E-01,+6.64964876E-01,+1.00000000E+00,+2.41414586E+00
+1.05000000E-01,+0.00000000E+00,-7.50608667E-01,+6.60747024E-01,+1.00000000E+00,+2.41977910E+00,-7.46950796E-01,+6.64879319E-01,+1.00000000E+00,+2.41426041E+00
+1.06000000E-01,+0.00000000E+00,-7.50754644E-01,+6.60581156E-01,+1.00000000E+00,+2.42000006E+00,-7.47027691E-01,+6.64792922E-01,+1.00000000E+00,+2.41437607E+00
+1.07000000E-01,+0.00000000E+00,-7.50901970E-01,+6.60413682E-01,+1.00000000E+00,+2.42022311E+00,-7.47105315E-01,+6.64705686E-01,+1.00000000E+00,+2.41449284E+00
+1.08000000E-01,+0.00000000E+00,-7.51050644E-01,+6.60244599E-01,+1.00000000E+00,+2.42044826E+00,-7.47183667E-01,+6.64617610E-01,+1.00000000E+00,+2.41461073E+00
+1.09000000E-01,+0.00000000E+00,-7.51200664E-01,+6.60073907E-01,+1.00000000E+00,+2.42067551E+00,-7.47262749E-01,+6.64528693E-01,+1.00000000E+00,+2.41472972E+00
+1.10000000E-01,+0.00000000E+00,-7.51352029E-01,+6.59901606E-01,+1.00000000E+00,+2.42090486E+00,-7.47342560E-01,+6.64438935E-01,+1.00000000E+00,+2.41484983E+00
+1.11000000E-01,+0.00000000E+00,-7.51504738E-01,+6.59727693E-01,+1.00000000E+00,+2.42113630E+00,-7.47423100E-01,+6.64348335E-01,+1.00000000E+00,+2.41497106E+00
+1.12000000E-01,+0.00000000E+00,-7.51658790E-01,+6.59552168E-01,+1.00000000E+00,+2.42136984E+00,-7.47504369E-01,+6.64256892E-01,+1.00000000E+00,+2.41509339E+00
+1.13000000E-01,+0.00000000E+00,-7.51814185E-01,+6.59375031E-01,+1.00000000E+00,+2.42160548E+00,-7.47586367E-01,+6.64164607E-01,+1.00000000E+00,+2.41521685E+00
+1.14000000E-01,+0.00000000E+00,-7.51970921E-01,+6.59196279E-01,+1.00000000E+00,+2.42184321E+00,-7.47669093E-01,+6.64071477E-01,+1.00000000E+00,+2.41534141E+00
+1.15000000E-01,+0.00000000E+00,-7.52128997E-01,+6.59015912E-01,+1.00000000E+00,+2.42208305E+00,-7.47752549E-01,+6.63977504E-01,+1.00000000E+00,+2.41546709E+00
+1.16000000E-01,+0.00000000E+00,-7.52288411E-01,+6.58833929E-01,+1.00000000E+00,+2.42232498E+00,-7.47836734E-01,+6.63882685E-01,+1.00000000E+00,+2.41559389E+00
+1.17000000E-01,+0.00000000E+00,-7.52449163E-01,+6.58650329E-01,+1.00000000E+00,+2.42256901E+00,-7.47921648E-01,+6.63787021E-01,+1.00000000E+00,+2.41572181E+00
+1.18000000E-01,+0.00000000E+00,-7.52611252E-01,+6.58465111E-01,+1.00000000E+00,+2.42281513E+00,-7.48007291E-01,+6.63690510E-01,+1.00000000E+00,+2.41585084E+00
+1.19000000E-01,+0.00000000E+00,-7.52774677E-01,+6.58278274E-01,+1.00000000E+00,+2.42306336E+00,-7.48093663E-01,+6.63593152E-01,+1.00000000E+00,+2.41598098E+00
+1.20000000E-01,+0.00000000E+00,-7.52939436E-01,+6.58089816E-01,+1.00000000E+00,+2.42331368E+00,-7.48180764E-01,+6.63494947E-01,+1.00000000E+00,+2.41611225E+00
+1.21000000E-01,+0.00000000E+00,-7.53105528E-01,+6.57899737E-01,+1.00000000E+00,+2.42356610E+00,-7.48268594E-01,+6.63395894E-01,+1.00000000E+00,+2.41624464E+00
+1.22000000E-01,+0.00000000E+00,-7.53272952E-01,+6.57708035E-01,+1.00000000E+00,+2.42382062E+00,-7.48357153E-01,+6.63295991E-01,+1.00000000E+00,+2.41637814E+00
+1.23000000E-01,+0.00000000E+00,-7.53441707E-01,+6.57514710E-01,+1.00000000E+00,+2.42407724E+00,-7.48446441E-01,+6.63195239E-01,+1.00000000E+00,+2.41651276E+00
+1.24000000E-01,+0.00000000E+00,-7.53611792E-01,+6.57319760E-01,+1.00000000E+00,+2.42433596E+00,-7.48536458E-01,+6.63093637E-01,+1.00000000E+00,+2.41664850E+00
+1.25000000E-01,+0.00000000E+00,-7.53783205E-01,+6.57123185E-01,+1.00000000E+00,+2.42459677E+00,-7.48627204E-01,+6.62991184E-01,+1.00000000E+00,+2.41678537E+00
+1.26000000E-01,+0.00000000E+00,-7.53955946E-01,+6.56924982E-01,+1.00000000E+00,+2.42485969E+00,-7.48718679E-01,+6.62887879E-01,+1.00000000E+00,+2.41692335E+00
+1.27000000E-01,+0.00000000E+00,-7.54130012E-01,+6.56725151E-01,+1.00000000E+00,+2.42512470E+00,-7.48810883E-01,+6.62783722E-01,+1.00000000E+00,+2.41706246E+00
+1.28000000E-01,+0.00000000E+00,-7.54305404E-01,+6.56523691E-01,+1.00000000E+00,+2.42539181E+00,-7.48903816E-01,+6.62678711E-01,+1.00000000E+00,+2.41720268E+00
+1.29000000E-01,+0.00000000E+00,-7.54482119E-01,+6.56320601E-01,+1.00000000E+00,+2.42566102E+00,-7.48997478E-01,+6.62572847E-01,+1.00000000E+00,+2.41734403E+00
+1.30000000E-01,+0.00000000E+00,-7.54660157E-01,+6.56115880E-01,+1.00000000E+00,+2.42593233E+00,-7.49091869E-01,+6.62466128E-01,+1.00000000E+00,+2.41748651E+00
+1.31000000E-01,+0.00000000E+00,-7.54839516E-01,+6.55909525E-01,+1.00000000E+00,+2.42620574E+00,-7.49186990E-01,+6.62358554E-01,+1.00000000E+00,+2.41763010E+00
+1.32000000E-01,+0.00000000E+00,-7.55020194E-01,+6.55701537E-01,+1.00000000E+00,+2.42648124E+00,-7.49282839E-01,+6.62250124E-01,+1.00000000E+00,+2.41777483E+00
+1.33000000E-01,+0.00000000E+00,-7.55202191E-01,+6.55491915E-01,+1.00000000E+00,+2.42675885E+00,-7.49379417E-01,+6.62140837E-01,+1.00000000E+00,+2.41792067E+00
+1.34000000E-01,+0.00000000E+00,-7.55385506E-01,+6.55280655E-01,+1.00000000E+00,+2.42703855E+00,-7.49476725E-01,+6.62030693E-01,+1.00000000E+00,+2.41806764E+00
+1.35000000E-01,+0.00000000E+00,-7.55570136E-01,+6.55067759E-01,+1.00000000E+00,+2.42732036E+00,-7.49574761E-01,+6.61919691E-01,+1.00000000E+00,+2.41821574E+00
+1.36000000E-01,+0.00000000E+00,-7.55756082E-01,+6.54853224E-01,+1.00000000E+00,+2.42760426E+00,-7.49673527E-01,+6.61807829E-01,+1.00000000E+00,+2.41836496E+00
