theta_1,theta_2,Re(r_ap.tm),Im(r_ap.tm),Abs(r_ap.tm),Arg(r_ap.tm),Re(r_ap.te),Im(r_ap.te),Abs(r_ap.te),Arg(r_ap.te)
+5.27867610E+00,+0.00000000E+00,+9.06762149E-01,-4.04651478E-01,+9.92955393E-01,-4.19739208E-01,+9.08202727E-01,-4.01542151E-01,+9.93009714E-01,-4.16288590E-01
+5.33621859E+00,+0.00000000E+00,+9.06737653E-01,-4.04660125E-01,+9.92936548E-01,-4.19757213E-01,+9.08209835E-01,-4.01482771E-01,+9.92992205E-01,-4.16231003E-01
+5.39376647E+00,+0.00000000E+00,+9.06712888E-01,-4.04668869E-01,+9.92917496E-01,-4.19775420E-01,+9.08217019E-01,-4.01422750E-01,+9.92974511E-01,-4.16172793E-01
+5.45131981E+00,+0.00000000E+00,+9.06687851E-01,-4.04677711E-01,+9.92898237E-01,-4.19793829E-01,+9.08224280E-01,-4.01362089E-01,+9.92956630E-01,-4.16113960E-01
+5.50887867E+00,+0.00000000E+00,+9.06662544E-01,-4.04686651E-01,+9.92878771E-01,-4.19812440E-01,+9.08231617E-01,-4.01300788E-01,+9.92938564E-01,-4.16054504E-01
+5.56644311E+00,+0.00000000E+00,+9.06636965E-01,-4.04695690E-01,+9.92859098E-01,-4.19831254E-01,+9.08239029E-01,-4.01238846E-01,+9.92920312E-01,-4.15994425E-01
+5.62401318E+00,+0.00000000E+00,+9.06611116E-01,-4.04704827E-01,+9.92839218E-01,-4.19850270E-01,+9.08246518E-01,-4.01176263E-01,+9.92901875E-01,-4.15933723E-01
+5.68158895E+00,+0.00000000E+00,+9.06584995E-01,-4.04714062E-01,+9.92819130E-01,-4.19869489E-01,+9.08254084E-01,-4.01113041E-01,+9.92883252E-01,-4.15872398E-01
+5.73917048E+00,+0.00000000E+00,+9.06558602E-01,-4.04723396E-01,+9.92798835E-01,-4.19888911E-01,+9.08261725E-01,-4.01049179E-01,+9.92864444E-01,-4.15810450E-01
+5.79675782E+00,+0.00000000E+00,+9.06531937E-01,-4.04732829E-01,+9.92778332E-01,-4.19908536E-01,+9.08269442E-01,-4.00984676E-01,+9.92845451E-01,-4.15747879E-01
+5.85435104E+00,+0.00000000E+00,+9.06505000E-01,-4.04742361E-01,+9.92757621E-01,-4.19928365E-01,+9.08277236E-01,-4.00919533E-01,+9.92826273E-01,-4.15684684E-01
+5.91195020E+00,+0.00000000E+00,+9.06477791E-01,-4.04751992E-01,+9.92736703E-01,-4.19948398E-01,+9.08285105E-01,-4.00853750E-01,+9.92806910E-01,-4.15620866E-01
+5.96955535E+00,+0.00000000E+00,+9.06450309E-01,-4.04761723E-01,+9.92715577E-01,-4.19968635E-01,+9.08293051E-01,-4.00787327E-01,+9.92787363E-01,-4.15556426E-01
+6.02716656E+00,+0.00000000E+00,+9.06422555E-01,-4.04771553E-01,+9.92694242E-01,-4.19989077E-01,+9.08301072E-01,-4.00720264E-01,+9.92767631E-01,-4.15491361E-01
+6.08478389E+00,+0.00000000E+00,+9.06394528E-01,-4.04781482E-01,+9.92672700E-01,-4.20009723E-01,+9.08309170E-01,-4.00652562E-01,+9.92747714E-01,-4.15425674E-01
+6.14240739E+00,+0.00000000E+00,+9.06366228E-01,-4.04791512E-01,+9.92650949E-01,-4.20030574E-01,+9.08317344E-01,-4.00584219E-01,+9.92727613E-01,-4.15359364E-01
+6.20003713E+00,+0.00000000E+00,+9.06337654E-01,-4.04801641E-01,+9.92628990E-01,-4.20051630E-01,+9.08325593E-01,-4.00515237E-01,+9.92707327E-01,-4.15292430E-01
+6.25767317E+00,+0.00000000E+00,+9.06308807E-01,-4.04811870E-01,+9.92606822E-01,-4.20072891E-01,+9.08333919E-01,-4.00445615E-01,+9.92686858E-01,-4.15224873E-01
+6.31531557E+00,+0.00000000E+00,+9.06279686E-01,-4.04822200E-01,+9.92584446E-01,-4.20094358E-01,+9.08342320E-01,-4.00375353E-01,+9.92666204E-01,-4.15156692E-01
+6.37296439E+00,+0.00000000E+00,+9.06250291E-01,-4.04832630E-01,+9.92561861E-01,-4.20116031E-01,+9.08350797E-01,-4.00304452E-01,+9.92645367E-01,-4.15087889E-01
+6.43061968E+00,+0.00000000E+00,+9.06220621E-01,-4.04843161E-01,+9.92539067E-01,-4.20137911E-01,+9.08359350E-01,-4.00232911E-01,+9.92624346E-01,-4.15018462E-01
+6.48828152E+00,+0.00000000E+00,+9.06190678E-01,-4.04853793E-01,+9.92516064E-01,-4.20159997E-01,+9.08367979E-01,-4.00160731E-01,+9.92603141E-01,-4.14948411E-01
+6.54594995E+00,+0.00000000E+00,+9.06160459E-01,-4.04864525E-01,+9.92492852E-01,-4.20182289E-01,+9.08376684E-01,-4.00087911E-01,+9.92581753E-01,-4.14877738E-01
+6.60362505E+00,+0.00000000E+00,+9.06129966E-01,-4.04875359E-01,+9.92469431E-01,-4.20204789E-01,+9.08385465E-01,-4.00014451E-01,+9.92560182E-01,-4.14806441E-01
+6.66130687E+00,+0.00000000E+00,+9.06099198E-01,-4.04886294E-01,+9.92445801E-01,-4.20227496E-01,+9.08394321E-01,-3.99940353E-01,+9.92538427E-01,-4.14734520E-01
+6.71899547E+00,+0.00000000E+00,+9.06068154E-01,-4.04897330E-01,+9.92421961E-01,-4.20250411E-01,+9.08403253E-01,-3.99865615E-01,+9.92516489E-01,-4.14661976E-01
+6.77669091E+00,+0.00000000E+00,+9.06036835E-01,-4.04908469E-01,+9.92397911E-01,-4.20273534E-01,+9.08412261E-01,-3.99790238E-01,+9.92494368E-01,-4.14588809E-01
+6.83439326E+00,+0.00000000E+00,+9.06005239E-01,-4.04919709E-01,+9.92373651E-01,-4.20296865E-01,+9.08421345E-01,-3.99714221E-01,+9.92472065E-01,-4.14515018E-01
+6.89210258E+00,+0.00000000E+00,+9.05973368E-01,-4.04931051E-01,+9.92349182E-01,-4.20320404E-01,+9.08430504E-01,-3.99637566E-01,+9.92449578E-01,-4.14440603E-01
+6.94981892E+00,+0.00000000E+00,+9.05941220E-01,-4.04942495E-01,+9.92324503E-01,-4.20344153E-01,+9.08439739E-01,-3.99560272E-01,+9.92426910E-01,-4.14365566E-01
+7.00754235E+00,+0.00000000E+00,+9.05908796E-01,-4.04954042E-01,+9.92299613E-01,-4.20368110E-01,+9.08449050E-01,-3.99482338E-01,+9.92404058E-01,-4.14289904E-01
+7.06527293E+00,+0.00000000E+00,+9.05876095E-01,-4.04965691E-01,+9.92274514E-01,-4.20392277E-01,+9.08458436E-01,-3.99403766E-01,+9.92381025E-01,-4.14213619E-01
+7.12301072E+00,+0.00000000E+00,+9.05843117E-01,-4.04977443E-01,+9.92249203E-01,-4.20416654E-01,+9.08467898E-01,-3.99324555E-01,+9.92357810E-01,-4.14136711E-01
+7.18075578E+00,+0.00000000E+00,+9.05809861E-01,-4.04989298E-01,+9.92223683E-01,-4.20441241E-01,+9.08477436E-01,-3.99244705E-01,+9.92334412E-01,-4.14059179E-01
+7.23850818E+00,+0.00000000E+00,+9.05776328E-01,-4.05001257E-01,+9.92197951E-01,-4.20466039E-01,+9.08487049E-01,-3.99164216E-01,+9.92310833E-01,-4.13981023E-01
+7.29626797E+00,+0.00000000E+00,+9.05742517E-01,-4.05013319E-01,+9.92172009E-01,-4.20491047E-01,+9.08496738E-01,-3.99083088E-01,+9.92287072E-01,-4.13902244E-01
+7.35403521E+00,+0.00000000E+00,+9.05708428E-01,-4.05025484E-01,+9.92145856E-01,-4.20516266E-01,+9.08506502E-01,-3.99001322E-01,+9.92263130E-01,-4.13822841E-01
+7.41180997E+00,+0.00000000E+00,+9.05674060E-01,-4.05037753E-01,+9.92119491E-01,-4.20541696E-01,+9.08516342E-01,-3.98918917E-01,+9.92239006E-01,-4.13742814E-01
+7.46959232E+00,+0.00000000E+00,+9.05639414E-01,-4.05050126E-01,+9.92092916E-01,-4.20567338E-01,+9.08526257E-01,-3.98835874E-01,+9.92214701E-01,-4.13662164E-01
+7.52738230E+00,+0.00000000E+00,+9.05604489E-01,-4.05062603E-01,+9.92066128E-01,-4.20593193E-01,+9.08536247E-01,-3.98752193E-01,+9.92190216E-01,-4.13580889E-01
+7.58517999E+00,+0.00000000E+00,+9.05569285E-01,-4.05075185E-01,+9.92039130E-01,-4.20619259E-01,+9.08546313E-01,-3.98667872E-01,+9.92165549E-01,-4.13498992E-01
+7.64298544E+00,+0.00000000E+00,+9.05533801E-01,-4.05087871E-01,+9.92011919E-01,-4.20645539E-01,+9.08556455E-01,-3.98582914E-01,+9.92140701E-01,-4.13416470E-01
+7.70079872E+00,+0.00000000E+00,+9.05498038E-01,-4.05100662E-01,+9.91984497E-01,-4.20672031E-01,+9.08566672E-01,-3.98497318E-01,+9.92115673E-01,-4.13333325E-01
+7.75861989E+00,+0.00000000E+00,+9.05461994E-01,-4.05113558E-01,+9.91956863E-01,-4.20698737E-01,+9.08576964E-01,-3.98411083E-01,+9.92090465E-01,-4.13249555E-01
+7.81644901E+00,+0.00000000E+00,+9.05425671E-01,-4.05126559E-01,+9.91929017E-01,-4.20725656E-01,+9.08587331E-01,-3.98324210E-01,+9.92065076E-01,-4.13165162E-01
