kx/k0,Exact,CI0,CI3,CI3+CSU
1.548603352,0.249642115,0.212691168,0.249646891,0.249420656
1.558659218,0.25323421,0.212691168,0.253238855,0.252956379
1.568715084,0.2568733,0.212691168,0.25687778,0.256538855
1.57877095,0.260558634,0.212691168,0.260562915,0.260167351
1.588826816,0.264289483,0.212691168,0.264293526,0.263841152
1.598882682,0.268065134,0.212691168,0.2680689,0.26755956
1.608938547,0.271884894,0.212691168,0.271888344,0.271321897
1.618994413,0.275748091,0.212691168,0.275751179,0.2751275
1.629050279,0.279654067,0.212691168,0.27965675,0.278975725
1.639106145,0.283602186,0.212691168,0.283604415,0.282865943
1.649162011,0.287591826,0.212691168,0.287593553,0.286797542
1.659217877,0.291622386,0.212691168,0.291623559,0.290769929
1.669273743,0.295693278,0.212691168,0.295693844,0.294782524
1.679329609,0.299803935,0.212691168,0.299803837,0.298834763
1.689385475,0.303953801,0.212691168,0.303952982,0.302926098
1.699441341,0.308142339,0.212691168,0.308140739,0.307055997
1.709497207,0.312369026,0.212691168,0.312366582,0.31122394
1.719553073,0.316633355,0.212691168,0.316630002,0.315429423
1.729608939,0.320934831,0.212691168,0.320930501,0.319671954
1.739664804,0.325272974,0.212691168,0.325267599,0.323951057
1.74972067,0.329647318,0.212691168,0.329640824,0.328266265
1.759776536,0.334057409,0.212691168,0.334049722,0.332617128
1.769832402,0.338502806,0.212691168,0.338493849,0.337003205
1.779888268,0.342983081,0.212691168,0.342972774,0.341424067
1.789944134,0.347497816,0.212691168,0.347486076,0.345879298
1.8,0.352046606,0.212691168,0.352033348,0.350368491
