theta1,theta_2,Re(r_ibc0.tm),Im(r_ibc0.tm),Abs(r_ibc0.tm),Arg(r_ibc0.tm),Re(r_ibc0.te),Im(r_ibc0.te),Abs(r_ibc0.te),Arg(r_ibc0.te)
+2.11001960E+01,+0.00000000E+00,+8.95403593E-01,-4.30559400E-01,+9.93543653E-01,-4.48214735E-01,+9.19000988E-01,-3.79591608E-01,+9.94310116E-01,-3.91703884E-01
+2.17156173E+01,+0.00000000E+00,+8.94592820E-01,-4.32185232E-01,+9.93519194E-01,-4.50043176E-01,+9.19629277E-01,-3.78124905E-01,+9.94332163E-01,-3.90099316E-01
+2.23336827E+01,+0.00000000E+00,+8.93746300E-01,-4.33874901E-01,+9.93493774E-01,-4.51945218E-01,+9.20275321E-01,-3.76609972E-01,+9.94354936E-01,-3.88443170E-01
+2.29544994E+01,+0.00000000E+00,+8.92862577E-01,-4.35630369E-01,+9.93467363E-01,-4.53923295E-01,+9.20939167E-01,-3.75046052E-01,+9.94378444E-01,-3.86734727E-01
+2.35781785E+01,+0.00000000E+00,+8.91940099E-01,-4.37453717E-01,+9.93439930E-01,-4.55979995E-01,+9.21620861E-01,-3.73432347E-01,+9.94402700E-01,-3.84973229E-01
+2.42048348E+01,+0.00000000E+00,+8.90977202E-01,-4.39347150E-01,+9.93411442E-01,-4.58118069E-01,+9.22320453E-01,-3.71768023E-01,+9.94427716E-01,-3.83157882E-01
+2.48345875E+01,+0.00000000E+00,+8.89972109E-01,-4.41313008E-01,+9.93381863E-01,-4.60340443E-01,+9.23037995E-01,-3.70052204E-01,+9.94453505E-01,-3.81287853E-01
+2.54675601E+01,+0.00000000E+00,+8.88922916E-01,-4.43353773E-01,+9.93351156E-01,-4.62650234E-01,+9.23773538E-01,-3.68283971E-01,+9.94480082E-01,-3.79362265E-01
+2.61038811E+01,+0.00000000E+00,+8.87827585E-01,-4.45472082E-01,+9.93319282E-01,-4.65050760E-01,+9.24527137E-01,-3.66462359E-01,+9.94507460E-01,-3.77380201E-01
+2.67436840E+01,+0.00000000E+00,+8.86683926E-01,-4.47670734E-01,+9.93286197E-01,-4.67545559E-01,+9.25298848E-01,-3.64586355E-01,+9.94535655E-01,-3.75340695E-01
+2.73871075E+01,+0.00000000E+00,+8.85489591E-01,-4.49952706E-01,+9.93251858E-01,-4.70138406E-01,+9.26088729E-01,-3.62654896E-01,+9.94564682E-01,-3.73242732E-01
+2.80342965E+01,+0.00000000E+00,+8.84242057E-01,-4.52321165E-01,+9.93216216E-01,-4.72833330E-01,+9.26896839E-01,-3.60666864E-01,+9.94594559E-01,-3.71085246E-01
+2.86854020E+01,+0.00000000E+00,+8.82938609E-01,-4.54779481E-01,+9.93179220E-01,-4.75634638E-01,+9.27723240E-01,-3.58621085E-01,+9.94625302E-01,-3.68867115E-01
+2.93405816E+01,+0.00000000E+00,+8.81576324E-01,-4.57331244E-01,+9.93140817E-01,-4.78546936E-01,+9.28567995E-01,-3.56516324E-01,+9.94656932E-01,-3.66587160E-01
+3.00000000E+01,+0.00000000E+00,+8.80152049E-01,-4.59980284E-01,+9.93100947E-01,-4.81575157E-01,+9.29431171E-01,-3.54351281E-01,+9.94689465E-01,-3.64244137E-01
+3.06638297E+01,+0.00000000E+00,+8.78662384E-01,-4.62730685E-01,+9.93059551E-01,-4.84724586E-01,+9.30312835E-01,-3.52124588E-01,+9.94722925E-01,-3.61836736E-01
+3.13322515E+01,+0.00000000E+00,+8.77103650E-01,-4.65586811E-01,+9.93016562E-01,-4.88000896E-01,+9.31213057E-01,-3.49834803E-01,+9.94757331E-01,-3.59363579E-01
+3.20054548E+01,+0.00000000E+00,+8.75471868E-01,-4.68553327E-01,+9.92971909E-01,-4.91410182E-01,+9.32131909E-01,-3.47480406E-01,+9.94792706E-01,-3.56823207E-01
+3.26836388E+01,+0.00000000E+00,+8.73762724E-01,-4.71635224E-01,+9.92925517E-01,-4.94959000E-01,+9.33069466E-01,-3.45059794E-01,+9.94829075E-01,-3.54214083E-01
+3.33670130E+01,+0.00000000E+00,+8.71971535E-01,-4.74837852E-01,+9.92877306E-01,-4.98654411E-01,+9.34025805E-01,-3.42571272E-01,+9.94866464E-01,-3.51534583E-01
+3.40557977E+01,+0.00000000E+00,+8.70093211E-01,-4.78166948E-01,+9.92827188E-01,-5.02504033E-01,+9.35001005E-01,-3.40013052E-01,+9.94904898E-01,-3.48782987E-01
+3.47502258E+01,+0.00000000E+00,+8.68122206E-01,-4.81628672E-01,+9.92775071E-01,-5.06516092E-01,+9.35995150E-01,-3.37383239E-01,+9.94944405E-01,-3.45957475E-01
+3.54505426E+01,+0.00000000E+00,+8.66052472E-01,-4.85229648E-01,+9.92720855E-01,-5.10699490E-01,+9.37008323E-01,-3.34679827E-01,+9.94985017E-01,-3.43056119E-01
+3.61570082E+01,+0.00000000E+00,+8.63877399E-01,-4.88977007E-01,+9.92664431E-01,-5.15063875E-01,+9.38040615E-01,-3.31900691E-01,+9.95026765E-01,-3.40076870E-01
+3.68698976E+01,+0.00000000E+00,+8.61589747E-01,-4.92878437E-01,+9.92605684E-01,-5.19619716E-01,+9.39092115E-01,-3.29043573E-01,+9.95069683E-01,-3.37017556E-01
+3.75895030E+01,+0.00000000E+00,+8.59181573E-01,-4.96942238E-01,+9.92544489E-01,-5.24378404E-01,+9.40162919E-01,-3.26106075E-01,+9.95113806E-01,-3.33875864E-01
+3.83161345E+01,+0.00000000E+00,+8.56644143E-01,-5.01177384E-01,+9.92480709E-01,-5.29352345E-01,+9.41253125E-01,-3.23085644E-01,+9.95159172E-01,-3.30649330E-01
+3.90501225E+01,+0.00000000E+00,+8.53967832E-01,-5.05593595E-01,+9.92414199E-01,-5.34555087E-01,+9.42362834E-01,-3.19979559E-01,+9.95205823E-01,-3.27335328E-01
+3.97918195E+01,+0.00000000E+00,+8.51142006E-01,-5.10201413E-01,+9.92344797E-01,-5.40001453E-01,+9.43492154E-01,-3.16784919E-01,+9.95253802E-01,-3.23931050E-01
+4.05416019E+01,+0.00000000E+00,+8.48154891E-01,-5.15012293E-01,+9.92272333E-01,-5.45707697E-01,+9.44641194E-01,-3.13498618E-01,+9.95303155E-01,-3.20433496E-01
+4.12998728E+01,+0.00000000E+00,+8.44993413E-01,-5.20038707E-01,+9.92196616E-01,-5.51691686E-01,+9.45810070E-01,-3.10117334E-01,+9.95353931E-01,-3.16839447E-01
+4.20670648E+01,+0.00000000E+00,+8.41643014E-01,-5.25294254E-01,+9.92117441E-01,-5.57973111E-01,+9.46998900E-01,-3.06637501E-01,+9.95406185E-01,-3.13145447E-01
+4.28436430E+01,+0.00000000E+00,+8.38087440E-01,-5.30793799E-01,+9.92034583E-01,-5.64573726E-01,+9.48207811E-01,-3.03055287E-01,+9.95459974E-01,-3.09347780E-01
+4.36301089E+01,+0.00000000E+00,+8.34308484E-01,-5.36553619E-01,+9.91947797E-01,-5.71517639E-01,+9.49436933E-01,-2.99366564E-01,+9.95515358E-01,-3.05442438E-01
+4.44270040E+01,+0.00000000E+00,+8.30285684E-01,-5.42591576E-01,+9.91856812E-01,-5.78831644E-01,+9.50686403E-01,-2.95566876E-01,+9.95572406E-01,-3.01425090E-01
+4.52349153E+01,+0.00000000E+00,+8.25995965E-01,-5.48927320E-01,+9.91761331E-01,-5.86545614E-01,+9.51956366E-01,-2.91651402E-01,+9.95631188E-01,-2.97291046E-01
+4.60544804E+01,+0.00000000E+00,+8.21413207E-01,-5.55582516E-01,+9.91661025E-01,-5.94692973E-01,+9.53246974E-01,-2.87614909E-01,+9.95691784E-01,-2.93035213E-01
+4.68863941E+01,+0.00000000E+00,+8.16507726E-01,-5.62581112E-01,+9.91555533E-01,-6.03311254E-01,+9.54558386E-01,-2.83451707E-01,+9.95754278E-01,-2.88652044E-01
+4.77314156E+01,+0.00000000E+00,+8.11245649E-01,-5.69949646E-01,+9.91444452E-01,-6.12442765E-01,+9.55890772E-01,-2.79155586E-01,+9.95818763E-01,-2.84135483E-01
+4.85903779E+01,+0.00000000E+00,+8.05588141E-01,-5.77717609E-01,+9.91327337E-01,-6.22135403E-01,+9.57244312E-01,-2.74719748E-01,+9.95885341E-01,-2.79478891E-01
+4.94641979E+01,+0.00000000E+00,+7.99490468E-01,-5.85917865E-01,+9.91203689E-01,-6.32443631E-01,+9.58619197E-01,-2.70136728E-01,+9.95954124E-01,-2.74674972E-01
+5.03538889E+01,+0.00000000E+00,+7.92900831E-01,-5.94587141E-01,+9.91072952E-01,-6.43429685E-01,+9.60015631E-01,-2.65398292E-01,+9.96025233E-01,-2.69715671E-01
+5.12605754E+01,+0.00000000E+00,+7.85758913E-01,-6.03766609E-01,+9.90934502E-01,-6.55165050E-01,+9.61433834E-01,-2.60495328E-01,+9.96098807E-01,-2.64592064E-01
+5.21855115E+01,+0.00000000E+00,+7.77994051E-01,-6.13502568E-01,+9.90787638E-01,-6.67732309E-01,+9.62874042E-01,-2.55417699E-01,+9.96174996E-01,-2.59294214E-01
+5.31301024E+01,+0.00000000E+00,+7.69522918E-01,-6.23847242E-01,+9.90631568E-01,-6.81227453E-01,+9.64336512E-01,-2.50154080E-01,+9.96253969E-01,-2.53811009E-01
+5.40959314E+01,+0.00000000E+00,+7.60246555E-01,-6.34859729E-01,+9.90465396E-01,-6.95762814E-01,+9.65821521E-01,-2.44691746E-01,+9.96335918E-01,-2.48129951E-01
+5.50847938E+01,+0.00000000E+00,+7.50046513E-01,-6.46607111E-01,+9.90288103E-01,-7.11470819E-01,+9.67329375E-01,-2.39016318E-01,+9.96421056E-01,-2.42236901E-01
+5.60987380E+01,+0.00000000E+00,+7.38779811E-01,-6.59165756E-01,+9.90098532E-01,-7.28508860E-01,+9.68860412E-01,-2.33111435E-01,+9.96509628E-01,-2.36115758E-01
+5.71401196E+01,+0.00000000E+00,+7.26272225E-01,-6.72622833E-01,+9.89895359E-01,-7.47065687E-01,+9.70415006E-01,-2.26958352E-01,+9.96601915E-01,-2.29748054E-01
+5.82116694E+01,+0.00000000E+00,+7.12309257E-01,-6.87078034E-01,+9.89677070E-01,-7.67369923E-01,+9.71993578E-01,-2.20535408E-01,+9.96698241E-01,-2.23112432E-01
+5.93165829E+01,+0.00000000E+00,+6.96623765E-01,-7.02645475E-01,+9.89441930E-01,-7.89701605E-01,+9.73596606E-01,-2.13817349E-01,+9.96798982E-01,-2.16183961E-01
+6.04586395E+01,+0.00000000E+00,+6.78878738E-01,-7.19455679E-01,+9.89187957E-01,-8.14408075E-01,+9.75224636E-01,-2.06774414E-01,+9.96904584E-01,-2.08933237E-01
+6.16423634E+01,+0.00000000E+00,+6.58642826E-01,-7.37657324E-01,+9.88912888E-01,-8.41926352E-01,+9.76878305E-01,-1.99371109E-01,+9.97015578E-01,-2.01325156E-01
+6.28732469E+01,+0.00000000E+00,+6.35354796E-01,-7.57418154E-01,+9.88614170E-01,-8.72815336E-01,+9.78558362E-01,-1.91564512E-01,+9.97132604E-01,-1.93317229E-01
+6.41580672E+01,+0.00000000E+00,+6.08270580E-01,-7.78923616E-01,+9.88288975E-01,-9.07803435E-01,+9.80265708E-01,-1.83301864E-01,+9.97256452E-01,-1.84857176E-01
+6.55053515E+01,+0.00000000E+00,+5.76382103E-01,-8.02370155E-01,+9.87934307E-01,-9.47861204E-01,+9.82001447E-01,-1.74517047E-01,+9.97388110E-01,-1.75879422E-01
+6.69260819E+01,+0.00000000E+00,+5.38288554E-01,-8.27946292E-01,+9.87547280E-01,-9.94316283E-01,+9.83766968E-01,-1.65125252E-01,+9.97528845E-01,-1.66299775E-01
+6.84348150E+01,+0.00000000E+00,+4.91984076E-01,-8.55785649E-01,+9.87125832E-01,-1.04904343E+00,+9.85564072E-01,-1.55014526E-01,+9.97680331E-01,-1.56006996E-01
+7.00515564E+01,+0.00000000E+00,+4.34490739E-01,-8.85853469E-01,+9.86670447E-01,-1.11479611E+00,+9.87395183E-01,-1.44031645E-01,+9.97844859E-01,-1.44848708E-01
+7.18051277E+01,+0.00000000E+00,+3.61186722E-01,-9.17666451E-01,+9.86188402E-01,-1.19582575E+00,+9.89263731E-01,-1.31956794E-01,+9.98025713E-01,-1.32606121E-01
+7.37397953E+01,+0.00000000E+00,+2.64486062E-01,-9.49558485E-01,+9.85704922E-01,-1.29914586E+00,+9.91174897E-01,-1.18453800E-01,+9.98227919E-01,-1.18944350E-01
+7.59301323E+01,+0.00000000E+00,+1.30996129E-01,-9.76548703E-01,+9.85295568E-01,-1.43745040E+00,+9.93137287E-01,-1.02958783E-01,+9.98459905E-01,-1.03301219E-01
+7.85216590E+01,+0.00000000E+00,-6.53998990E-02,-9.83024227E-01,+9.85197330E-01,-1.63722772E+00,+9.95167488E-01,-8.43762540E-02,+9.98738045E-01,-8.45836891E-02
+8.18903855E+01,+0.00000000E+00,-3.83638405E-01,-9.08657498E-01,+9.86324933E-01,-1.97029596E+00,+9.97307902E-01,-5.98886840E-02,+9.99104452E-01,-5.99783197E-02
+9.00000000E+01,+0.00000000E+00,-1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+3.14159265E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00
