s1,s2,Re(z_ibc1p.tm),Im(z_ibc1p.tm),Abs(z_ibc1p.tm),Arg(z_ibc1p.tm),Re(z_ibc1p.te),Im(z_ibc1p.te),Abs(z_ibc1p.te),Arg(z_ibc1p.te)
+2.50000000E-02,+0.00000000E+00,+1.46874242E-02,+2.00516202E-01,+2.01053395E-01,+1.49767884E+00,+5.04009866E-04,+2.15128767E-01,+2.15129358E-01,+1.56845350E+00
+2.60000000E-02,+0.00000000E+00,+1.46884102E-02,+2.00515147E-01,+2.01052415E-01,+1.49767356E+00,+5.04282841E-04,+2.15128446E-01,+2.15129037E-01,+1.56845223E+00
+2.70000000E-02,+0.00000000E+00,+1.46894350E-02,+2.00514050E-01,+2.01051395E-01,+1.49766808E+00,+5.04566551E-04,+2.15128113E-01,+2.15128705E-01,+1.56845091E+00
+2.80000000E-02,+0.00000000E+00,+1.46904985E-02,+2.00512911E-01,+2.01050338E-01,+1.49766239E+00,+5.04860998E-04,+2.15127767E-01,+2.15128359E-01,+1.56844954E+00
+2.90000000E-02,+0.00000000E+00,+1.46916008E-02,+2.00511731E-01,+2.01049242E-01,+1.49765650E+00,+5.05166186E-04,+2.15127408E-01,+2.15128001E-01,+1.56844811E+00
+3.00000000E-02,+0.00000000E+00,+1.46927420E-02,+2.00510510E-01,+2.01048107E-01,+1.49765039E+00,+5.05482118E-04,+2.15127037E-01,+2.15127630E-01,+1.56844664E+00
+3.10000000E-02,+0.00000000E+00,+1.46939220E-02,+2.00509247E-01,+2.01046933E-01,+1.49764408E+00,+5.05808799E-04,+2.15126653E-01,+2.15127247E-01,+1.56844512E+00
+3.20000000E-02,+0.00000000E+00,+1.46951408E-02,+2.00507942E-01,+2.01045721E-01,+1.49763756E+00,+5.06146232E-04,+2.15126256E-01,+2.15126851E-01,+1.56844354E+00
+3.30000000E-02,+0.00000000E+00,+1.46963984E-02,+2.00506596E-01,+2.01044471E-01,+1.49763083E+00,+5.06494420E-04,+2.15125847E-01,+2.15126443E-01,+1.56844192E+00
+3.40000000E-02,+0.00000000E+00,+1.46976950E-02,+2.00505208E-01,+2.01043181E-01,+1.49762389E+00,+5.06853369E-04,+2.15125425E-01,+2.15126022E-01,+1.56844025E+00
+3.50000000E-02,+0.00000000E+00,+1.46990304E-02,+2.00503779E-01,+2.01041853E-01,+1.49761675E+00,+5.07223083E-04,+2.15124990E-01,+2.15125588E-01,+1.56843852E+00
+3.60000000E-02,+0.00000000E+00,+1.47004047E-02,+2.00502308E-01,+2.01040487E-01,+1.49760940E+00,+5.07603565E-04,+2.15124543E-01,+2.15125142E-01,+1.56843675E+00
+3.70000000E-02,+0.00000000E+00,+1.47018179E-02,+2.00500795E-01,+2.01039081E-01,+1.49760183E+00,+5.07994821E-04,+2.15124083E-01,+2.15124683E-01,+1.56843493E+00
+3.80000000E-02,+0.00000000E+00,+1.47032701E-02,+2.00499241E-01,+2.01037638E-01,+1.49759407E+00,+5.08396855E-04,+2.15123610E-01,+2.15124211E-01,+1.56843305E+00
+3.90000000E-02,+0.00000000E+00,+1.47047612E-02,+2.00497645E-01,+2.01036155E-01,+1.49758609E+00,+5.08809671E-04,+2.15123125E-01,+2.15123727E-01,+1.56843113E+00
+4.00000000E-02,+0.00000000E+00,+1.47062912E-02,+2.00496007E-01,+2.01034633E-01,+1.49757790E+00,+5.09233276E-04,+2.15122627E-01,+2.15123230E-01,+1.56842915E+00
+4.10000000E-02,+0.00000000E+00,+1.47078603E-02,+2.00494327E-01,+2.01033073E-01,+1.49756951E+00,+5.09667673E-04,+2.15122116E-01,+2.15122720E-01,+1.56842713E+00
+4.20000000E-02,+0.00000000E+00,+1.47094683E-02,+2.00492606E-01,+2.01031474E-01,+1.49756090E+00,+5.10112868E-04,+2.15121593E-01,+2.15122198E-01,+1.56842505E+00
+4.30000000E-02,+0.00000000E+00,+1.47111154E-02,+2.00490843E-01,+2.01029836E-01,+1.49755209E+00,+5.10568866E-04,+2.15121057E-01,+2.15121663E-01,+1.56842293E+00
+4.40000000E-02,+0.00000000E+00,+1.47128015E-02,+2.00489038E-01,+2.01028160E-01,+1.49754307E+00,+5.11035672E-04,+2.15120508E-01,+2.15121115E-01,+1.56842075E+00
+4.50000000E-02,+0.00000000E+00,+1.47145267E-02,+2.00487192E-01,+2.01026445E-01,+1.49753384E+00,+5.11513293E-04,+2.15119947E-01,+2.15120555E-01,+1.56841853E+00
+4.60000000E-02,+0.00000000E+00,+1.47162909E-02,+2.00485303E-01,+2.01024690E-01,+1.49752440E+00,+5.12001734E-04,+2.15119373E-01,+2.15119982E-01,+1.56841625E+00
+4.70000000E-02,+0.00000000E+00,+1.47180943E-02,+2.00483373E-01,+2.01022897E-01,+1.49751475E+00,+5.12501000E-04,+2.15118786E-01,+2.15119396E-01,+1.56841392E+00
+4.80000000E-02,+0.00000000E+00,+1.47199368E-02,+2.00481401E-01,+2.01021065E-01,+1.49750489E+00,+5.13011098E-04,+2.15118186E-01,+2.15118798E-01,+1.56841154E+00
+4.90000000E-02,+0.00000000E+00,+1.47218184E-02,+2.00479387E-01,+2.01019194E-01,+1.49749482E+00,+5.13532033E-04,+2.15117574E-01,+2.15118187E-01,+1.56840912E+00
+5.00000000E-02,+0.00000000E+00,+1.47237392E-02,+2.00477331E-01,+2.01017285E-01,+1.49748454E+00,+5.14063813E-04,+2.15116949E-01,+2.15117563E-01,+1.56840664E+00
+5.10000000E-02,+0.00000000E+00,+1.47256992E-02,+2.00475233E-01,+2.01015336E-01,+1.49747405E+00,+5.14606442E-04,+2.15116311E-01,+2.15116926E-01,+1.56840411E+00
+5.20000000E-02,+0.00000000E+00,+1.47276984E-02,+2.00473093E-01,+2.01013348E-01,+1.49746335E+00,+5.15159928E-04,+2.15115660E-01,+2.15116277E-01,+1.56840153E+00
+5.30000000E-02,+0.00000000E+00,+1.47297368E-02,+2.00470911E-01,+2.01011322E-01,+1.49745244E+00,+5.15724278E-04,+2.15114997E-01,+2.15115615E-01,+1.56839890E+00
+5.40000000E-02,+0.00000000E+00,+1.47318145E-02,+2.00468687E-01,+2.01009256E-01,+1.49744132E+00,+5.16299497E-04,+2.15114320E-01,+2.15114940E-01,+1.56839621E+00
+5.50000000E-02,+0.00000000E+00,+1.47339315E-02,+2.00466421E-01,+2.01007151E-01,+1.49742999E+00,+5.16885593E-04,+2.15113631E-01,+2.15114252E-01,+1.56839348E+00
+5.60000000E-02,+0.00000000E+00,+1.47360878E-02,+2.00464113E-01,+2.01005007E-01,+1.49741845E+00,+5.17482573E-04,+2.15112930E-01,+2.15113552E-01,+1.56839070E+00
+5.70000000E-02,+0.00000000E+00,+1.47382834E-02,+2.00461763E-01,+2.01002824E-01,+1.49740670E+00,+5.18090444E-04,+2.15112215E-01,+2.15112839E-01,+1.56838787E+00
+5.80000000E-02,+0.00000000E+00,+1.47405184E-02,+2.00459371E-01,+2.01000602E-01,+1.49739474E+00,+5.18709213E-04,+2.15111488E-01,+2.15112113E-01,+1.56838498E+00
+5.90000000E-02,+0.00000000E+00,+1.47427928E-02,+2.00456936E-01,+2.00998341E-01,+1.49738257E+00,+5.19338887E-04,+2.15110748E-01,+2.15111374E-01,+1.56838205E+00
+6.00000000E-02,+0.00000000E+00,+1.47451066E-02,+2.00454460E-01,+2.00996041E-01,+1.49737018E+00,+5.19979475E-04,+2.15109994E-01,+2.15110623E-01,+1.56837906E+00
+6.10000000E-02,+0.00000000E+00,+1.47474599E-02,+2.00451941E-01,+2.00993702E-01,+1.49735759E+00,+5.20630983E-04,+2.15109229E-01,+2.15109859E-01,+1.56837602E+00
+6.20000000E-02,+0.00000000E+00,+1.47498526E-02,+2.00449380E-01,+2.00991323E-01,+1.49734478E+00,+5.21293420E-04,+2.15108450E-01,+2.15109082E-01,+1.56837293E+00
+6.30000000E-02,+0.00000000E+00,+1.47522848E-02,+2.00446776E-01,+2.00988905E-01,+1.49733176E+00,+5.21966794E-04,+2.15107658E-01,+2.15108292E-01,+1.56836979E+00
+6.40000000E-02,+0.00000000E+00,+1.47547566E-02,+2.00444130E-01,+2.00986448E-01,+1.49731853E+00,+5.22651112E-04,+2.15106854E-01,+2.15107489E-01,+1.56836660E+00
+6.50000000E-02,+0.00000000E+00,+1.47572679E-02,+2.00441442E-01,+2.00983951E-01,+1.49730508E+00,+5.23346382E-04,+2.15106037E-01,+2.15106673E-01,+1.56836336E+00
+6.60000000E-02,+0.00000000E+00,+1.47598188E-02,+2.00438712E-01,+2.00981416E-01,+1.49729143E+00,+5.24052614E-04,+2.15105206E-01,+2.15105845E-01,+1.56836007E+00
+6.70000000E-02,+0.00000000E+00,+1.47624094E-02,+2.00435939E-01,+2.00978841E-01,+1.49727756E+00,+5.24769815E-04,+2.15104363E-01,+2.15105003E-01,+1.56835673E+00
+6.80000000E-02,+0.00000000E+00,+1.47650396E-02,+2.00433124E-01,+2.00976226E-01,+1.49726348E+00,+5.25497994E-04,+2.15103507E-01,+2.15104149E-01,+1.56835333E+00
+6.90000000E-02,+0.00000000E+00,+1.47677094E-02,+2.00430266E-01,+2.00973572E-01,+1.49724919E+00,+5.26237159E-04,+2.15102638E-01,+2.15103282E-01,+1.56834988E+00
+7.00000000E-02,+0.00000000E+00,+1.47704190E-02,+2.00427366E-01,+2.00970879E-01,+1.49723468E+00,+5.26987321E-04,+2.15101757E-01,+2.15102402E-01,+1.56834639E+00
+7.10000000E-02,+0.00000000E+00,+1.47731684E-02,+2.00424423E-01,+2.00968146E-01,+1.49721996E+00,+5.27748487E-04,+2.15100862E-01,+2.15101509E-01,+1.56834284E+00
+7.20000000E-02,+0.00000000E+00,+1.47759575E-02,+2.00421437E-01,+2.00965374E-01,+1.49720503E+00,+5.28520667E-04,+2.15099954E-01,+2.15100603E-01,+1.56833924E+00
+7.30000000E-02,+0.00000000E+00,+1.47787864E-02,+2.00418409E-01,+2.00962562E-01,+1.49718988E+00,+5.29303870E-04,+2.15099033E-01,+2.15099685E-01,+1.56833559E+00
+7.40000000E-02,+0.00000000E+00,+1.47816552E-02,+2.00415339E-01,+2.00959711E-01,+1.49717452E+00,+5.30098105E-04,+2.15098100E-01,+2.15098753E-01,+1.56833188E+00
+7.50000000E-02,+0.00000000E+00,+1.47845639E-02,+2.00412225E-01,+2.00956820E-01,+1.49715895E+00,+5.30903382E-04,+2.15097153E-01,+2.15097808E-01,+1.56832813E+00
+7.60000000E-02,+0.00000000E+00,+1.47875125E-02,+2.00409069E-01,+2.00953889E-01,+1.49714316E+00,+5.31719711E-04,+2.15096193E-01,+2.15096851E-01,+1.56832432E+00
+7.70000000E-02,+0.00000000E+00,+1.47905010E-02,+2.00405870E-01,+2.00950919E-01,+1.49712715E+00,+5.32547101E-04,+2.15095221E-01,+2.15095880E-01,+1.56832047E+00
+7.80000000E-02,+0.00000000E+00,+1.47935296E-02,+2.00402628E-01,+2.00947909E-01,+1.49711094E+00,+5.33385563E-04,+2.15094235E-01,+2.15094897E-01,+1.56831656E+00
+7.90000000E-02,+0.00000000E+00,+1.47965981E-02,+2.00399344E-01,+2.00944859E-01,+1.49709450E+00,+5.34235106E-04,+2.15093237E-01,+2.15093900E-01,+1.56831259E+00
+8.00000000E-02,+0.00000000E+00,+1.47997067E-02,+2.00396017E-01,+2.00941770E-01,+1.49707786E+00,+5.35095741E-04,+2.15092225E-01,+2.15092890E-01,+1.56830858E+00
+8.10000000E-02,+0.00000000E+00,+1.48028555E-02,+2.00392646E-01,+2.00938640E-01,+1.49706099E+00,+5.35967478E-04,+2.15091200E-01,+2.15091868E-01,+1.56830452E+00
+8.20000000E-02,+0.00000000E+00,+1.48060443E-02,+2.00389233E-01,+2.00935471E-01,+1.49704392E+00,+5.36850327E-04,+2.15090162E-01,+2.15090832E-01,+1.56830040E+00
+8.30000000E-02,+0.00000000E+00,+1.48092734E-02,+2.00385777E-01,+2.00932262E-01,+1.49702662E+00,+5.37744300E-04,+2.15089111E-01,+2.15089784E-01,+1.56829623E+00
+8.40000000E-02,+0.00000000E+00,+1.48125426E-02,+2.00382277E-01,+2.00929013E-01,+1.49700911E+00,+5.38649407E-04,+2.15088047E-01,+2.15088722E-01,+1.56829201E+00
+8.50000000E-02,+0.00000000E+00,+1.48158521E-02,+2.00378735E-01,+2.00925725E-01,+1.49699138E+00,+5.39565659E-04,+2.15086970E-01,+2.15087647E-01,+1.56828774E+00
+8.60000000E-02,+0.00000000E+00,+1.48192019E-02,+2.00375149E-01,+2.00922396E-01,+1.49697344E+00,+5.40493067E-04,+2.15085880E-01,+2.15086559E-01,+1.56828341E+00
+8.70000000E-02,+0.00000000E+00,+1.48225921E-02,+2.00371520E-01,+2.00919027E-01,+1.49695528E+00,+5.41431642E-04,+2.15084777E-01,+2.15085458E-01,+1.56827904E+00
+8.80000000E-02,+0.00000000E+00,+1.48260226E-02,+2.00367848E-01,+2.00915618E-01,+1.49693691E+00,+5.42381395E-04,+2.15083660E-01,+2.15084344E-01,+1.56827461E+00
+8.90000000E-02,+0.00000000E+00,+1.48294935E-02,+2.00364133E-01,+2.00912169E-01,+1.49691831E+00,+5.43342339E-04,+2.15082531E-01,+2.15083217E-01,+1.56827013E+00
+9.00000000E-02,+0.00000000E+00,+1.48330049E-02,+2.00360375E-01,+2.00908680E-01,+1.49689950E+00,+5.44314484E-04,+2.15081388E-01,+2.15082077E-01,+1.56826559E+00
+9.10000000E-02,+0.00000000E+00,+1.48365568E-02,+2.00356573E-01,+2.00905151E-01,+1.49688047E+00,+5.45297842E-04,+2.15080232E-01,+2.15080923E-01,+1.56826101E+00
+9.20000000E-02,+0.00000000E+00,+1.48401493E-02,+2.00352728E-01,+2.00901582E-01,+1.49686123E+00,+5.46292426E-04,+2.15079063E-01,+2.15079757E-01,+1.56825637E+00
+9.30000000E-02,+0.00000000E+00,+1.48437823E-02,+2.00348839E-01,+2.00897972E-01,+1.49684176E+00,+5.47298248E-04,+2.15077880E-01,+2.15078577E-01,+1.56825168E+00
+9.40000000E-02,+0.00000000E+00,+1.48474560E-02,+2.00344907E-01,+2.00894322E-01,+1.49682208E+00,+5.48315318E-04,+2.15076685E-01,+2.15077384E-01,+1.56824694E+00
+9.50000000E-02,+0.00000000E+00,+1.48511703E-02,+2.00340931E-01,+2.00890631E-01,+1.49680218E+00,+5.49343651E-04,+2.15075476E-01,+2.15076178E-01,+1.56824214E+00
+9.60000000E-02,+0.00000000E+00,+1.48549254E-02,+2.00336911E-01,+2.00886901E-01,+1.49678206E+00,+5.50383258E-04,+2.15074254E-01,+2.15074958E-01,+1.56823729E+00
+9.70000000E-02,+0.00000000E+00,+1.48587213E-02,+2.00332848E-01,+2.00883130E-01,+1.49676172E+00,+5.51434153E-04,+2.15073018E-01,+2.15073725E-01,+1.56823239E+00
+9.80000000E-02,+0.00000000E+00,+1.48625579E-02,+2.00328742E-01,+2.00879318E-01,+1.49674116E+00,+5.52496347E-04,+2.15071770E-01,+2.15072480E-01,+1.56822744E+00
+9.90000000E-02,+0.00000000E+00,+1.48664354E-02,+2.00324591E-01,+2.00875466E-01,+1.49672038E+00,+5.53569853E-04,+2.15070508E-01,+2.15071220E-01,+1.56822243E+00
+1.00000000E-01,+0.00000000E+00,+1.48703539E-02,+2.00320397E-01,+2.00871573E-01,+1.49669938E+00,+5.54654686E-04,+2.15069233E-01,+2.15069948E-01,+1.56821737E+00
+1.01000000E-01,+0.00000000E+00,+1.48743132E-02,+2.00316159E-01,+2.00867640E-01,+1.49667816E+00,+5.55750857E-04,+2.15067944E-01,+2.15068662E-01,+1.56821226E+00
+1.02000000E-01,+0.00000000E+00,+1.48783136E-02,+2.00311877E-01,+2.00863666E-01,+1.49665672E+00,+5.56858381E-04,+2.15066642E-01,+2.15067363E-01,+1.56820710E+00
+1.03000000E-01,+0.00000000E+00,+1.48823551E-02,+2.00307551E-01,+2.00859651E-01,+1.49663506E+00,+5.57977271E-04,+2.15065327E-01,+2.15066051E-01,+1.56820188E+00
+1.04000000E-01,+0.00000000E+00,+1.48864376E-02,+2.00303181E-01,+2.00855596E-01,+1.49661318E+00,+5.59107540E-04,+2.15063998E-01,+2.15064725E-01,+1.56819661E+00
+1.05000000E-01,+0.00000000E+00,+1.48905613E-02,+2.00298767E-01,+2.00851500E-01,+1.49659108E+00,+5.60249202E-04,+2.15062656E-01,+2.15063386E-01,+1.56819128E+00
+1.06000000E-01,+0.00000000E+00,+1.48947262E-02,+2.00294309E-01,+2.00847363E-01,+1.49656875E+00,+5.61402271E-04,+2.15061301E-01,+2.15062033E-01,+1.56818590E+00
+1.07000000E-01,+0.00000000E+00,+1.48989324E-02,+2.00289807E-01,+2.00843185E-01,+1.49654620E+00,+5.62566762E-04,+2.15059932E-01,+2.15060668E-01,+1.56818047E+00
+1.08000000E-01,+0.00000000E+00,+1.49031798E-02,+2.00285261E-01,+2.00838966E-01,+1.49652344E+00,+5.63742688E-04,+2.15058549E-01,+2.15059288E-01,+1.56817499E+00
+1.09000000E-01,+0.00000000E+00,+1.49074686E-02,+2.00280670E-01,+2.00834707E-01,+1.49650044E+00,+5.64930064E-04,+2.15057154E-01,+2.15057896E-01,+1.56816945E+00
+1.10000000E-01,+0.00000000E+00,+1.49117989E-02,+2.00276035E-01,+2.00830406E-01,+1.49647723E+00,+5.66128905E-04,+2.15055744E-01,+2.15056490E-01,+1.56816386E+00
+1.11000000E-01,+0.00000000E+00,+1.49161705E-02,+2.00271356E-01,+2.00826064E-01,+1.49645379E+00,+5.67339225E-04,+2.15054322E-01,+2.15055070E-01,+1.56815821E+00
+1.12000000E-01,+0.00000000E+00,+1.49205838E-02,+2.00266632E-01,+2.00821681E-01,+1.49643013E+00,+5.68561038E-04,+2.15052885E-01,+2.15053637E-01,+1.56815251E+00
+1.13000000E-01,+0.00000000E+00,+1.49250385E-02,+2.00261864E-01,+2.00817257E-01,+1.49640624E+00,+5.69794361E-04,+2.15051436E-01,+2.15052190E-01,+1.56814676E+00
+1.14000000E-01,+0.00000000E+00,+1.49295349E-02,+2.00257051E-01,+2.00812792E-01,+1.49638213E+00,+5.71039208E-04,+2.15049972E-01,+2.15050730E-01,+1.56814095E+00
+1.15000000E-01,+0.00000000E+00,+1.49340730E-02,+2.00252193E-01,+2.00808285E-01,+1.49635780E+00,+5.72295594E-04,+2.15048495E-01,+2.15049257E-01,+1.56813509E+00
+1.16000000E-01,+0.00000000E+00,+1.49386528E-02,+2.00247291E-01,+2.00803737E-01,+1.49633324E+00,+5.73563534E-04,+2.15047005E-01,+2.15047770E-01,+1.56812918E+00
+1.17000000E-01,+0.00000000E+00,+1.49432744E-02,+2.00242344E-01,+2.00799148E-01,+1.49630845E+00,+5.74843046E-04,+2.15045501E-01,+2.15046269E-01,+1.56812321E+00
+1.18000000E-01,+0.00000000E+00,+1.49479379E-02,+2.00237353E-01,+2.00794517E-01,+1.49628344E+00,+5.76134143E-04,+2.15043983E-01,+2.15044755E-01,+1.56811719E+00
+1.19000000E-01,+0.00000000E+00,+1.49526432E-02,+2.00232316E-01,+2.00789845E-01,+1.49625820E+00,+5.77436842E-04,+2.15042452E-01,+2.15043227E-01,+1.56811111E+00
+1.20000000E-01,+0.00000000E+00,+1.49573906E-02,+2.00227235E-01,+2.00785131E-01,+1.49623274E+00,+5.78751160E-04,+2.15040907E-01,+2.15041685E-01,+1.56810498E+00
+1.21000000E-01,+0.00000000E+00,+1.49621799E-02,+2.00222108E-01,+2.00780376E-01,+1.49620705E+00,+5.80077111E-04,+2.15039348E-01,+2.15040130E-01,+1.56809879E+00
+1.22000000E-01,+0.00000000E+00,+1.49670114E-02,+2.00216937E-01,+2.00775579E-01,+1.49618113E+00,+5.81414714E-04,+2.15037775E-01,+2.15038561E-01,+1.56809255E+00
+1.23000000E-01,+0.00000000E+00,+1.49718849E-02,+2.00211720E-01,+2.00770740E-01,+1.49615499E+00,+5.82763983E-04,+2.15036189E-01,+2.15036979E-01,+1.56808626E+00
+1.24000000E-01,+0.00000000E+00,+1.49768007E-02,+2.00206458E-01,+2.00765860E-01,+1.49612862E+00,+5.84124936E-04,+2.15034589E-01,+2.15035383E-01,+1.56807991E+00
+1.25000000E-01,+0.00000000E+00,+1.49817588E-02,+2.00201151E-01,+2.00760938E-01,+1.49610202E+00,+5.85497590E-04,+2.15032976E-01,+2.15033773E-01,+1.56807351E+00
+1.26000000E-01,+0.00000000E+00,+1.49867591E-02,+2.00195799E-01,+2.00755974E-01,+1.49607519E+00,+5.86881962E-04,+2.15031349E-01,+2.15032149E-01,+1.56806705E+00
+1.27000000E-01,+0.00000000E+00,+1.49918019E-02,+2.00190401E-01,+2.00750967E-01,+1.49604814E+00,+5.88278069E-04,+2.15029707E-01,+2.15030512E-01,+1.56806053E+00
+1.28000000E-01,+0.00000000E+00,+1.49968871E-02,+2.00184958E-01,+2.00745919E-01,+1.49602085E+00,+5.89685927E-04,+2.15028052E-01,+2.15028861E-01,+1.56805397E+00
+1.29000000E-01,+0.00000000E+00,+1.50020148E-02,+2.00179470E-01,+2.00740829E-01,+1.49599334E+00,+5.91105556E-04,+2.15026384E-01,+2.15027196E-01,+1.56804734E+00
+1.30000000E-01,+0.00000000E+00,+1.50071851E-02,+2.00173936E-01,+2.00735697E-01,+1.49596559E+00,+5.92536971E-04,+2.15024701E-01,+2.15025517E-01,+1.56804066E+00
+1.31000000E-01,+0.00000000E+00,+1.50123980E-02,+2.00168356E-01,+2.00730523E-01,+1.49593762E+00,+5.93980191E-04,+2.15023004E-01,+2.15023825E-01,+1.56803393E+00
+1.32000000E-01,+0.00000000E+00,+1.50176536E-02,+2.00162730E-01,+2.00725306E-01,+1.49590941E+00,+5.95435235E-04,+2.15021294E-01,+2.15022118E-01,+1.56802714E+00
+1.33000000E-01,+0.00000000E+00,+1.50229520E-02,+2.00157059E-01,+2.00720047E-01,+1.49588097E+00,+5.96902119E-04,+2.15019570E-01,+2.15020398E-01,+1.56802030E+00
+1.34000000E-01,+0.00000000E+00,+1.50282933E-02,+2.00151342E-01,+2.00714746E-01,+1.49585230E+00,+5.98380863E-04,+2.15017831E-01,+2.15018664E-01,+1.56801340E+00
+1.35000000E-01,+0.00000000E+00,+1.50336774E-02,+2.00145579E-01,+2.00709402E-01,+1.49582340E+00,+5.99871484E-04,+2.15016079E-01,+2.15016916E-01,+1.56800644E+00
+1.36000000E-01,+0.00000000E+00,+1.50391045E-02,+2.00139770E-01,+2.00704016E-01,+1.49579427E+00,+6.01374002E-04,+2.15014313E-01,+2.15015154E-01,+1.56799943E+00
