theta1,theta_2,Re(r_ibc1.tm),Im(r_ibc1.tm),Abs(r_ibc1.tm),Arg(r_ibc1.tm),Re(r_ibc1.te),Im(r_ibc1.te),Abs(r_ibc1.te),Arg(r_ibc1.te)
+2.67436840E+01,+0.00000000E+00,+8.80955459E-01,-4.28059050E-01,+9.79447329E-01,-4.52306680E-01,+9.19218016E-01,-3.49085885E-01,+9.83271436E-01,-3.62940748E-01
+2.73871075E+01,+0.00000000E+00,+8.79719790E-01,-4.30020189E-01,+9.79195727E-01,-4.54659601E-01,+9.19943432E-01,-3.47087089E-01,+9.83242272E-01,-3.60778380E-01
+2.80342965E+01,+0.00000000E+00,+8.78429456E-01,-4.32049995E-01,+9.78930798E-01,-4.57101306E-01,+9.20684084E-01,-3.45027952E-01,+9.83210796E-01,-3.58552990E-01
+2.86854020E+01,+0.00000000E+00,+8.77081703E-01,-4.34150591E-01,+9.78651648E-01,-4.59635171E-01,+9.21439856E-01,-3.42907041E-01,+9.83176813E-01,-3.56263219E-01
+2.93405816E+01,+0.00000000E+00,+8.75673570E-01,-4.36324193E-01,+9.78357299E-01,-4.62264777E-01,+9.22210617E-01,-3.40722839E-01,+9.83140109E-01,-3.53907631E-01
+3.00000000E+01,+0.00000000E+00,+8.74201870E-01,-4.38573119E-01,+9.78046671E-01,-4.64993926E-01,+9.22996221E-01,-3.38473733E-01,+9.83100449E-01,-3.51484699E-01
+3.06638297E+01,+0.00000000E+00,+8.72663164E-01,-4.40899783E-01,+9.77718577E-01,-4.67826660E-01,+9.23796503E-01,-3.36158012E-01,+9.83057571E-01,-3.48992804E-01
+3.13322515E+01,+0.00000000E+00,+8.71053740E-01,-4.43306706E-01,+9.77371707E-01,-4.70767270E-01,+9.24611275E-01,-3.33773859E-01,+9.83011190E-01,-3.46430222E-01
+3.20054548E+01,+0.00000000E+00,+8.69369587E-01,-4.45796504E-01,+9.77004607E-01,-4.73820322E-01,+9.25440326E-01,-3.31319335E-01,+9.82960985E-01,-3.43795119E-01
+3.26836388E+01,+0.00000000E+00,+8.67606363E-01,-4.48371897E-01,+9.76615666E-01,-4.76990670E-01,+9.26283417E-01,-3.28792375E-01,+9.82906605E-01,-3.41085538E-01
+3.33670130E+01,+0.00000000E+00,+8.65759361E-01,-4.51035701E-01,+9.76203091E-01,-4.80283479E-01,+9.27140275E-01,-3.26190774E-01,+9.82847654E-01,-3.38299389E-01
+3.40557977E+01,+0.00000000E+00,+8.63823473E-01,-4.53790821E-01,+9.75764881E-01,-4.83704244E-01,+9.28010594E-01,-3.23512170E-01,+9.82783693E-01,-3.35434435E-01
+3.47502258E+01,+0.00000000E+00,+8.61793146E-01,-4.56640246E-01,+9.75298795E-01,-4.87258815E-01,+9.28894024E-01,-3.20754032E-01,+9.82714229E-01,-3.32488278E-01
+3.54505426E+01,+0.00000000E+00,+8.59662330E-01,-4.59587034E-01,+9.74802320E-01,-4.90953418E-01,+9.29790165E-01,-3.17913641E-01,+9.82638710E-01,-3.29458341E-01
+3.61570082E+01,+0.00000000E+00,+8.57424429E-01,-4.62634296E-01,+9.74272622E-01,-4.94794680E-01,+9.30698562E-01,-3.14988069E-01,+9.82556511E-01,-3.26341852E-01
+3.68698976E+01,+0.00000000E+00,+8.55072233E-01,-4.65785167E-01,+9.73706499E-01,-4.98789650E-01,+9.31618695E-01,-3.11974156E-01,+9.82466929E-01,-3.23135815E-01
+3.75895030E+01,+0.00000000E+00,+8.52597852E-01,-4.69042781E-01,+9.73100317E-01,-5.02945827E-01,+9.32549964E-01,-3.08868478E-01,+9.82369163E-01,-3.19836991E-01
+3.83161345E+01,+0.00000000E+00,+8.49992626E-01,-4.72410215E-01,+9.72449935E-01,-5.07271178E-01,+9.33491682E-01,-3.05667323E-01,+9.82262303E-01,-3.16441861E-01
+3.90501225E+01,+0.00000000E+00,+8.47247039E-01,-4.75890440E-01,+9.71750614E-01,-5.11774160E-01,+9.34443052E-01,-3.02366642E-01,+9.82145307E-01,-3.12946595E-01
+3.97918195E+01,+0.00000000E+00,+8.44350610E-01,-4.79486232E-01,+9.70996910E-01,-5.16463731E-01,+9.35403152E-01,-2.98962014E-01,+9.82016977E-01,-3.09347009E-01
