s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+4.40000000E-02,+0.00000000E+00,+3.38100872E-03,+2.12436162E-01,+2.12463065E-01,+1.55488226E+00,+3.17824482E-03,+2.12645079E-01,+2.12668829E-01,+1.55585120E+00
+4.50000000E-02,+0.00000000E+00,+3.39031959E-03,+2.12426275E-01,+2.12453328E-01,+1.55483770E+00,+3.17823470E-03,+2.12644796E-01,+2.12668546E-01,+1.55585123E+00
+4.60000000E-02,+0.00000000E+00,+3.39983968E-03,+2.12416167E-01,+2.12443373E-01,+1.55479213E+00,+3.17822435E-03,+2.12644507E-01,+2.12668257E-01,+1.55585125E+00
+4.70000000E-02,+0.00000000E+00,+3.40956897E-03,+2.12405836E-01,+2.12433200E-01,+1.55474556E+00,+3.17821378E-03,+2.12644212E-01,+2.12667962E-01,+1.55585128E+00
+4.80000000E-02,+0.00000000E+00,+3.41950747E-03,+2.12395283E-01,+2.12422808E-01,+1.55469798E+00,+3.17820298E-03,+2.12643910E-01,+2.12667660E-01,+1.55585131E+00
+4.90000000E-02,+0.00000000E+00,+3.42965517E-03,+2.12384508E-01,+2.12412198E-01,+1.55464940E+00,+3.17819195E-03,+2.12643602E-01,+2.12667351E-01,+1.55585134E+00
+5.00000000E-02,+0.00000000E+00,+3.44001207E-03,+2.12373511E-01,+2.12401369E-01,+1.55459981E+00,+3.17818069E-03,+2.12643288E-01,+2.12667037E-01,+1.55585137E+00
+5.10000000E-02,+0.00000000E+00,+3.45057817E-03,+2.12362291E-01,+2.12390323E-01,+1.55454921E+00,+3.17816920E-03,+2.12642967E-01,+2.12666716E-01,+1.55585140E+00
+5.20000000E-02,+0.00000000E+00,+3.46135347E-03,+2.12350850E-01,+2.12379058E-01,+1.55449761E+00,+3.17815749E-03,+2.12642640E-01,+2.12666389E-01,+1.55585144E+00
+5.30000000E-02,+0.00000000E+00,+3.47233797E-03,+2.12339186E-01,+2.12367576E-01,+1.55444499E+00,+3.17814555E-03,+2.12642306E-01,+2.12666055E-01,+1.55585147E+00
+5.40000000E-02,+0.00000000E+00,+3.48353165E-03,+2.12327301E-01,+2.12355875E-01,+1.55439137E+00,+3.17813339E-03,+2.12641966E-01,+2.12665715E-01,+1.55585150E+00
+5.50000000E-02,+0.00000000E+00,+3.49493453E-03,+2.12315193E-01,+2.12343956E-01,+1.55433675E+00,+3.17812099E-03,+2.12641620E-01,+2.12665369E-01,+1.55585154E+00
+5.60000000E-02,+0.00000000E+00,+3.50654660E-03,+2.12302863E-01,+2.12331819E-01,+1.55428111E+00,+3.17810837E-03,+2.12641268E-01,+2.12665016E-01,+1.55585157E+00
+5.70000000E-02,+0.00000000E+00,+3.51836786E-03,+2.12290311E-01,+2.12319464E-01,+1.55422446E+00,+3.17809552E-03,+2.12640909E-01,+2.12664657E-01,+1.55585161E+00
+5.80000000E-02,+0.00000000E+00,+3.53039831E-03,+2.12277537E-01,+2.12306892E-01,+1.55416681E+00,+3.17808245E-03,+2.12640543E-01,+2.12664292E-01,+1.55585164E+00
+5.90000000E-02,+0.00000000E+00,+3.54263793E-03,+2.12264540E-01,+2.12294101E-01,+1.55410815E+00,+3.17806914E-03,+2.12640172E-01,+2.12663920E-01,+1.55585168E+00
+6.00000000E-02,+0.00000000E+00,+3.55508674E-03,+2.12251322E-01,+2.12281093E-01,+1.55404847E+00,+3.17805561E-03,+2.12639794E-01,+2.12663542E-01,+1.55585172E+00
+6.10000000E-02,+0.00000000E+00,+3.56774473E-03,+2.12237881E-01,+2.12267866E-01,+1.55398779E+00,+3.17804185E-03,+2.12639410E-01,+2.12663157E-01,+1.55585175E+00
+6.20000000E-02,+0.00000000E+00,+3.58061189E-03,+2.12224219E-01,+2.12254422E-01,+1.55392609E+00,+3.17802787E-03,+2.12639019E-01,+2.12662766E-01,+1.55585179E+00
+6.30000000E-02,+0.00000000E+00,+3.59368823E-03,+2.12210334E-01,+2.12240760E-01,+1.55386339E+00,+3.17801366E-03,+2.12638622E-01,+2.12662369E-01,+1.55585183E+00
+6.40000000E-02,+0.00000000E+00,+3.60697375E-03,+2.12196227E-01,+2.12226881E-01,+1.55379967E+00,+3.17799922E-03,+2.12638219E-01,+2.12661966E-01,+1.55585187E+00
+6.50000000E-02,+0.00000000E+00,+3.62046843E-03,+2.12181898E-01,+2.12212784E-01,+1.55373494E+00,+3.17798455E-03,+2.12637809E-01,+2.12661556E-01,+1.55585191E+00
+6.60000000E-02,+0.00000000E+00,+3.63417228E-03,+2.12167347E-01,+2.12198469E-01,+1.55366920E+00,+3.17796966E-03,+2.12637393E-01,+2.12661140E-01,+1.55585195E+00
+6.70000000E-02,+0.00000000E+00,+3.64808530E-03,+2.12152574E-01,+2.12183937E-01,+1.55360245E+00,+3.17795453E-03,+2.12636970E-01,+2.12660717E-01,+1.55585199E+00
