theta_1,theta_2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+2.80861788E+00,+0.00000000E+00,+9.07496360E-01,-4.04221894E-01,+9.93451047E-01,-4.19043148E-01,+9.08141368E-01,-4.03984256E-01,+9.93943672E-01,-4.18560703E-01
+2.86598398E+00,+0.00000000E+00,+9.07478400E-01,-4.04212969E-01,+9.93431009E-01,-4.19042297E-01,+9.08150028E-01,-4.03965514E-01,+9.93943967E-01,-4.18539934E-01
+2.92335296E+00,+0.00000000E+00,+9.07460075E-01,-4.04203865E-01,+9.93410565E-01,-4.19041431E-01,+9.08158862E-01,-4.03946392E-01,+9.93944267E-01,-4.18518744E-01
+2.98072488E+00,+0.00000000E+00,+9.07441385E-01,-4.04194580E-01,+9.93389715E-01,-4.19040548E-01,+9.08167871E-01,-4.03926891E-01,+9.93944573E-01,-4.18497133E-01
+3.03809978E+00,+0.00000000E+00,+9.07422330E-01,-4.04185115E-01,+9.93368457E-01,-4.19039650E-01,+9.08177055E-01,-4.03907009E-01,+9.93944886E-01,-4.18475101E-01
+3.09547774E+00,+0.00000000E+00,+9.07402910E-01,-4.04175471E-01,+9.93346793E-01,-4.19038735E-01,+9.08186415E-01,-4.03886747E-01,+9.93945204E-01,-4.18452649E-01
+3.15285880E+00,+0.00000000E+00,+9.07383125E-01,-4.04165647E-01,+9.93324723E-01,-4.19037805E-01,+9.08195949E-01,-4.03866106E-01,+9.93945528E-01,-4.18429776E-01
+3.21024303E+00,+0.00000000E+00,+9.07362974E-01,-4.04155643E-01,+9.93302245E-01,-4.19036859E-01,+9.08205658E-01,-4.03845084E-01,+9.93945858E-01,-4.18406481E-01
+3.26763049E+00,+0.00000000E+00,+9.07342458E-01,-4.04145459E-01,+9.93279360E-01,-4.19035898E-01,+9.08215542E-01,-4.03823682E-01,+9.93946194E-01,-4.18382766E-01
+3.32502122E+00,+0.00000000E+00,+9.07321576E-01,-4.04135096E-01,+9.93256069E-01,-4.19034921E-01,+9.08225601E-01,-4.03801900E-01,+9.93946536E-01,-4.18358630E-01
+3.38241529E+00,+0.00000000E+00,+9.07300329E-01,-4.04124552E-01,+9.93232370E-01,-4.19033928E-01,+9.08235836E-01,-4.03779737E-01,+9.93946885E-01,-4.18334072E-01
