theta_1,theta_2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+1.58428626E+01,+0.00000000E+00,+8.93890499E-01,-3.97824150E-01,+9.78419276E-01,-4.18728190E-01,+9.14461966E-01,-3.90023285E-01,+9.94162386E-01,-4.03145338E-01
+1.59024296E+01,+0.00000000E+00,+8.93783111E-01,-3.97776488E-01,+9.78301786E-01,-4.18728312E-01,+9.14509991E-01,-3.89914980E-01,+9.94164079E-01,-4.03026180E-01
+1.59620142E+01,+0.00000000E+00,+8.93675263E-01,-3.97728665E-01,+9.78183811E-01,-4.18728475E-01,+9.14558193E-01,-3.89806241E-01,+9.94165778E-01,-4.02906550E-01
+1.60216165E+01,+0.00000000E+00,+8.93566955E-01,-3.97680683E-01,+9.78065350E-01,-4.18728680E-01,+9.14606572E-01,-3.89697067E-01,+9.94167484E-01,-4.02786448E-01
+1.60812366E+01,+0.00000000E+00,+8.93458185E-01,-3.97632540E-01,+9.77946402E-01,-4.18728928E-01,+9.14655128E-01,-3.89587458E-01,+9.94169196E-01,-4.02665875E-01
+1.61408747E+01,+0.00000000E+00,+8.93348953E-01,-3.97584237E-01,+9.77826967E-01,-4.18729219E-01,+9.14703861E-01,-3.89477414E-01,+9.94170916E-01,-4.02544829E-01
+1.62005307E+01,+0.00000000E+00,+8.93239257E-01,-3.97535775E-01,+9.77707043E-01,-4.18729553E-01,+9.14752772E-01,-3.89366934E-01,+9.94172642E-01,-4.02423311E-01
+1.62602047E+01,+0.00000000E+00,+8.93129098E-01,-3.97487153E-01,+9.77586631E-01,-4.18729931E-01,+9.14801859E-01,-3.89256017E-01,+9.94174375E-01,-4.02301319E-01
+1.63198969E+01,+0.00000000E+00,+8.93018473E-01,-3.97438372E-01,+9.77465730E-01,-4.18730354E-01,+9.14851123E-01,-3.89144663E-01,+9.94176114E-01,-4.02178854E-01
+1.63796073E+01,+0.00000000E+00,+8.92907383E-01,-3.97389432E-01,+9.77344338E-01,-4.18730821E-01,+9.14900565E-01,-3.89032872E-01,+9.94177861E-01,-4.02055914E-01
+1.64393360E+01,+0.00000000E+00,+8.92795826E-01,-3.97340332E-01,+9.77222455E-01,-4.18731335E-01,+9.14950183E-01,-3.88920644E-01,+9.94179614E-01,-4.01932500E-01
+1.64990831E+01,+0.00000000E+00,+8.92683802E-01,-3.97291074E-01,+9.77100081E-01,-4.18731895E-01,+9.14999979E-01,-3.88807977E-01,+9.94181374E-01,-4.01808611E-01
+1.65588486E+01,+0.00000000E+00,+8.92571310E-01,-3.97241658E-01,+9.76977214E-01,-4.18732501E-01,+9.15049952E-01,-3.88694871E-01,+9.94183141E-01,-4.01684247E-01
+1.66186327E+01,+0.00000000E+00,+8.92458348E-01,-3.97192083E-01,+9.76853855E-01,-4.18733155E-01,+9.15100102E-01,-3.88581326E-01,+9.94184914E-01,-4.01559406E-01
+1.66784354E+01,+0.00000000E+00,+8.92344916E-01,-3.97142349E-01,+9.76730001E-01,-4.18733856E-01,+9.15150429E-01,-3.88467341E-01,+9.94186694E-01,-4.01434090E-01
+1.67382568E+01,+0.00000000E+00,+8.92231014E-01,-3.97092458E-01,+9.76605653E-01,-4.18734606E-01,+9.15200934E-01,-3.88352917E-01,+9.94188481E-01,-4.01308297E-01
+1.67980970E+01,+0.00000000E+00,+8.92116639E-01,-3.97042409E-01,+9.76480810E-01,-4.18735405E-01,+9.15251615E-01,-3.88238051E-01,+9.94190275E-01,-4.01182026E-01
+1.68579560E+01,+0.00000000E+00,+8.92001792E-01,-3.96992202E-01,+9.76355471E-01,-4.18736254E-01,+9.15302474E-01,-3.88122745E-01,+9.94192076E-01,-4.01055278E-01
+1.69178340E+01,+0.00000000E+00,+8.91886471E-01,-3.96941838E-01,+9.76229635E-01,-4.18737152E-01,+9.15353510E-01,-3.88006996E-01,+9.94193884E-01,-4.00928052E-01
+1.69777311E+01,+0.00000000E+00,+8.91770676E-01,-3.96891317E-01,+9.76103301E-01,-4.18738102E-01,+9.15404724E-01,-3.87890806E-01,+9.94195698E-01,-4.00800347E-01
+1.70376473E+01,+0.00000000E+00,+8.91654405E-01,-3.96840638E-01,+9.75976470E-01,-4.18739102E-01,+9.15456115E-01,-3.87774173E-01,+9.94197519E-01,-4.00672163E-01
+1.70975827E+01,+0.00000000E+00,+8.91537658E-01,-3.96789803E-01,+9.75849139E-01,-4.18740155E-01,+9.15507683E-01,-3.87657097E-01,+9.94199347E-01,-4.00543500E-01
+1.71575374E+01,+0.00000000E+00,+8.91420433E-01,-3.96738811E-01,+9.75721309E-01,-4.18741260E-01,+9.15559428E-01,-3.87539578E-01,+9.94201182E-01,-4.00414357E-01
+1.72175114E+01,+0.00000000E+00,+8.91302731E-01,-3.96687662E-01,+9.75592978E-01,-4.18742418E-01,+9.15611351E-01,-3.87421614E-01,+9.94203024E-01,-4.00284733E-01
+1.72775050E+01,+0.00000000E+00,+8.91184549E-01,-3.96636357E-01,+9.75464146E-01,-4.18743629E-01,+9.15663451E-01,-3.87303206E-01,+9.94204873E-01,-4.00154629E-01
+1.73375180E+01,+0.00000000E+00,+8.91065887E-01,-3.96584896E-01,+9.75334812E-01,-4.18744895E-01,+9.15715728E-01,-3.87184353E-01,+9.94206728E-01,-4.00024043E-01
+1.73975507E+01,+0.00000000E+00,+8.90946744E-01,-3.96533280E-01,+9.75204975E-01,-4.18746216E-01,+9.15768183E-01,-3.87065054E-01,+9.94208590E-01,-3.99892975E-01
+1.74576031E+01,+0.00000000E+00,+8.90827120E-01,-3.96481507E-01,+9.75074635E-01,-4.18747592E-01,+9.15820816E-01,-3.86945309E-01,+9.94210460E-01,-3.99761426E-01
+1.75176753E+01,+0.00000000E+00,+8.90707012E-01,-3.96429579E-01,+9.74943790E-01,-4.18749024E-01,+9.15873625E-01,-3.86825117E-01,+9.94212336E-01,-3.99629393E-01
+1.75777674E+01,+0.00000000E+00,+8.90586421E-01,-3.96377496E-01,+9.74812440E-01,-4.18750513E-01,+9.15926612E-01,-3.86704478E-01,+9.94214219E-01,-3.99496877E-01
+1.76378795E+01,+0.00000000E+00,+8.90465345E-01,-3.96325258E-01,+9.74680584E-01,-4.18752060E-01,+9.15979777E-01,-3.86583392E-01,+9.94216109E-01,-3.99363878E-01
+1.76980116E+01,+0.00000000E+00,+8.90343783E-01,-3.96272865E-01,+9.74548221E-01,-4.18753664E-01,+9.16033119E-01,-3.86461858E-01,+9.94218006E-01,-3.99230394E-01
+1.77581639E+01,+0.00000000E+00,+8.90221735E-01,-3.96220317E-01,+9.74415351E-01,-4.18755326E-01,+9.16086639E-01,-3.86339874E-01,+9.94219910E-01,-3.99096426E-01
+1.78183364E+01,+0.00000000E+00,+8.90099198E-01,-3.96167614E-01,+9.74281972E-01,-4.18757048E-01,+9.16140336E-01,-3.86217442E-01,+9.94221820E-01,-3.98961972E-01
+1.78785292E+01,+0.00000000E+00,+8.89976173E-01,-3.96114758E-01,+9.74148085E-01,-4.18758830E-01,+9.16194211E-01,-3.86094560E-01,+9.94223738E-01,-3.98827033E-01
+1.79387425E+01,+0.00000000E+00,+8.89852659E-01,-3.96061747E-01,+9.74013687E-01,-4.18760672E-01,+9.16248263E-01,-3.85971228E-01,+9.94225663E-01,-3.98691607E-01
+1.79989762E+01,+0.00000000E+00,+8.89728654E-01,-3.96008583E-01,+9.73878778E-01,-4.18762575E-01,+9.16302493E-01,-3.85847445E-01,+9.94227594E-01,-3.98555695E-01
+1.80592305E+01,+0.00000000E+00,+8.89604157E-01,-3.95955265E-01,+9.73743358E-01,-4.18764540E-01,+9.16356900E-01,-3.85723210E-01,+9.94229533E-01,-3.98419296E-01
+1.81195055E+01,+0.00000000E+00,+8.89479167E-01,-3.95901794E-01,+9.73607426E-01,-4.18766568E-01,+9.16411485E-01,-3.85598524E-01,+9.94231478E-01,-3.98282409E-01
+1.81798012E+01,+0.00000000E+00,+8.89353684E-01,-3.95848170E-01,+9.73470980E-01,-4.18768658E-01,+9.16466248E-01,-3.85473385E-01,+9.94233431E-01,-3.98145035E-01
+1.82401178E+01,+0.00000000E+00,+8.89227706E-01,-3.95794392E-01,+9.73334020E-01,-4.18770812E-01,+9.16521188E-01,-3.85347794E-01,+9.94235390E-01,-3.98007171E-01
+1.83004553E+01,+0.00000000E+00,+8.89101232E-01,-3.95740462E-01,+9.73196545E-01,-4.18773031E-01,+9.16576306E-01,-3.85221749E-01,+9.94237356E-01,-3.97868818E-01
+1.83608138E+01,+0.00000000E+00,+8.88974262E-01,-3.95686380E-01,+9.73058554E-01,-4.18775314E-01,+9.16631602E-01,-3.85095250E-01,+9.94239330E-01,-3.97729976E-01
+1.84211934E+01,+0.00000000E+00,+8.88846794E-01,-3.95632145E-01,+9.72920047E-01,-4.18777663E-01,+9.16687075E-01,-3.84968296E-01,+9.94241310E-01,-3.97590643E-01
+1.84815943E+01,+0.00000000E+00,+8.88718827E-01,-3.95577758E-01,+9.72781022E-01,-4.18780079E-01,+9.16742727E-01,-3.84840887E-01,+9.94243298E-01,-3.97450820E-01
+1.85420164E+01,+0.00000000E+00,+8.88590360E-01,-3.95523219E-01,+9.72641478E-01,-4.18782562E-01,+9.16798555E-01,-3.84713023E-01,+9.94245292E-01,-3.97310505E-01
+1.86024599E+01,+0.00000000E+00,+8.88461393E-01,-3.95468529E-01,+9.72501416E-01,-4.18785112E-01,+9.16854562E-01,-3.84584702E-01,+9.94247294E-01,-3.97169699E-01
+1.86629249E+01,+0.00000000E+00,+8.88331923E-01,-3.95413687E-01,+9.72360833E-01,-4.18787731E-01,+9.16910746E-01,-3.84455925E-01,+9.94249302E-01,-3.97028400E-01
+1.87234114E+01,+0.00000000E+00,+8.88201950E-01,-3.95358695E-01,+9.72219729E-01,-4.18790419E-01,+9.16967109E-01,-3.84326690E-01,+9.94251318E-01,-3.96886609E-01
+1.87839196E+01,+0.00000000E+00,+8.88071474E-01,-3.95303551E-01,+9.72078104E-01,-4.18793177E-01,+9.17023649E-01,-3.84196998E-01,+9.94253341E-01,-3.96744324E-01
+1.88444495E+01,+0.00000000E+00,+8.87940492E-01,-3.95248257E-01,+9.71935955E-01,-4.18796005E-01,+9.17080366E-01,-3.84066847E-01,+9.94255370E-01,-3.96601546E-01
+1.89050013E+01,+0.00000000E+00,+8.87809004E-01,-3.95192812E-01,+9.71793283E-01,-4.18798905E-01,+9.17137262E-01,-3.83936236E-01,+9.94257407E-01,-3.96458273E-01
+1.89655750E+01,+0.00000000E+00,+8.87677008E-01,-3.95137217E-01,+9.71650087E-01,-4.18801877E-01,+9.17194336E-01,-3.83805167E-01,+9.94259451E-01,-3.96314505E-01
+1.90261707E+01,+0.00000000E+00,+8.87544504E-01,-3.95081472E-01,+9.71506365E-01,-4.18804921E-01,+9.17251587E-01,-3.83673637E-01,+9.94261502E-01,-3.96170242E-01
+1.90867885E+01,+0.00000000E+00,+8.87411491E-01,-3.95025577E-01,+9.71362116E-01,-4.18808039E-01,+9.17309017E-01,-3.83541646E-01,+9.94263560E-01,-3.96025483E-01
+1.91474285E+01,+0.00000000E+00,+8.87277967E-01,-3.94969533E-01,+9.71217341E-01,-4.18811231E-01,+9.17366624E-01,-3.83409194E-01,+9.94265625E-01,-3.95880227E-01
+1.92080908E+01,+0.00000000E+00,+8.87143931E-01,-3.94913340E-01,+9.71072037E-01,-4.18814497E-01,+9.17424409E-01,-3.83276280E-01,+9.94267697E-01,-3.95734474E-01
+1.92687755E+01,+0.00000000E+00,+8.87009383E-01,-3.94856998E-01,+9.70926204E-01,-4.18817840E-01,+9.17482373E-01,-3.83142903E-01,+9.94269776E-01,-3.95588224E-01
+1.93294827E+01,+0.00000000E+00,+8.86874320E-01,-3.94800507E-01,+9.70779841E-01,-4.18821258E-01,+9.17540514E-01,-3.83009063E-01,+9.94271863E-01,-3.95441475E-01
+1.93902124E+01,+0.00000000E+00,+8.86738742E-01,-3.94743867E-01,+9.70632947E-01,-4.18824754E-01,+9.17598833E-01,-3.82874760E-01,+9.94273956E-01,-3.95294228E-01
+1.94509648E+01,+0.00000000E+00,+8.86602648E-01,-3.94687079E-01,+9.70485521E-01,-4.18828328E-01,+9.17657330E-01,-3.82739992E-01,+9.94276057E-01,-3.95146481E-01
+1.95117399E+01,+0.00000000E+00,+8.86466037E-01,-3.94630143E-01,+9.70337562E-01,-4.18831980E-01,+9.17716006E-01,-3.82604759E-01,+9.94278165E-01,-3.94998234E-01
+1.95725379E+01,+0.00000000E+00,+8.86328907E-01,-3.94573060E-01,+9.70189070E-01,-4.18835711E-01,+9.17774859E-01,-3.82469061E-01,+9.94280280E-01,-3.94849487E-01
+1.96333589E+01,+0.00000000E+00,+8.86191258E-01,-3.94515829E-01,+9.70040042E-01,-4.18839523E-01,+9.17833891E-01,-3.82332897E-01,+9.94282402E-01,-3.94700239E-01
+1.96942029E+01,+0.00000000E+00,+8.86053087E-01,-3.94458450E-01,+9.69890479E-01,-4.18843416E-01,+9.17893101E-01,-3.82196266E-01,+9.94284532E-01,-3.94550490E-01
+1.97550700E+01,+0.00000000E+00,+8.85914395E-01,-3.94400925E-01,+9.69740380E-01,-4.18847390E-01,+9.17952488E-01,-3.82059168E-01,+9.94286668E-01,-3.94400238E-01
+1.98159604E+01,+0.00000000E+00,+8.85775179E-01,-3.94343253E-01,+9.69589742E-01,-4.18851446E-01,+9.18012054E-01,-3.81921601E-01,+9.94288812E-01,-3.94249484E-01
+1.98768741E+01,+0.00000000E+00,+8.85635439E-01,-3.94285434E-01,+9.69438566E-01,-4.18855586E-01,+9.18071798E-01,-3.81783566E-01,+9.94290963E-01,-3.94098226E-01
+1.99378112E+01,+0.00000000E+00,+8.85495173E-01,-3.94227469E-01,+9.69286851E-01,-4.18859810E-01,+9.18131721E-01,-3.81645062E-01,+9.94293121E-01,-3.93946464E-01
+1.99987718E+01,+0.00000000E+00,+8.85354381E-01,-3.94169359E-01,+9.69134595E-01,-4.18864119E-01,+9.18191821E-01,-3.81506089E-01,+9.94295286E-01,-3.93794198E-01
+2.00597561E+01,+0.00000000E+00,+8.85213060E-01,-3.94111102E-01,+9.68981797E-01,-4.18868513E-01,+9.18252100E-01,-3.81366644E-01,+9.94297459E-01,-3.93641427E-01
+2.01207640E+01,+0.00000000E+00,+8.85071211E-01,-3.94052700E-01,+9.68828457E-01,-4.18872994E-01,+9.18312557E-01,-3.81226729E-01,+9.94299639E-01,-3.93488151E-01
+2.01817958E+01,+0.00000000E+00,+8.84928831E-01,-3.93994153E-01,+9.68674573E-01,-4.18877562E-01,+9.18373193E-01,-3.81086342E-01,+9.94301826E-01,-3.93334368E-01
+2.02428514E+01,+0.00000000E+00,+8.84785919E-01,-3.93935462E-01,+9.68520144E-01,-4.18882218E-01,+9.18434006E-01,-3.80945483E-01,+9.94304020E-01,-3.93180078E-01
+2.03039311E+01,+0.00000000E+00,+8.84642474E-01,-3.93876625E-01,+9.68365170E-01,-4.18886963E-01,+9.18494998E-01,-3.80804151E-01,+9.94306222E-01,-3.93025281E-01
+2.03650349E+01,+0.00000000E+00,+8.84498496E-01,-3.93817644E-01,+9.68209650E-01,-4.18891798E-01,+9.18556168E-01,-3.80662345E-01,+9.94308431E-01,-3.92869976E-01
+2.04261628E+01,+0.00000000E+00,+8.84353982E-01,-3.93758519E-01,+9.68053581E-01,-4.18896723E-01,+9.18617517E-01,-3.80520065E-01,+9.94310647E-01,-3.92714162E-01
+2.04873151E+01,+0.00000000E+00,+8.84208931E-01,-3.93699251E-01,+9.67896965E-01,-4.18901739E-01,+9.18679044E-01,-3.80377310E-01,+9.94312870E-01,-3.92557840E-01
+2.05484918E+01,+0.00000000E+00,+8.84063343E-01,-3.93639838E-01,+9.67739798E-01,-4.18906848E-01,+9.18740750E-01,-3.80234079E-01,+9.94315101E-01,-3.92401007E-01
+2.06096929E+01,+0.00000000E+00,+8.83917215E-01,-3.93580283E-01,+9.67582080E-01,-4.18912050E-01,+9.18802634E-01,-3.80090372E-01,+9.94317339E-01,-3.92243664E-01
+2.06709187E+01,+0.00000000E+00,+8.83770547E-01,-3.93520585E-01,+9.67423811E-01,-4.18917346E-01,+9.18864696E-01,-3.79946189E-01,+9.94319584E-01,-3.92085810E-01
+2.07321691E+01,+0.00000000E+00,+8.83623337E-01,-3.93460743E-01,+9.67264989E-01,-4.18922736E-01,+9.18926937E-01,-3.79801528E-01,+9.94321837E-01,-3.91927444E-01
+2.07934444E+01,+0.00000000E+00,+8.83475585E-01,-3.93400760E-01,+9.67105613E-01,-4.18928223E-01,+9.18989356E-01,-3.79656389E-01,+9.94324097E-01,-3.91768566E-01
+2.08547445E+01,+0.00000000E+00,+8.83327288E-01,-3.93340634E-01,+9.66945682E-01,-4.18933805E-01,+9.19051954E-01,-3.79510771E-01,+9.94326364E-01,-3.91609175E-01
+2.09160696E+01,+0.00000000E+00,+8.83178445E-01,-3.93280367E-01,+9.66785195E-01,-4.18939485E-01,+9.19114730E-01,-3.79364673E-01,+9.94328639E-01,-3.91449270E-01
+2.09774199E+01,+0.00000000E+00,+8.83029056E-01,-3.93219958E-01,+9.66624151E-01,-4.18945264E-01,+9.19177685E-01,-3.79218095E-01,+9.94330921E-01,-3.91288852E-01
+2.10387953E+01,+0.00000000E+00,+8.82879119E-01,-3.93159408E-01,+9.66462549E-01,-4.18951141E-01,+9.19240819E-01,-3.79071037E-01,+9.94333211E-01,-3.91127918E-01
+2.11001960E+01,+0.00000000E+00,+8.82728632E-01,-3.93098717E-01,+9.66300387E-01,-4.18957119E-01,+9.19304131E-01,-3.78923497E-01,+9.94335507E-01,-3.90966469E-01
+2.11616221E+01,+0.00000000E+00,+8.82577594E-01,-3.93037885E-01,+9.66137665E-01,-4.18963198E-01,+9.19367622E-01,-3.78775474E-01,+9.94337812E-01,-3.90804504E-01
+2.12230738E+01,+0.00000000E+00,+8.82426003E-01,-3.92976913E-01,+9.65974381E-01,-4.18969378E-01,+9.19431291E-01,-3.78626969E-01,+9.94340123E-01,-3.90642023E-01
+2.12845510E+01,+0.00000000E+00,+8.82273860E-01,-3.92915801E-01,+9.65810535E-01,-4.18975661E-01,+9.19495139E-01,-3.78477981E-01,+9.94342442E-01,-3.90479024E-01
+2.13460540E+01,+0.00000000E+00,+8.82121161E-01,-3.92854549E-01,+9.65646125E-01,-4.18982048E-01,+9.19559166E-01,-3.78328508E-01,+9.94344769E-01,-3.90315507E-01
+2.14075827E+01,+0.00000000E+00,+8.81967906E-01,-3.92793157E-01,+9.65481151E-01,-4.18988540E-01,+9.19623371E-01,-3.78178550E-01,+9.94347103E-01,-3.90151471E-01
+2.14691374E+01,+0.00000000E+00,+8.81814094E-01,-3.92731627E-01,+9.65315610E-01,-4.18995137E-01,+9.19687756E-01,-3.78028106E-01,+9.94349444E-01,-3.89986916E-01
+2.15307181E+01,+0.00000000E+00,+8.81659722E-01,-3.92669957E-01,+9.65149502E-01,-4.19001841E-01,+9.19752318E-01,-3.77877176E-01,+9.94351793E-01,-3.89821841E-01
+2.15923249E+01,+0.00000000E+00,+8.81504791E-01,-3.92608150E-01,+9.64982826E-01,-4.19008652E-01,+9.19817060E-01,-3.77725759E-01,+9.94354149E-01,-3.89656246E-01
+2.16539579E+01,+0.00000000E+00,+8.81349297E-01,-3.92546203E-01,+9.64815581E-01,-4.19015572E-01,+9.19881981E-01,-3.77573854E-01,+9.94356513E-01,-3.89490129E-01
+2.17156173E+01,+0.00000000E+00,+8.81193240E-01,-3.92484119E-01,+9.64647765E-01,-4.19022601E-01,+9.19947080E-01,-3.77421461E-01,+9.94358884E-01,-3.89323490E-01
+2.17773031E+01,+0.00000000E+00,+8.81036618E-01,-3.92421898E-01,+9.64479377E-01,-4.19029740E-01,+9.20012359E-01,-3.77268579E-01,+9.94361262E-01,-3.89156328E-01
+2.18390154E+01,+0.00000000E+00,+8.80879431E-01,-3.92359539E-01,+9.64310417E-01,-4.19036990E-01,+9.20077816E-01,-3.77115206E-01,+9.94363649E-01,-3.88988644E-01
+2.19007545E+01,+0.00000000E+00,+8.80721676E-01,-3.92297043E-01,+9.64140882E-01,-4.19044353E-01,+9.20143452E-01,-3.76961343E-01,+9.94366042E-01,-3.88820435E-01
+2.19625202E+01,+0.00000000E+00,+8.80563352E-01,-3.92234411E-01,+9.63970772E-01,-4.19051829E-01,+9.20209267E-01,-3.76806989E-01,+9.94368443E-01,-3.88651702E-01
+2.20243128E+01,+0.00000000E+00,+8.80404458E-01,-3.92171642E-01,+9.63800086E-01,-4.19059419E-01,+9.20275261E-01,-3.76652142E-01,+9.94370852E-01,-3.88482443E-01
+2.20861324E+01,+0.00000000E+00,+8.80244992E-01,-3.92108737E-01,+9.63628822E-01,-4.19067125E-01,+9.20341434E-01,-3.76496803E-01,+9.94373268E-01,-3.88312658E-01
+2.21479791E+01,+0.00000000E+00,+8.80084952E-01,-3.92045696E-01,+9.63456979E-01,-4.19074946E-01,+9.20407785E-01,-3.76340970E-01,+9.94375692E-01,-3.88142347E-01
+2.22098530E+01,+0.00000000E+00,+8.79924338E-01,-3.91982521E-01,+9.63284557E-01,-4.19082885E-01,+9.20474316E-01,-3.76184643E-01,+9.94378124E-01,-3.87971508E-01
+2.22717541E+01,+0.00000000E+00,+8.79763148E-01,-3.91919210E-01,+9.63111553E-01,-4.19090942E-01,+9.20541026E-01,-3.76027821E-01,+9.94380563E-01,-3.87800141E-01
+2.23336827E+01,+0.00000000E+00,+8.79601380E-01,-3.91855764E-01,+9.62937967E-01,-4.19099119E-01,+9.20607915E-01,-3.75870503E-01,+9.94383009E-01,-3.87628245E-01
+2.23956387E+01,+0.00000000E+00,+8.79439033E-01,-3.91792185E-01,+9.62763797E-01,-4.19107416E-01,+9.20674983E-01,-3.75712689E-01,+9.94385463E-01,-3.87455820E-01
+2.24576224E+01,+0.00000000E+00,+8.79276105E-01,-3.91728471E-01,+9.62589042E-01,-4.19115834E-01,+9.20742231E-01,-3.75554377E-01,+9.94387925E-01,-3.87282864E-01
+2.25196338E+01,+0.00000000E+00,+8.79112595E-01,-3.91664623E-01,+9.62413701E-01,-4.19124374E-01,+9.20809657E-01,-3.75395567E-01,+9.94390394E-01,-3.87109378E-01
+2.25816731E+01,+0.00000000E+00,+8.78948501E-01,-3.91600642E-01,+9.62237772E-01,-4.19133038E-01,+9.20877262E-01,-3.75236259E-01,+9.94392871E-01,-3.86935360E-01
+2.26437403E+01,+0.00000000E+00,+8.78783822E-01,-3.91536529E-01,+9.62061255E-01,-4.19141826E-01,+9.20945047E-01,-3.75076451E-01,+9.94395356E-01,-3.86760809E-01
+2.27058355E+01,+0.00000000E+00,+8.78618556E-01,-3.91472282E-01,+9.61884148E-01,-4.19150740E-01,+9.21013011E-01,-3.74916142E-01,+9.94397848E-01,-3.86585726E-01
+2.27679590E+01,+0.00000000E+00,+8.78452702E-01,-3.91407903E-01,+9.61706450E-01,-4.19159781E-01,+9.21081154E-01,-3.74755333E-01,+9.94400348E-01,-3.86410108E-01
+2.28301107E+01,+0.00000000E+00,+8.78286258E-01,-3.91343393E-01,+9.61528160E-01,-4.19168949E-01,+9.21149477E-01,-3.74594021E-01,+9.94402855E-01,-3.86233956E-01
+2.28922908E+01,+0.00000000E+00,+8.78119222E-01,-3.91278750E-01,+9.61349275E-01,-4.19178246E-01,+9.21217978E-01,-3.74432207E-01,+9.94405371E-01,-3.86057269E-01
+2.29544994E+01,+0.00000000E+00,+8.77951594E-01,-3.91213977E-01,+9.61169796E-01,-4.19187673E-01,+9.21286659E-01,-3.74269890E-01,+9.94407894E-01,-3.85880046E-01
+2.30167366E+01,+0.00000000E+00,+8.77783371E-01,-3.91149073E-01,+9.60989720E-01,-4.19197231E-01,+9.21355520E-01,-3.74107068E-01,+9.94410424E-01,-3.85702286E-01
+2.30790026E+01,+0.00000000E+00,+8.77614551E-01,-3.91084038E-01,+9.60809047E-01,-4.19206921E-01,+9.21424559E-01,-3.73943741E-01,+9.94412963E-01,-3.85523989E-01
+2.31412974E+01,+0.00000000E+00,+8.77445134E-01,-3.91018873E-01,+9.60627775E-01,-4.19216744E-01,+9.21493778E-01,-3.73779909E-01,+9.94415509E-01,-3.85345153E-01
+2.32036212E+01,+0.00000000E+00,+8.77275117E-01,-3.90953578E-01,+9.60445902E-01,-4.19226702E-01,+9.21563177E-01,-3.73615570E-01,+9.94418062E-01,-3.85165779E-01
+2.32659741E+01,+0.00000000E+00,+8.77104499E-01,-3.90888153E-01,+9.60263428E-01,-4.19236795E-01,+9.21632755E-01,-3.73450723E-01,+9.94420624E-01,-3.84985864E-01
+2.33283561E+01,+0.00000000E+00,+8.76933279E-01,-3.90822600E-01,+9.60080351E-01,-4.19247024E-01,+9.21702512E-01,-3.73285369E-01,+9.94423193E-01,-3.84805409E-01
+2.33907675E+01,+0.00000000E+00,+8.76761454E-01,-3.90756918E-01,+9.59896670E-01,-4.19257391E-01,+9.21772449E-01,-3.73119505E-01,+9.94425770E-01,-3.84624413E-01
+2.34532082E+01,+0.00000000E+00,+8.76589023E-01,-3.90691108E-01,+9.59712383E-01,-4.19267898E-01,+9.21842565E-01,-3.72953131E-01,+9.94428355E-01,-3.84442875E-01
+2.35156785E+01,+0.00000000E+00,+8.76415985E-01,-3.90625169E-01,+9.59527489E-01,-4.19278544E-01,+9.21912861E-01,-3.72786247E-01,+9.94430948E-01,-3.84260794E-01
+2.35781785E+01,+0.00000000E+00,+8.76242337E-01,-3.90559104E-01,+9.59341986E-01,-4.19289331E-01,+9.21983337E-01,-3.72618851E-01,+9.94433548E-01,-3.84078170E-01
+2.36407082E+01,+0.00000000E+00,+8.76068078E-01,-3.90492911E-01,+9.59155874E-01,-4.19300261E-01,+9.22053992E-01,-3.72450944E-01,+9.94436157E-01,-3.83895001E-01
+2.37032678E+01,+0.00000000E+00,+8.75893207E-01,-3.90426591E-01,+9.58969151E-01,-4.19311335E-01,+9.22124827E-01,-3.72282522E-01,+9.94438773E-01,-3.83711287E-01
+2.37658574E+01,+0.00000000E+00,+8.75717721E-01,-3.90360145E-01,+9.58781815E-01,-4.19322553E-01,+9.22195841E-01,-3.72113588E-01,+9.94441396E-01,-3.83527028E-01
+2.38284772E+01,+0.00000000E+00,+8.75541619E-01,-3.90293572E-01,+9.58593866E-01,-4.19333917E-01,+9.22267035E-01,-3.71944138E-01,+9.94444028E-01,-3.83342221E-01
+2.38911271E+01,+0.00000000E+00,+8.75364899E-01,-3.90226874E-01,+9.58405301E-01,-4.19345428E-01,+9.22338409E-01,-3.71774172E-01,+9.94446668E-01,-3.83156867E-01
+2.39538075E+01,+0.00000000E+00,+8.75187560E-01,-3.90160051E-01,+9.58216119E-01,-4.19357088E-01,+9.22409962E-01,-3.71603690E-01,+9.94449315E-01,-3.82970965E-01
+2.40165183E+01,+0.00000000E+00,+8.75009600E-01,-3.90093103E-01,+9.58026319E-01,-4.19368898E-01,+9.22481695E-01,-3.71432691E-01,+9.94451971E-01,-3.82784514E-01
+2.40792597E+01,+0.00000000E+00,+8.74831016E-01,-3.90026031E-01,+9.57835900E-01,-4.19380858E-01,+9.22553608E-01,-3.71261174E-01,+9.94454634E-01,-3.82597513E-01
+2.41420318E+01,+0.00000000E+00,+8.74651808E-01,-3.89958834E-01,+9.57644859E-01,-4.19392971E-01,+9.22625701E-01,-3.71089138E-01,+9.94457305E-01,-3.82409961E-01
+2.42048348E+01,+0.00000000E+00,+8.74471973E-01,-3.89891514E-01,+9.57453197E-01,-4.19405236E-01,+9.22697973E-01,-3.70916581E-01,+9.94459984E-01,-3.82221857E-01
+2.42676687E+01,+0.00000000E+00,+8.74291509E-01,-3.89824071E-01,+9.57260910E-01,-4.19417657E-01,+9.22770426E-01,-3.70743504E-01,+9.94462671E-01,-3.82033202E-01
