s1,s2,Re(r_ap.tm),Im(r_ap.tm),Abs(r_ap.tm),Arg(r_ap.tm),Re(r_ap.te),Im(r_ap.te),Abs(r_ap.te),Arg(r_ap.te)
+9.20000000E-02,+0.00000000E+00,-4.06520793E-01,-9.13641530E-01,+1.00000000E+00,-1.98943908E+00,-4.01083548E-01,-9.16041477E-01,+1.00000000E+00,-1.98349573E+00
+9.30000000E-02,+0.00000000E+00,-4.06499331E-01,-9.13651079E-01,+1.00000000E+00,-1.98941559E+00,-4.00942194E-01,-9.16103355E-01,+1.00000000E+00,-1.98334142E+00
+9.40000000E-02,+0.00000000E+00,-4.06477653E-01,-9.13660723E-01,+1.00000000E+00,-1.98939187E+00,-4.00799283E-01,-9.16165888E-01,+1.00000000E+00,-1.98318543E+00
+9.50000000E-02,+0.00000000E+00,-4.06455761E-01,-9.13670463E-01,+1.00000000E+00,-1.98936790E+00,-4.00654814E-01,-9.16229076E-01,+1.00000000E+00,-1.98302775E+00
+9.60000000E-02,+0.00000000E+00,-4.06433655E-01,-9.13680296E-01,+1.00000000E+00,-1.98934371E+00,-4.00508787E-01,-9.16292918E-01,+1.00000000E+00,-1.98286837E+00
+9.70000000E-02,+0.00000000E+00,-4.06411336E-01,-9.13690224E-01,+1.00000000E+00,-1.98931928E+00,-4.00361200E-01,-9.16357414E-01,+1.00000000E+00,-1.98270731E+00
+9.80000000E-02,+0.00000000E+00,-4.06388804E-01,-9.13700246E-01,+1.00000000E+00,-1.98929462E+00,-4.00212052E-01,-9.16422563E-01,+1.00000000E+00,-1.98254455E+00
+9.90000000E-02,+0.00000000E+00,-4.06366060E-01,-9.13710362E-01,+1.00000000E+00,-1.98926973E+00,-4.00061342E-01,-9.16488365E-01,+1.00000000E+00,-1.98238010E+00
+1.00000000E-01,+0.00000000E+00,-4.06343105E-01,-9.13720571E-01,+1.00000000E+00,-1.98924461E+00,-3.99909070E-01,-9.16554819E-01,+1.00000000E+00,-1.98221396E+00
+1.01000000E-01,+0.00000000E+00,-4.06319938E-01,-9.13730873E-01,+1.00000000E+00,-1.98921925E+00,-3.99755234E-01,-9.16621925E-01,+1.00000000E+00,-1.98204613E+00
+1.02000000E-01,+0.00000000E+00,-4.06296562E-01,-9.13741268E-01,+1.00000000E+00,-1.98919367E+00,-3.99599834E-01,-9.16689682E-01,+1.00000000E+00,-1.98187660E+00
+1.03000000E-01,+0.00000000E+00,-4.06272975E-01,-9.13751755E-01,+1.00000000E+00,-1.98916786E+00,-3.99442868E-01,-9.16758090E-01,+1.00000000E+00,-1.98170537E+00
+1.04000000E-01,+0.00000000E+00,-4.06249179E-01,-9.13762335E-01,+1.00000000E+00,-1.98914182E+00,-3.99284336E-01,-9.16827148E-01,+1.00000000E+00,-1.98153245E+00
+1.05000000E-01,+0.00000000E+00,-4.06225175E-01,-9.13773006E-01,+1.00000000E+00,-1.98911555E+00,-3.99124235E-01,-9.16896856E-01,+1.00000000E+00,-1.98135783E+00
+1.06000000E-01,+0.00000000E+00,-4.06200963E-01,-9.13783770E-01,+1.00000000E+00,-1.98908905E+00,-3.98962566E-01,-9.16967214E-01,+1.00000000E+00,-1.98118152E+00
+1.07000000E-01,+0.00000000E+00,-4.06176544E-01,-9.13794624E-01,+1.00000000E+00,-1.98906233E+00,-3.98799327E-01,-9.17038220E-01,+1.00000000E+00,-1.98100351E+00
+1.08000000E-01,+0.00000000E+00,-4.06151918E-01,-9.13805570E-01,+1.00000000E+00,-1.98903538E+00,-3.98634518E-01,-9.17109874E-01,+1.00000000E+00,-1.98082379E+00
+1.09000000E-01,+0.00000000E+00,-4.06127086E-01,-9.13816606E-01,+1.00000000E+00,-1.98900820E+00,-3.98468136E-01,-9.17182176E-01,+1.00000000E+00,-1.98064238E+00
+1.10000000E-01,+0.00000000E+00,-4.06102049E-01,-9.13827733E-01,+1.00000000E+00,-1.98898080E+00,-3.98300182E-01,-9.17255126E-01,+1.00000000E+00,-1.98045927E+00
+1.11000000E-01,+0.00000000E+00,-4.06076807E-01,-9.13838950E-01,+1.00000000E+00,-1.98895318E+00,-3.98130653E-01,-9.17328721E-01,+1.00000000E+00,-1.98027445E+00
+1.12000000E-01,+0.00000000E+00,-4.06051361E-01,-9.13850257E-01,+1.00000000E+00,-1.98892534E+00,-3.97959549E-01,-9.17402963E-01,+1.00000000E+00,-1.98008794E+00
+1.13000000E-01,+0.00000000E+00,-4.06025711E-01,-9.13861653E-01,+1.00000000E+00,-1.98889727E+00,-3.97786869E-01,-9.17477851E-01,+1.00000000E+00,-1.97989972E+00
+1.14000000E-01,+0.00000000E+00,-4.05999859E-01,-9.13873139E-01,+1.00000000E+00,-1.98886898E+00,-3.97612611E-01,-9.17553384E-01,+1.00000000E+00,-1.97970979E+00
+1.15000000E-01,+0.00000000E+00,-4.05973806E-01,-9.13884713E-01,+1.00000000E+00,-1.98884047E+00,-3.97436774E-01,-9.17629561E-01,+1.00000000E+00,-1.97951817E+00
+1.16000000E-01,+0.00000000E+00,-4.05947550E-01,-9.13896376E-01,+1.00000000E+00,-1.98881174E+00,-3.97259358E-01,-9.17706381E-01,+1.00000000E+00,-1.97932483E+00
+1.17000000E-01,+0.00000000E+00,-4.05921095E-01,-9.13908127E-01,+1.00000000E+00,-1.98878280E+00,-3.97080361E-01,-9.17783845E-01,+1.00000000E+00,-1.97912979E+00
+1.18000000E-01,+0.00000000E+00,-4.05894439E-01,-9.13919966E-01,+1.00000000E+00,-1.98875363E+00,-3.96899782E-01,-9.17861952E-01,+1.00000000E+00,-1.97893304E+00
+1.19000000E-01,+0.00000000E+00,-4.05867584E-01,-9.13931893E-01,+1.00000000E+00,-1.98872425E+00,-3.96717619E-01,-9.17940701E-01,+1.00000000E+00,-1.97873459E+00
+1.20000000E-01,+0.00000000E+00,-4.05840531E-01,-9.13943906E-01,+1.00000000E+00,-1.98869464E+00,-3.96533873E-01,-9.18020091E-01,+1.00000000E+00,-1.97853442E+00
+1.21000000E-01,+0.00000000E+00,-4.05813280E-01,-9.13956007E-01,+1.00000000E+00,-1.98866483E+00,-3.96348540E-01,-9.18100123E-01,+1.00000000E+00,-1.97833255E+00
+1.22000000E-01,+0.00000000E+00,-4.05785832E-01,-9.13968193E-01,+1.00000000E+00,-1.98863480E+00,-3.96161620E-01,-9.18180794E-01,+1.00000000E+00,-1.97812897E+00
+1.23000000E-01,+0.00000000E+00,-4.05758188E-01,-9.13980467E-01,+1.00000000E+00,-1.98860455E+00,-3.95973113E-01,-9.18262105E-01,+1.00000000E+00,-1.97792367E+00
+1.24000000E-01,+0.00000000E+00,-4.05730348E-01,-9.13992825E-01,+1.00000000E+00,-1.98857409E+00,-3.95783016E-01,-9.18344056E-01,+1.00000000E+00,-1.97771666E+00
+1.25000000E-01,+0.00000000E+00,-4.05702313E-01,-9.14005270E-01,+1.00000000E+00,-1.98854342E+00,-3.95591328E-01,-9.18426644E-01,+1.00000000E+00,-1.97750794E+00
+1.26000000E-01,+0.00000000E+00,-4.05674085E-01,-9.14017799E-01,+1.00000000E+00,-1.98851253E+00,-3.95398048E-01,-9.18509871E-01,+1.00000000E+00,-1.97729750E+00
+1.27000000E-01,+0.00000000E+00,-4.05645663E-01,-9.14030413E-01,+1.00000000E+00,-1.98848144E+00,-3.95203176E-01,-9.18593735E-01,+1.00000000E+00,-1.97708535E+00
+1.28000000E-01,+0.00000000E+00,-4.05617048E-01,-9.14043112E-01,+1.00000000E+00,-1.98845013E+00,-3.95006709E-01,-9.18678235E-01,+1.00000000E+00,-1.97687148E+00
+1.29000000E-01,+0.00000000E+00,-4.05588242E-01,-9.14055894E-01,+1.00000000E+00,-1.98841862E+00,-3.94808646E-01,-9.18763372E-01,+1.00000000E+00,-1.97665590E+00
