s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+4.20000000E-01,+0.00000000E+00,+0.00000000E+00,+8.70520280E-01,+8.70520280E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.96888811E-01,+8.96888811E-01,+1.57079633E+00
+4.30000000E-01,+0.00000000E+00,+0.00000000E+00,+8.67990065E-01,+8.67990065E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.95589136E-01,+8.95589136E-01,+1.57079633E+00
+4.40000000E-01,+0.00000000E+00,+0.00000000E+00,+8.65408300E-01,+8.65408300E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.94263192E-01,+8.94263192E-01,+1.57079633E+00
+4.50000000E-01,+0.00000000E+00,+0.00000000E+00,+8.62775502E-01,+8.62775502E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.92911257E-01,+8.92911257E-01,+1.57079633E+00
+4.60000000E-01,+0.00000000E+00,+0.00000000E+00,+8.60092194E-01,+8.60092194E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.91533612E-01,+8.91533612E-01,+1.57079633E+00
+4.70000000E-01,+0.00000000E+00,+0.00000000E+00,+8.57358906E-01,+8.57358906E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.90130546E-01,+8.90130546E-01,+1.57079633E+00
+4.80000000E-01,+0.00000000E+00,+0.00000000E+00,+8.54576176E-01,+8.54576176E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.88702346E-01,+8.88702346E-01,+1.57079633E+00
+4.90000000E-01,+0.00000000E+00,+0.00000000E+00,+8.51744548E-01,+8.51744548E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.87249308E-01,+8.87249308E-01,+1.57079633E+00
+5.00000000E-01,+0.00000000E+00,+0.00000000E+00,+8.48864573E-01,+8.48864573E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.85771729E-01,+8.85771729E-01,+1.57079633E+00
+5.10000000E-01,+0.00000000E+00,+0.00000000E+00,+8.45936808E-01,+8.45936808E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.84269908E-01,+8.84269908E-01,+1.57079633E+00
+5.20000000E-01,+0.00000000E+00,+0.00000000E+00,+8.42961814E-01,+8.42961814E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.82744150E-01,+8.82744150E-01,+1.57079633E+00
+5.30000000E-01,+0.00000000E+00,+0.00000000E+00,+8.39940159E-01,+8.39940159E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.81194761E-01,+8.81194761E-01,+1.57079633E+00
+5.40000000E-01,+0.00000000E+00,+0.00000000E+00,+8.36872419E-01,+8.36872419E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.79622050E-01,+8.79622050E-01,+1.57079633E+00
+5.50000000E-01,+0.00000000E+00,+0.00000000E+00,+8.33759170E-01,+8.33759170E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.78026331E-01,+8.78026331E-01,+1.57079633E+00
+5.60000000E-01,+0.00000000E+00,+0.00000000E+00,+8.30600996E-01,+8.30600996E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.76407917E-01,+8.76407917E-01,+1.57079633E+00
+5.70000000E-01,+0.00000000E+00,+0.00000000E+00,+8.27398486E-01,+8.27398486E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.74767126E-01,+8.74767126E-01,+1.57079633E+00
+5.80000000E-01,+0.00000000E+00,+0.00000000E+00,+8.24152230E-01,+8.24152230E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.73104277E-01,+8.73104277E-01,+1.57079633E+00
+5.90000000E-01,+0.00000000E+00,+0.00000000E+00,+8.20862827E-01,+8.20862827E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.71419692E-01,+8.71419692E-01,+1.57079633E+00
+6.00000000E-01,+0.00000000E+00,+0.00000000E+00,+8.17530874E-01,+8.17530874E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.69713696E-01,+8.69713696E-01,+1.57079633E+00
+6.10000000E-01,+0.00000000E+00,+0.00000000E+00,+8.14156976E-01,+8.14156976E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.67986613E-01,+8.67986613E-01,+1.57079633E+00
+6.20000000E-01,+0.00000000E+00,+0.00000000E+00,+8.10741740E-01,+8.10741740E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.66238770E-01,+8.66238770E-01,+1.57079633E+00
+6.30000000E-01,+0.00000000E+00,+0.00000000E+00,+8.07285775E-01,+8.07285775E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.64470498E-01,+8.64470498E-01,+1.57079633E+00
+6.40000000E-01,+0.00000000E+00,+0.00000000E+00,+8.03789693E-01,+8.03789693E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.62682126E-01,+8.62682126E-01,+1.57079633E+00
+6.50000000E-01,+0.00000000E+00,+0.00000000E+00,+8.00254110E-01,+8.00254110E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.60873986E-01,+8.60873986E-01,+1.57079633E+00
