s,n,Re(f_ibc6.tm),Im(f_ibc6.tm),Abs(f_ibc6.tm),Arg(f_ibc6.tm),Re(f_ibc6.te),Im(f_ibc6.te),Abs(f_ibc6.te),Arg(f_ibc6.te)
+0.00000000E+00,+4.00000000E+01,-9.00917615E-01,+2.98772599E-01,+9.49166800E-01,+2.82137459E+00,-2.50876878E-01,-4.33517785E-01,+5.00876110E-01,-2.09540704E+00
+0.00000000E+00,+4.10000000E+01,-1.39384218E-01,+3.46347020E-01,+3.73341959E-01,+1.95340519E+00,-9.73341814E-01,-1.61082360E-01,+9.86580871E-01,-2.97758504E+00
+0.00000000E+00,+4.20000000E+01,-2.00483286E-01,-4.00362009E-01,+4.47753600E-01,-2.03504777E+00,-5.87054861E-01,+4.92363129E-01,+7.66195054E-01,+2.44369529E+00
+0.00000000E+00,+4.30000000E+01,-9.22993161E-01,-2.66602299E-01,+9.60725331E-01,-2.86040062E+00,-9.98145500E-04,+3.15776694E-02,+3.15934408E-02,+1.60239503E+00
+0.00000000E+00,+4.40000000E+01,-7.51191398E-01,+4.32322659E-01,+8.66712985E-01,+2.61937068E+00,-5.03342478E-01,-4.99988828E-01,+7.09466333E-01,-2.35953699E+00
+0.00000000E+00,+4.50000000E+01,-6.99001889E-02,+2.54978730E-01,+2.64386439E-01,+1.83836399E+00,-9.99713079E-01,+1.69363034E-02,+9.99856529E-01,+3.12465311E+00
+0.00000000E+00,+4.60000000E+01,-2.21921928E-01,-4.15538910E-01,+4.71085903E-01,-2.06131776E+00,-4.91221282E-01,+4.99922928E-01,+7.00871801E-01,+2.34741532E+00
+0.00000000E+00,+4.70000000E+01,-8.85201910E-01,-3.18778118E-01,+9.40851694E-01,-2.79593164E+00,-4.65851332E-04,+2.15785614E-02,+2.15835894E-02,+1.59238159E+00
+0.00000000E+00,+4.80000000E+01,-8.72676531E-01,+3.33334972E-01,+9.34171575E-01,+2.77672663E+00,-4.25639170E-01,-4.94439548E-01,+6.52410277E-01,-2.28155677E+00
+0.00000000E+00,+4.90000000E+01,-2.47030928E-01,+4.31284881E-01,+4.97022060E-01,+2.09095987E+00,-9.77400312E-01,-1.48623491E-01,+9.88635581E-01,-2.99068865E+00
+0.00000000E+00,+5.00000000E+01,-1.94994348E-02,-1.38272220E-01,+1.39640377E-01,-1.71089455E+00,-7.40552300E-01,+4.38331600E-01,+8.60553484E-01,+2.60715163E+00
+0.00000000E+00,+5.10000000E+01,-4.88630608E-01,-4.99870720E-01,+6.99021179E-01,-2.34482412E+00,-1.34444375E-01,+3.41129132E-01,+3.66666572E-01,+1.94621983E+00
+0.00000000E+00,+5.20000000E+01,-9.64297281E-01,-1.85547932E-01,+9.81986395E-01,-2.95149822E+00,-6.62933054E-02,-2.48794098E-01,+2.57474864E-01,-1.83120437E+00
+0.00000000E+00,+5.30000000E+01,-8.56658210E-01,+3.50421062E-01,+9.25558324E-01,+2.75330396E+00,-5.84576479E-01,-4.92794906E-01,+7.64576013E-01,-2.44117958E+00
+0.00000000E+00,+5.40000000E+01,-3.50506155E-01,+4.77128484E-01,+5.92035603E-01,+2.20437867E+00,-9.86343368E-01,-1.16060883E-01,+9.93148210E-01,-3.02446342E+00
