n,Re(m_ex.11),Im(m_ex.11),Abs(m_ex.11),Arg(m_ex.11),Re(m_ex.21),Im(m_ex.21),Abs(m_ex.21),Arg(m_ex.21),Re(m_ex.12),Im(m_ex.12),Abs(m_ex.12),Arg(m_ex.12),Re(m_ex.22),Im(m_ex.22),Abs(m_ex.22),Arg(m_ex.22)
+3.70000000E+01,-1.30029320E-01,+3.36335690E-01,+3.60595785E-01,+1.93970290E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.64922025E-01,-1.83976929E-01,+9.82304446E-01,-2.95318888E+00
+3.80000000E+01,-2.73451421E-01,-4.45730570E-01,+5.22925827E-01,-2.12107622E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.42175515E-01,+4.98218051E-01,+7.36325685E-01,+2.39842018E+00
+3.90000000E+01,-9.85294288E-01,-1.20372147E-01,+9.92619911E-01,-3.02002634E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.10919941E-03,-8.40158241E-02,+8.43160685E-02,-1.65521262E+00
+4.00000000E+01,-5.28564937E-01,+4.99183378E-01,+7.27024715E-01,+2.38477499E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.86613516E-01,-4.63870020E-01,+8.28621455E-01,-2.54743698E+00
+4.10000000E+01,-1.88967476E-03,-4.34292976E-02,+4.34703894E-02,-1.61428042E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.24710937E-01,+2.63857196E-01,+9.61618915E-01,+2.86363889E+00
+4.20000000E+01,-5.93687248E-01,-4.91144276E-01,+7.70511030E-01,-2.45043880E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.82325876E-01,+3.86112873E-01,+4.26996342E-01,+2.01196479E+00
+4.30000000E+01,-9.84877476E-01,+1.22040292E-01,+9.92409934E-01,+3.01830691E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.44350932E-01,-3.51445217E-01,+3.79935431E-01,-1.96052282E+00
+4.40000000E+01,-3.71306065E-01,+4.83154086E-01,+6.09348886E-01,+2.22603548E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.68340488E-01,-3.38120223E-01,+9.31847889E-01,-2.77026904E+00
+4.50000000E+01,-1.30247815E-02,-1.13380494E-01,+1.14126165E-01,-1.68517170E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.36051346E-01,+3.70228974E-01,+9.14358434E-01,+2.72471692E+00
+4.60000000E+01,-5.75116169E-01,-4.94325360E-01,+7.58364140E-01,-2.43159613E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.42928015E-01,+3.49999425E-01,+3.78058217E-01,+1.95849427E+00
+4.70000000E+01,-9.99839883E-01,+1.26527222E-02,+9.99919938E-01,+3.12893858E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.21525753E-01,-3.26737271E-01,+3.48605440E-01,-1.92687912E+00
+4.80000000E+01,-5.74233324E-01,+4.94458708E-01,+7.57781845E-01,+2.43070327E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.75280978E-01,-4.17397153E-01,+8.80500413E-01,-2.64771312E+00
+4.90000000E+01,-3.44883224E-02,+1.82479802E-01,+1.85710319E-01,+1.75759103E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.59172762E-01,+1.97889804E-01,+9.79373658E-01,+2.93813434E+00
+5.00000000E+01,-1.97416246E-01,-3.98049082E-01,+4.44315481E-01,-2.03120636E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.09204473E-01,+4.91687067E-01,+6.39690920E-01,+2.26489241E+00
+5.10000000E+01,-7.78542461E-01,-4.15227765E-01,+8.82350532E-01,-2.65163021E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.07855154E-03,+4.55437281E-02,+4.55911345E-02,+1.61640327E+00
+5.20000000E+01,-9.89489060E-01,+1.01982645E-01,+9.94730647E-01,+3.03888932E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.97956107E-01,-4.57360105E-01,+5.45853558E-01,-2.14820382E+00
+5.30000000E+01,-6.17768682E-01,+4.85932647E-01,+7.85982622E-01,+2.47508022E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.50752025E-01,-3.56332734E-01,+9.22362198E-01,-2.74494737E+00
+5.40000000E+01,-1.31151771E-01,+3.37566266E-01,+3.62148824E-01,+1.94136850E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.70386602E-01,+1.69518273E-01,+9.85082028E-01,+2.96864635E+00
