s,n,Re(f_ex.11),Im(f_ex.11),Abs(f_ex.11),Arg(f_ex.11),Re(f_ex.21),Im(f_ex.21),Abs(f_ex.21),Arg(f_ex.21),Re(f_ex.12),Im(f_ex.12),Abs(f_ex.12),Arg(f_ex.12),Re(f_ex.22),Im(f_ex.22),Abs(f_ex.22),Arg(f_ex.22)
+0.00000000E+00,+1.90000000E+01,-9.05152978E-01,-2.93003524E-01,+9.51395279E-01,-2.82853150E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.74296708E-02,+2.67271990E-01,+2.78261875E-01,+1.85278037E+00
+0.00000000E+00,+2.00000000E+01,-3.46573048E-01,+4.75878315E-01,+5.88704551E-01,+2.20025164E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.86841377E-01,-4.63778287E-01,+8.28758938E-01,-2.54768261E+00
+0.00000000E+00,+2.10000000E+01,-3.26400265E-01,-4.68895652E-01,+5.71314507E-01,-2.17890292E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.35285486E-01,+4.81350015E-01,+7.97047982E-01,+2.49318753E+00
+0.00000000E+00,+2.20000000E+01,-9.34933108E-01,+2.46643856E-01,+9.66919391E-01,+2.88366001E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.91925906E-02,-2.85021530E-01,+2.98651286E-01,-1.87407546E+00
+0.00000000E+00,+2.30000000E+01,-1.18961436E-02,+1.08418750E-01,+1.09069444E-01,+1.68008319E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.96571454E-01,-5.84533265E-02,+9.98284255E-01,-3.08300535E+00
+0.00000000E+00,+2.40000000E+01,-7.75460051E-01,-4.17278996E-01,+8.80602095E-01,-2.64792766E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.79344993E-01,+3.83640934E-01,+4.23491432E-01,+2.00809229E+00
+0.00000000E+00,+2.50000000E+01,-6.09040755E-01,+4.87965279E-01,+7.80410632E-01,+2.46611861E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.52514686E-01,-4.97740037E-01,+6.72692118E-01,-2.30863750E+00
+0.00000000E+00,+2.60000000E+01,-6.43174434E-02,-2.45317569E-01,+2.53608839E-01,-1.82720558E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.97971456E-01,+3.02685844E-01,+9.47613558E-01,+2.81647627E+00
+0.00000000E+00,+2.70000000E+01,-9.67878024E-01,-1.76324006E-01,+9.83807920E-01,-2.96139295E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.09421157E-02,+1.04030697E-01,+1.04604568E-01,+1.67559261E+00
+0.00000000E+00,+2.80000000E+01,-3.51380421E-01,+4.77401530E-01,+5.92773499E-01,+2.20529458E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.24990072E-01,-4.46519280E-01,+8.51463488E-01,-2.58956604E+00
+0.00000000E+00,+2.90000000E+01,-2.00406200E-01,-4.00304328E-01,+4.47667510E-01,-2.03495149E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.23150903E-01,+4.47441253E-01,+8.50382798E-01,+2.58750872E+00
+0.00000000E+00,+3.00000000E+01,-9.99324319E-01,-2.59850823E-02,+9.99662102E-01,-3.11559586E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.14588420E-03,-7.15500110E-02,+7.17348186E-02,-1.64259281E+00
+0.00000000E+00,+3.10000000E+01,-2.59353103E-01,+4.38279672E-01,+5.09267222E-01,+2.10512944E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.27544608E-01,-3.77775766E-01,+9.09694789E-01,-2.71334484E+00
+0.00000000E+00,+3.20000000E+01,-2.38109040E-01,-4.25926197E-01,+4.87964179E-01,-2.08055221E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.58057178E-01,+4.74360547E-01,+8.11207235E-01,+2.51701000E+00
+0.00000000E+00,+3.30000000E+01,-9.98738766E-01,-3.54914496E-02,+9.99369184E-01,-3.10607133E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.81541394E-03,-8.80586921E-02,+8.84048299E-02,-1.65931672E+00
+0.00000000E+00,+3.40000000E+01,-3.18430072E-01,+4.65867322E-01,+5.64296086E-01,+2.17037669E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.98256052E-01,-4.01302040E-01,+8.93451763E-01,-2.67576866E+00
+0.00000000E+00,+3.50000000E+01,-1.43243850E-01,-3.50321352E-01,+3.78475693E-01,-1.95894526E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.42559545E-01,+4.37224047E-01,+8.61718948E-01,+2.60944417E+00
+0.00000000E+00,+3.60000000E+01,-9.54829260E-01,-2.07678465E-01,+9.77153652E-01,-2.92742508E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.52001968E-03,+5.92252407E-02,+5.93297537E-02,+1.63016094E+00
+0.00000000E+00,+3.70000000E+01,-5.50507252E-01,+4.97442477E-01,+7.41961759E-01,+2.40678803E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.14580599E-01,-4.86694243E-01,+7.83951911E-01,-2.47180242E+00
+0.00000000E+00,+3.80000000E+01,-8.66047292E-03,-9.26578066E-02,+9.30616619E-02,-1.66399284E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.28117267E-01,+2.58293643E-01,+9.63388430E-01,+2.87016245E+00
+0.00000000E+00,+3.90000000E+01,-7.10166720E-01,-4.53684858E-01,+8.42713901E-01,-2.57310087E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.35898100E-01,+3.42680326E-01,+3.68643594E-01,+1.94834575E+00
+0.00000000E+00,+4.00000000E+01,-9.00917645E-01,+2.98772559E-01,+9.49166816E-01,+2.82137464E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.50861519E-01,-4.33508959E-01,+5.00860778E-01,-2.09538933E+00
