s,n,Re(f_ibc0.11),Im(f_ibc0.11),Abs(f_ibc0.11),Arg(f_ibc0.11),Re(f_ibc0.21),Im(f_ibc0.21),Abs(f_ibc0.21),Arg(f_ibc0.21),Re(f_ibc0.12),Im(f_ibc0.12),Abs(f_ibc0.12),Arg(f_ibc0.12),Re(f_ibc0.22),Im(f_ibc0.22),Abs(f_ibc0.22),Arg(f_ibc0.22)
+0.00000000E+00,+5.90000000E+01,-9.93244266E-01,+8.19151644E-02,+9.96616409E-01,+3.05930655E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-6.36752745E-01,-4.80935221E-01,+7.97967885E-01,-2.49471229E+00
+0.00000000E+00,+6.00000000E+01,-8.35666789E-01,+3.70577666E-01,+9.14148122E-01,+2.72419781E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.39774675E-01,-2.37903835E-01,+9.69419762E-01,-2.89365161E+00
+0.00000000E+00,+6.10000000E+01,-5.76061938E-01,+4.94180718E-01,+7.58987443E-01,+2.43255289E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-9.87099309E-01,+1.12846193E-01,+9.93528716E-01,+3.02776580E+00
+0.00000000E+00,+6.20000000E+01,-3.33604784E-01,+4.71500405E-01,+5.77585304E-01,+2.18656392E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.21434406E-01,+3.82988149E-01,+9.06330186E-01,+2.70531334E+00
+0.00000000E+00,+6.30000000E+01,-1.63876659E-01,+3.70163612E-01,+4.04816821E-01,+1.98757482E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.67915202E-01,+4.95366052E-01,+7.53601487E-01,+2.42432028E+00
+0.00000000E+00,+6.40000000E+01,-6.83038415E-02,+2.52266579E-01,+2.61350036E-01,+1.83521691E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.33678953E-01,+4.71526573E-01,+5.77649507E-01,+2.18664257E+00
+0.00000000E+00,+6.50000000E+01,-2.40373694E-02,+1.53165186E-01,+1.55039896E-01,+1.72646416E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.68169307E-01,+3.74016565E-01,+4.10084512E-01,+1.99334305E+00
+0.00000000E+00,+6.60000000E+01,-7.10196789E-03,+8.39733883E-02,+8.42731742E-02,+1.65516957E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-7.27809727E-02,+2.59776640E-01,+2.69779489E-01,+1.84396035E+00
+0.00000000E+00,+6.70000000E+01,-1.75793492E-03,+4.18908652E-02,+4.19277345E-02,+1.61273636E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.69557076E-02,+1.61953998E-01,+1.64181934E-01,+1.73572496E+00
+0.00000000E+00,+6.80000000E+01,-3.65977168E-04,+1.91270288E-02,+1.91305297E-02,+1.58992802E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-8.50779772E-03,+9.18445159E-02,+9.22377240E-02,+1.66316534E+00
+0.00000000E+00,+6.90000000E+01,-6.46801781E-05,+8.04213868E-03,+8.04239878E-03,+1.57883881E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.28539897E-03,+4.77511876E-02,+4.78058466E-02,+1.61862040E+00
+0.00000000E+00,+7.00000000E+01,-9.82114181E-06,+3.13385471E-03,+3.13387010E-03,+1.57393020E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-5.24558515E-04,+2.28972346E-02,+2.29032425E-02,+1.59370157E+00
+0.00000000E+00,+7.10000000E+01,-1.29665721E-06,+1.13870783E-03,+1.13870857E-03,+1.57193504E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.03801189E-04,+1.01877581E-02,+1.01882869E-02,+1.58098479E+00
+0.00000000E+00,+7.20000000E+01,-1.50416090E-07,+3.87835104E-04,+3.87835133E-04,+1.57118416E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-1.79207426E-05,+4.23325187E-03,+4.23328981E-03,+1.57502963E+00
+0.00000000E+00,+7.30000000E+01,-1.54622698E-08,+1.24347375E-04,+1.24347376E-04,+1.57092067E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-2.73332189E-06,+1.65327385E-03,+1.65327611E-03,+1.57244960E+00
+0.00000000E+00,+7.40000000E+01,-1.41816047E-09,+3.76584714E-05,+3.76584714E-05,+1.57083399E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-3.72633823E-07,+6.10437289E-04,+6.10437403E-04,+1.57140676E+00
+0.00000000E+00,+7.50000000E+01,-1.16688442E-10,+1.08022424E-05,+1.08022424E-05,+1.57080713E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-4.58838831E-08,+2.14205231E-04,+2.14205236E-04,+1.57101053E+00
