s1,s2,Re(z_ex.11),Im(z_ex.11),Abs(z_ex.11),Arg(z_ex.11),Re(z_ex.21),Im(z_ex.21),Abs(z_ex.21),Arg(z_ex.21),Re(z_ex.12),Im(z_ex.12),Abs(z_ex.12),Arg(z_ex.12),Re(z_ex.22),Im(z_ex.22),Abs(z_ex.22),Arg(z_ex.22)
+1.02609573E+00,+0.00000000E+00,+1.09313302E-14,+6.38502473E-01,+6.38502473E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+2.36199204E-14,+7.86102759E-01,+7.86102759E-01,+1.57079633E+00
+1.04188182E+00,+0.00000000E+00,+2.73747283E-14,+6.31272346E-01,+6.31272346E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.08977673E-15,+7.82386682E-01,+7.82386682E-01,+1.57079633E+00
+1.05766791E+00,+0.00000000E+00,+3.17112157E-15,+6.24004433E-01,+6.24004433E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.36989896E-14,+7.78653988E-01,+7.78653988E-01,+1.57079633E+00
+1.07345400E+00,+0.00000000E+00,+1.66147549E-14,+6.16700844E-01,+6.16700844E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.61657150E-14,+7.74905838E-01,+7.74905838E-01,+1.57079633E+00
+1.08924009E+00,+0.00000000E+00,+2.31382846E-14,+6.09363657E-01,+6.09363657E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+6.50275861E-15,+7.71143373E-01,+7.71143373E-01,+1.57079633E+00
+1.10502617E+00,+0.00000000E+00,+1.40397718E-15,+6.01994917E-01,+6.01994917E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.54131846E-14,+7.67367719E-01,+7.67367719E-01,+1.57079633E+00
+1.12081226E+00,+0.00000000E+00,+1.93096784E-14,+5.94596636E-01,+5.94596636E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.09405887E-14,+7.63579980E-01,+7.63579980E-01,+1.57079633E+00
+1.13659835E+00,+0.00000000E+00,+1.99041973E-14,+5.87170794E-01,+5.87170794E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.34613583E-15,+7.59781245E-01,+7.59781245E-01,+1.57079633E+00
+1.15238444E+00,+0.00000000E+00,+9.22902288E-16,+5.79719336E-01,+5.79719336E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.45601283E-14,+7.55972581E-01,+7.55972581E-01,+1.57079633E+00
+1.16817053E+00,+0.00000000E+00,+1.98772988E-14,+5.72244173E-01,+5.72244173E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.99184459E-15,+7.52155036E-01,+7.52155036E-01,+1.57079633E+00
+1.18395662E+00,+0.00000000E+00,+1.75281764E-14,+5.64747180E-01,+5.64747180E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+1.07308762E-14,+7.48329641E-01,+7.48329641E-01,+1.57079633E+00
+1.19974270E+00,+0.00000000E+00,+5.20716053E-16,+5.57230197E-01,+5.57230197E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.38804507E-14,+7.44497403E-01,+7.44497403E-01,+1.57079633E+00
+1.21552879E+00,+0.00000000E+00,+1.89393748E-14,+5.49695028E-01,+5.49695028E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.08081334E-15,+7.40659312E-01,+7.40659312E-01,+1.57079633E+00
+1.23131488E+00,+0.00000000E+00,+1.69995714E-14,+5.42143440E-01,+5.42143440E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+9.59789391E-15,+7.36816336E-01,+7.36816336E-01,+1.57079633E+00
+1.24710097E+00,+0.00000000E+00,+1.74155382E-16,+5.34577165E-01,+5.34577165E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+3.28775571E-14,+7.32969424E-01,+7.32969424E-01,+1.57079633E+00
+1.26288706E+00,+0.00000000E+00,+1.76245742E-14,+5.26997896E-01,+5.26997896E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+8.04207135E-15,+7.29119504E-01,+7.29119504E-01,+1.57079633E+00
+1.27867314E+00,+0.00000000E+00,+1.77492108E-14,+5.19407291E-01,+5.19407291E-01,+1.57079633E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+0.00000000E+00,+7.08196051E-15,+7.25267481E-01,+7.25267481E-01,+1.57079633E+00
