s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+5.40000000E-01,+0.00000000E+00,+5.71039837E-03,-9.99983696E-01,+1.00000000E+00,-1.56508590E+00,+2.91894658E-01,-9.56450474E-01,+1.00000000E+00,-1.27458916E+00
+5.50000000E-01,+0.00000000E+00,+1.68429921E-03,-9.99998582E-01,+1.00000000E+00,-1.56911203E+00,+3.00623654E-01,-9.53742847E-01,+1.00000000E+00,-1.26544984E+00
+5.60000000E-01,+0.00000000E+00,-2.54161160E-03,-9.99996770E-01,+1.00000000E+00,-1.57333794E+00,+3.09571122E-01,-9.50876291E-01,+1.00000000E+00,-1.25605436E+00
+5.70000000E-01,+0.00000000E+00,-6.97825709E-03,-9.99975652E-01,+1.00000000E+00,-1.57777464E+00,+3.18740720E-01,-9.47841946E-01,+1.00000000E+00,-1.24639571E+00
+5.80000000E-01,+0.00000000E+00,-1.16373145E-02,-9.99932284E-01,+1.00000000E+00,-1.58243390E+00,+3.28136220E-01,-9.44630415E-01,+1.00000000E+00,-1.23646646E+00
+5.90000000E-01,+0.00000000E+00,-1.65312809E-02,-9.99863349E-01,+1.00000000E+00,-1.58732836E+00,+3.37761512E-01,-9.41231726E-01,+1.00000000E+00,-1.22625870E+00
+6.00000000E-01,+0.00000000E+00,-2.16735461E-02,-9.99765101E-01,+1.00000000E+00,-1.59247157E+00,+3.47620606E-01,-9.37635278E-01,+1.00000000E+00,-1.21576408E+00
+6.10000000E-01,+0.00000000E+00,-2.70784730E-02,-9.99633311E-01,+1.00000000E+00,-1.59787811E+00,+3.57717637E-01,-9.33829798E-01,+1.00000000E+00,-1.20497367E+00
+6.20000000E-01,+0.00000000E+00,-3.27614877E-02,-9.99463198E-01,+1.00000000E+00,-1.60356368E+00,+3.68056869E-01,-9.29803281E-01,+1.00000000E+00,-1.19387800E+00
+6.30000000E-01,+0.00000000E+00,-3.87391792E-02,-9.99249356E-01,+1.00000000E+00,-1.60954520E+00,+3.78642698E-01,-9.25542926E-01,+1.00000000E+00,-1.18246696E+00
+6.40000000E-01,+0.00000000E+00,-4.50294111E-02,-9.98985662E-01,+1.00000000E+00,-1.61584097E+00,+3.89479655E-01,-9.21035069E-01,+1.00000000E+00,-1.17072976E+00
+6.50000000E-01,+0.00000000E+00,-5.16514466E-02,-9.98665173E-01,+1.00000000E+00,-1.62247077E+00,+4.00572414E-01,-9.16265104E-01,+1.00000000E+00,-1.15865484E+00
+6.60000000E-01,+0.00000000E+00,-5.86260881E-02,-9.98280012E-01,+1.00000000E+00,-1.62945605E+00,+4.11925792E-01,-9.11217396E-01,+1.00000000E+00,-1.14622984E+00
+6.70000000E-01,+0.00000000E+00,-6.59758343E-02,-9.97821221E-01,+1.00000000E+00,-1.63682012E+00,+4.23544757E-01,-9.05875178E-01,+1.00000000E+00,-1.13344150E+00
+6.80000000E-01,+0.00000000E+00,-7.37250575E-02,-9.97278605E-01,+1.00000000E+00,-1.64458834E+00,+4.35434431E-01,-9.00220449E-01,+1.00000000E+00,-1.12027552E+00
+6.90000000E-01,+0.00000000E+00,-8.19002029E-02,-9.96640535E-01,+1.00000000E+00,-1.65278837E+00,+4.47600095E-01,-8.94233837E-01,+1.00000000E+00,-1.10671655E+00
+7.00000000E-01,+0.00000000E+00,-9.05300143E-02,-9.95893728E-01,+1.00000000E+00,-1.66145046E+00,+4.60047195E-01,-8.87894463E-01,+1.00000000E+00,-1.09274798E+00
+7.10000000E-01,+0.00000000E+00,-9.96457907E-02,-9.95022973E-01,+1.00000000E+00,-1.67060776E+00,+4.72781349E-01,-8.81179775E-01,+1.00000000E+00,-1.07835182E+00
+7.20000000E-01,+0.00000000E+00,-1.09281677E-01,-9.94010822E-01,+1.00000000E+00,-1.68029670E+00,+4.85808348E-01,-8.74065358E-01,+1.00000000E+00,-1.06350858E+00
+7.30000000E-01,+0.00000000E+00,-1.19474997E-01,-9.92837210E-01,+1.00000000E+00,-1.69055740E+00,+4.99134166E-01,-8.66524716E-01,+1.00000000E+00,-1.04819704E+00
+7.40000000E-01,+0.00000000E+00,-1.30266632E-01,-9.91478999E-01,+1.00000000E+00,-1.70143423E+00,+5.12764967E-01,-8.58529026E-01,+1.00000000E+00,-1.03239404E+00
+7.50000000E-01,+0.00000000E+00,-1.41701459E-01,-9.89909439E-01,+1.00000000E+00,-1.71297633E+00,+5.26707106E-01,-8.50046837E-01,+1.00000000E+00,-1.01607421E+00
+7.60000000E-01,+0.00000000E+00,-1.53828848E-01,-9.88097508E-01,+1.00000000E+00,-1.72523841E+00,+5.40967142E-01,-8.41043727E-01,+1.00000000E+00,-9.99209711E-01
+7.70000000E-01,+0.00000000E+00,-1.66703248E-01,-9.86007113E-01,+1.00000000E+00,-1.73828151E+00,+5.55551842E-01,-8.31481900E-01,+1.00000000E+00,-9.81769822E-01
+7.80000000E-01,+0.00000000E+00,-1.80384853E-01,-9.83596109E-01,+1.00000000E+00,-1.75217404E+00,+5.70468189E-01,-8.21319698E-01,+1.00000000E+00,-9.63720540E-01
+7.90000000E-01,+0.00000000E+00,-1.94940383E-01,-9.80815093E-01,+1.00000000E+00,-1.76699299E+00,+5.85723387E-01,-8.10511020E-01,+1.00000000E+00,-9.45024049E-01
+8.00000000E-01,+0.00000000E+00,-2.10444002E-01,-9.77605913E-01,+1.00000000E+00,-1.78282544E+00,+6.01324875E-01,-7.99004627E-01,+1.00000000E+00,-9.25638094E-01
+8.10000000E-01,+0.00000000E+00,-2.26978382E-01,-9.73899797E-01,+1.00000000E+00,-1.79977029E+00,+6.17280330E-01,-7.86743283E-01,+1.00000000E+00,-9.05515202E-01
+8.20000000E-01,+0.00000000E+00,-2.44635963E-01,-9.69614999E-01,+1.00000000E+00,-1.81794056E+00,+6.33597680E-01,-7.73662704E-01,+1.00000000E+00,-8.84601728E-01
+8.30000000E-01,+0.00000000E+00,-2.63520447E-01,-9.64653810E-01,+1.00000000E+00,-1.83746616E+00,+6.50285108E-01,-7.59690252E-01,+1.00000000E+00,-8.62836656E-01
+8.40000000E-01,+0.00000000E+00,-2.83748571E-01,-9.58898717E-01,+1.00000000E+00,-1.85849743E+00,+6.67351066E-01,-7.44743281E-01,+1.00000000E+00,-8.40150074E-01
+8.50000000E-01,+0.00000000E+00,-3.05452218E-01,-9.52207405E-01,+1.00000000E+00,-1.88120964E+00,+6.84804287E-01,-7.28727033E-01,+1.00000000E+00,-8.16461230E-01
+8.60000000E-01,+0.00000000E+00,-3.28780970E-01,-9.44406202E-01,+1.00000000E+00,-1.90580882E+00,+7.02653788E-01,-7.11531907E-01,+1.00000000E+00,-7.91675982E-01
+8.70000000E-01,+0.00000000E+00,-3.53905180E-01,-9.35281307E-01,+1.00000000E+00,-1.93253956E+00,+7.20908889E-01,-6.93029851E-01,+1.00000000E+00,-7.65683430E-01
+8.80000000E-01,+0.00000000E+00,-3.81019714E-01,-9.24566913E-01,+1.00000000E+00,-1.96169528E+00,+7.39579219E-01,-6.73069520E-01,+1.00000000E+00,-7.38351351E-01
+8.90000000E-01,+0.00000000E+00,-4.10348532E-01,-9.11928770E-01,+1.00000000E+00,-1.99363255E+00,+7.58674732E-01,-6.51469608E-01,+1.00000000E+00,-7.09519903E-01
+9.00000000E-01,+0.00000000E+00,-4.42150331E-01,-8.96940959E-01,+1.00000000E+00,-2.02879099E+00,+7.78205719E-01,-6.28009442E-01,+1.00000000E+00,-6.78992682E-01
+9.10000000E-01,+0.00000000E+00,-4.76725566E-01,-8.79052180E-01,+1.00000000E+00,-2.06772230E+00,+7.98182819E-01,-6.02415295E-01,+1.00000000E+00,-6.46523659E-01
+9.20000000E-01,+0.00000000E+00,-5.14425231E-01,-8.57535237E-01,+1.00000000E+00,-2.11113358E+00,+8.18617035E-01,-5.74339751E-01,+1.00000000E+00,-6.11797377E-01
+9.30000000E-01,+0.00000000E+00,-5.55661965E-01,-8.31408311E-01,+1.00000000E+00,-2.15995528E+00,+8.39519752E-01,-5.43329169E-01,+1.00000000E+00,-5.74397608E-01
+9.40000000E-01,+0.00000000E+00,-6.00924219E-01,-7.99306001E-01,+1.00000000E+00,-2.21545321E+00,+8.60902745E-01,-5.08769559E-01,+1.00000000E+00,-5.33754940E-01
+9.50000000E-01,+0.00000000E+00,-6.50794511E-01,-7.59253913E-01,+1.00000000E+00,-2.27942673E+00,+8.82778202E-01,-4.69790002E-01,+1.00000000E+00,-4.89052880E-01
+9.60000000E-01,+0.00000000E+00,-7.05973230E-01,-7.08238518E-01,+1.00000000E+00,-2.35459269E+00,+9.05158738E-01,-4.25073709E-01,+1.00000000E+00,-4.39043316E-01
+9.70000000E-01,+0.00000000E+00,-7.67310057E-01,-6.41276287E-01,+1.00000000E+00,-2.44543222E+00,+9.28057416E-01,-3.72437153E-01,+1.00000000E+00,-3.81633721E-01
+9.80000000E-01,+0.00000000E+00,-8.35845993E-01,-5.48964003E-01,+1.00000000E+00,-2.56046838E+00,+9.51487760E-01,-3.07686598E-01,+1.00000000E+00,-3.12760721E-01
+9.90000000E-01,+0.00000000E+00,-9.12870437E-01,-4.08249391E-01,+1.00000000E+00,-2.72105711E+00,+9.75463783E-01,-2.20159962E-01,+1.00000000E+00,-2.21978453E-01
+1.00000000E+00,+0.00000000E+00,-1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+3.14159265E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00
+1.01000000E+00,+0.00000000E+00,-1.55583845E+00,-0.00000000E+00,+1.55583845E+00,-3.14159265E+00,+7.99604250E-01,-0.00000000E+00,+7.99604250E-01,-0.00000000E+00
+1.02000000E+00,+0.00000000E+00,-1.90064313E+00,-0.00000000E+00,+1.90064313E+00,-3.14159265E+00,+7.27998724E-01,-0.00000000E+00,+7.27998724E-01,-0.00000000E+00
+1.03000000E+00,+0.00000000E+00,-2.24642007E+00,-0.00000000E+00,+2.24642007E+00,-3.14159265E+00,+6.76880531E-01,-0.00000000E+00,+6.76880531E-01,-0.00000000E+00
+1.04000000E+00,+0.00000000E+00,-2.62071532E+00,-0.00000000E+00,+2.62071532E+00,-3.14159265E+00,+6.36145927E-01,-0.00000000E+00,+6.36145927E-01,-0.00000000E+00
+1.05000000E+00,+0.00000000E+00,-3.04313182E+00,-0.00000000E+00,+3.04313182E+00,-3.14159265E+00,+6.01925397E-01,-0.00000000E+00,+6.01925397E-01,-0.00000000E+00
+1.06000000E+00,+0.00000000E+00,-3.53510126E+00,-0.00000000E+00,+3.53510126E+00,-3.14159265E+00,+5.72254908E-01,-0.00000000E+00,+5.72254908E-01,-0.00000000E+00
+1.07000000E+00,+0.00000000E+00,-4.12487303E+00,-0.00000000E+00,+4.12487303E+00,-3.14159265E+00,+5.45979129E-01,-0.00000000E+00,+5.45979129E-01,-0.00000000E+00
+1.08000000E+00,+0.00000000E+00,-4.85354242E+00,-0.00000000E+00,+4.85354242E+00,-3.14159265E+00,+5.22352327E-01,-0.00000000E+00,+5.22352327E-01,-0.00000000E+00
+1.09000000E+00,+0.00000000E+00,-5.78539342E+00,-0.00000000E+00,+5.78539342E+00,-3.14159265E+00,+5.00861167E-01,-0.00000000E+00,+5.00861167E-01,-0.00000000E+00
+1.10000000E+00,+0.00000000E+00,-7.02853322E+00,-0.00000000E+00,+7.02853322E+00,-3.14159265E+00,+4.81135132E-01,-0.00000000E+00,+4.81135132E-01,-0.00000000E+00
+1.11000000E+00,+0.00000000E+00,-8.78127237E+00,-0.00000000E+00,+8.78127237E+00,-3.14159265E+00,+4.62896856E-01,-0.00000000E+00,+4.62896856E-01,-0.00000000E+00
+1.12000000E+00,+0.00000000E+00,-1.14523585E+01,-0.00000000E+00,+1.14523585E+01,-3.14159265E+00,+4.45932602E-01,-0.00000000E+00,+4.45932602E-01,-0.00000000E+00
+1.13000000E+00,+0.00000000E+00,-1.60425312E+01,-0.00000000E+00,+1.60425312E+01,-3.14159265E+00,+4.30073734E-01,-0.00000000E+00,+4.30073734E-01,-0.00000000E+00
+1.14000000E+00,+0.00000000E+00,-2.58272813E+01,-0.00000000E+00,+2.58272813E+01,-3.14159265E+00,+4.15184568E-01,-0.00000000E+00,+4.15184568E-01,-0.00000000E+00
+1.15000000E+00,+0.00000000E+00,-6.13378209E+01,-0.00000000E+00,+6.13378209E+01,-3.14159265E+00,+4.01154110E-01,-0.00000000E+00,+4.01154110E-01,-0.00000000E+00
+1.16000000E+00,+0.00000000E+00,+1.97987566E+02,-0.00000000E+00,+1.97987566E+02,-0.00000000E+00,+3.87890267E-01,-0.00000000E+00,+3.87890267E-01,-0.00000000E+00
+1.17000000E+00,+0.00000000E+00,+3.92799773E+01,-0.00000000E+00,+3.92799773E+01,-0.00000000E+00,+3.75315689E-01,-0.00000000E+00,+3.75315689E-01,-0.00000000E+00
+1.18000000E+00,+0.00000000E+00,+2.22143424E+01,-0.00000000E+00,+2.22143424E+01,-0.00000000E+00,+3.63364703E-01,-0.00000000E+00,+3.63364703E-01,-0.00000000E+00
+1.19000000E+00,+0.00000000E+00,+1.56724741E+01,-0.00000000E+00,+1.56724741E+01,-0.00000000E+00,+3.51981020E-01,-0.00000000E+00,+3.51981020E-01,-0.00000000E+00
+1.20000000E+00,+0.00000000E+00,+1.22101278E+01,-0.00000000E+00,+1.22101278E+01,-0.00000000E+00,+3.41115989E-01,-0.00000000E+00,+3.41115989E-01,-0.00000000E+00
+1.21000000E+00,+0.00000000E+00,+1.00648112E+01,-0.00000000E+00,+1.00648112E+01,-0.00000000E+00,+3.30727239E-01,-0.00000000E+00,+3.30727239E-01,-0.00000000E+00
+1.22000000E+00,+0.00000000E+00,+8.60366468E+00,-0.00000000E+00,+8.60366468E+00,-0.00000000E+00,+3.20777620E-01,-0.00000000E+00,+3.20777620E-01,-0.00000000E+00
+1.23000000E+00,+0.00000000E+00,+7.54341470E+00,-0.00000000E+00,+7.54341470E+00,-0.00000000E+00,+3.11234354E-01,-0.00000000E+00,+3.11234354E-01,-0.00000000E+00
+1.24000000E+00,+0.00000000E+00,+6.73826930E+00,-0.00000000E+00,+6.73826930E+00,-0.00000000E+00,+3.02068361E-01,-0.00000000E+00,+3.02068361E-01,-0.00000000E+00
+1.25000000E+00,+0.00000000E+00,+6.10553151E+00,-0.00000000E+00,+6.10553151E+00,-0.00000000E+00,+2.93253712E-01,-0.00000000E+00,+2.93253712E-01,-0.00000000E+00
+1.26000000E+00,+0.00000000E+00,+5.59479523E+00,-0.00000000E+00,+5.59479523E+00,-0.00000000E+00,+2.84767173E-01,-0.00000000E+00,+2.84767173E-01,-0.00000000E+00
+1.27000000E+00,+0.00000000E+00,+5.17358308E+00,-0.00000000E+00,+5.17358308E+00,-0.00000000E+00,+2.76587837E-01,-0.00000000E+00,+2.76587837E-01,-0.00000000E+00
+1.28000000E+00,+0.00000000E+00,+4.82002404E+00,-0.00000000E+00,+4.82002404E+00,-0.00000000E+00,+2.68696819E-01,-0.00000000E+00,+2.68696819E-01,-0.00000000E+00
+1.29000000E+00,+0.00000000E+00,+4.51884892E+00,-0.00000000E+00,+4.51884892E+00,-0.00000000E+00,+2.61076990E-01,-0.00000000E+00,+2.61076990E-01,-0.00000000E+00
+1.30000000E+00,+0.00000000E+00,+4.25907306E+00,-0.00000000E+00,+4.25907306E+00,-0.00000000E+00,+2.53712768E-01,-0.00000000E+00,+2.53712768E-01,-0.00000000E+00
+1.31000000E+00,+0.00000000E+00,+4.03259111E+00,-0.00000000E+00,+4.03259111E+00,-0.00000000E+00,+2.46589925E-01,-0.00000000E+00,+2.46589925E-01,-0.00000000E+00
+1.32000000E+00,+0.00000000E+00,+3.83329099E+00,-0.00000000E+00,+3.83329099E+00,-0.00000000E+00,+2.39695437E-01,-0.00000000E+00,+2.39695437E-01,-0.00000000E+00
+1.33000000E+00,+0.00000000E+00,+3.65647612E+00,-0.00000000E+00,+3.65647612E+00,-0.00000000E+00,+2.33017344E-01,-0.00000000E+00,+2.33017344E-01,-0.00000000E+00
+1.34000000E+00,+0.00000000E+00,+3.49847764E+00,-0.00000000E+00,+3.49847764E+00,-0.00000000E+00,+2.26544636E-01,-0.00000000E+00,+2.26544636E-01,-0.00000000E+00
+1.35000000E+00,+0.00000000E+00,+3.35638757E+00,-0.00000000E+00,+3.35638757E+00,-0.00000000E+00,+2.20267150E-01,-0.00000000E+00,+2.20267150E-01,-0.00000000E+00
+1.36000000E+00,+0.00000000E+00,+3.22787098E+00,-0.00000000E+00,+3.22787098E+00,-0.00000000E+00,+2.14175488E-01,-0.00000000E+00,+2.14175488E-01,-0.00000000E+00
