              s1;              s2;   Re(z_ibc3.tm);   Im(z_ibc3.tm);  Abs(z_ibc3.tm);  Arg(z_ibc3.tm);   Re(z_ibc3.te);   Im(z_ibc3.te);  Abs(z_ibc3.te);  Arg(z_ibc3.te); 
  +4.00000000E-01; +0.00000000E+00; -1.06917942E-18; +3.44387015E-03; +3.44387015E-03; +1.57079633E+00; -1.57332627E-17; -1.00778184E-02; +1.00778184E-02; -1.57079633E+00; 
  +4.10000000E-01; +0.00000000E+00; -2.91577219E-19; +4.23046030E-03; +4.23046030E-03; +1.57079633E+00; -1.60194198E-17; -1.00562711E-02; +1.00562711E-02; -1.57079633E+00; 
  +4.20000000E-01; +0.00000000E+00; +5.38712428E-19; +5.04641831E-03; +5.04641831E-03; +1.57079633E+00; -1.63237414E-17; -1.00345410E-02; +1.00345410E-02; -1.57079633E+00; 
  +4.30000000E-01; +0.00000000E+00; +1.42607348E-18; +5.89288839E-03; +5.89288839E-03; +1.57079633E+00; -1.66476493E-17; -1.00126669E-02; +1.00126669E-02; -1.57079633E+00; 
  +4.40000000E-01; +0.00000000E+00; +2.37537270E-18; +6.77111646E-03; +6.77111646E-03; +1.57079633E+00; -1.69927168E-17; -9.99069049E-03; +9.99069049E-03; -1.57079633E+00; 
  +4.50000000E-01; +0.00000000E+00; +3.39202405E-18; +7.68246132E-03; +7.68246132E-03; +1.57079633E+00; -1.73606892E-17; -9.96865737E-03; +9.96865737E-03; -1.57079633E+00; 
  +4.60000000E-01; +0.00000000E+00; +4.48206336E-18; +8.62840719E-03; +8.62840719E-03; +1.57079633E+00; -1.77535059E-17; -9.94661698E-03; +9.94661698E-03; -1.57079633E+00; 
  +4.70000000E-01; +0.00000000E+00; +5.65223531E-18; +9.61057812E-03; +9.61057812E-03; +1.57079633E+00; -1.81733277E-17; -9.92462316E-03; +9.92462316E-03; -1.57079633E+00; 
  +4.80000000E-01; +0.00000000E+00; +6.91009485E-18; +1.06307543E-02; +1.06307543E-02; +1.57079633E+00; -1.86225673E-17; -9.90273467E-03; +9.90273467E-03; -1.57079633E+00; 
  +4.90000000E-01; +0.00000000E+00; +8.26412605E-18; +1.16908910E-02; +1.16908910E-02; +1.57079633E+00; -1.91039257E-17; -9.88101576E-03; +9.88101576E-03; -1.57079633E+00; 
  +5.00000000E-01; +0.00000000E+00; +9.72388189E-18; +1.27931397E-02; +1.27931397E-02; +1.57079633E+00; -1.96204346E-17; -9.85953677E-03; +9.85953677E-03; -1.57079633E+00; 
  +5.10000000E-01; +0.00000000E+00; +1.13001492E-17; +1.39398735E-02; +1.39398735E-02; +1.57079633E+00; -2.01755062E-17; -9.83837495E-03; +9.83837495E-03; -1.57079633E+00; 
  +5.20000000E-01; +0.00000000E+00; +1.30051441E-17; +1.51337151E-02; +1.51337151E-02; +1.57079633E+00; -2.07729926E-17; -9.81761524E-03; +9.81761524E-03; -1.57079633E+00; 
  +5.30000000E-01; +0.00000000E+00; +1.48527446E-17; +1.63775706E-02; +1.63775706E-02; +1.57079633E+00; -2.14172560E-17; -9.79735132E-03; +9.79735132E-03; -1.57079633E+00; 
  +5.40000000E-01; +0.00000000E+00; +1.68587688E-17; +1.76746682E-02; +1.76746682E-02; +1.57079633E+00; -2.21132519E-17; -9.77768674E-03; +9.77768674E-03; -1.57079633E+00; 
  +5.50000000E-01; +0.00000000E+00; +1.90413085E-17; +1.90286030E-02; +1.90286030E-02; +1.57079633E+00; -2.28666301E-17; -9.75873628E-03; +9.75873628E-03; -1.57079633E+00; 
  +5.60000000E-01; +0.00000000E+00; +2.14211323E-17; +2.04433907E-02; +2.04433907E-02; +1.57079633E+00; -2.36838546E-17; -9.74062746E-03; +9.74062746E-03; -1.57079633E+00; 
  +5.70000000E-01; +0.00000000E+00; +2.40221745E-17; +2.19235300E-02; +2.19235300E-02; +1.57079633E+00; -2.45723504E-17; -9.72350244E-03; +9.72350244E-03; -1.57079633E+00; 
  +5.80000000E-01; +0.00000000E+00; +2.68721313E-17; +2.34740767E-02; +2.34740767E-02; +1.57079633E+00; -2.55406810E-17; -9.70752013E-03; +9.70752013E-03; -1.57079633E+00; 
  +5.90000000E-01; +0.00000000E+00; +3.00031923E-17; +2.51007325E-02; +2.51007325E-02; +1.57079633E+00; -2.65987660E-17; -9.69285879E-03; +9.69285879E-03; -1.57079633E+00; 
  +6.00000000E-01; +0.00000000E+00; +3.34529437E-17; +2.68099502E-02; +2.68099502E-02; +1.57079633E+00; -2.77581493E-17; -9.67971903E-03; +9.67971903E-03; -1.57079633E+00; 
  +6.10000000E-01; +0.00000000E+00; +3.72654906E-17; +2.86090615E-02; +2.86090615E-02; +1.57079633E+00; -2.90323312E-17; -9.66832748E-03; +9.66832748E-03; -1.57079633E+00; 
  +6.20000000E-01; +0.00000000E+00; +4.14928608E-17; +3.05064305E-02; +3.05064305E-02; +1.57079633E+00; -3.04371834E-17; -9.65894112E-03; +9.65894112E-03; -1.57079633E+00; 
  +6.30000000E-01; +0.00000000E+00; +4.61967759E-17; +3.25116415E-02; +3.25116415E-02; +1.57079633E+00; -3.19914709E-17; -9.65185257E-03; +9.65185257E-03; -1.57079633E+00; 
  +6.40000000E-01; +0.00000000E+00; +5.14509001E-17; +3.46357290E-02; +3.46357290E-02; +1.57079633E+00; -3.37175130E-17; -9.64739652E-03; +9.64739652E-03; -1.57079633E+00; 
  +6.50000000E-01; +0.00000000E+00; +5.73437237E-17; +3.68914618E-02; +3.68914618E-02; +1.57079633E+00; -3.56420290E-17; -9.64595754E-03; +9.64595754E-03; -1.57079633E+00; 
  +6.60000000E-01; +0.00000000E+00; +6.39822919E-17; +3.92936966E-02; +3.92936966E-02; +1.57079633E+00; -3.77972299E-17; -9.64797978E-03; +9.64797978E-03; -1.57079633E+00; 
  +6.70000000E-01; +0.00000000E+00; +7.14970760E-17; +4.18598217E-02; +4.18598217E-02; +1.57079633E+00; -4.02222395E-17; -9.65397893E-03; +9.65397893E-03; -1.57079633E+00; 
  +6.80000000E-01; +0.00000000E+00; +8.00484035E-17; +4.46103192E-02; +4.46103192E-02; +1.57079633E+00; -4.29649678E-17; -9.66455725E-03; +9.66455725E-03; -1.57079633E+00; 
  +6.90000000E-01; +0.00000000E+00; +8.98350470E-17; +4.75694835E-02; +4.75694835E-02; +1.57079633E+00; -4.60846056E-17; -9.68042250E-03; +9.68042250E-03; -1.57079633E+00; 
  +7.00000000E-01; +0.00000000E+00; +1.01105839E-16; +5.07663504E-02; +5.07663504E-02; +1.57079633E+00; -4.96549906E-17; -9.70241202E-03; +9.70241202E-03; -1.57079633E+00; 
  +7.10000000E-01; +0.00000000E+00; +1.14175596E-16; +5.42359111E-02; +5.42359111E-02; +1.57079633E+00; -5.37692118E-17; -9.73152373E-03; +9.73152373E-03; -1.57079633E+00; 
  +7.20000000E-01; +0.00000000E+00; +1.29447286E-16; +5.80207195E-02; +5.80207195E-02; +1.57079633E+00; -5.85460011E-17; -9.76895637E-03; +9.76895637E-03; -1.57079633E+00; 
  +7.30000000E-01; +0.00000000E+00; +1.47443386E-16; +6.21730509E-02; +6.21730509E-02; +1.57079633E+00; -6.41387566E-17; -9.81616236E-03; +9.81616236E-03; -1.57079633E+00; 
  +7.40000000E-01; +0.00000000E+00; +1.68851081E-16; +6.67578423E-02; +6.67578423E-02; +1.57079633E+00; -7.07485123E-17; -9.87491822E-03; +9.87491822E-03; -1.57079633E+00; 
  +7.50000000E-01; +0.00000000E+00; +1.94588733E-16; +7.18567711E-02; +7.18567711E-02; +1.57079633E+00; -7.86429671E-17; -9.94741932E-03; +9.94741932E-03; -1.57079633E+00; 
  +7.60000000E-01; +0.00000000E+00; +2.25905885E-16; +7.75740167E-02; +7.75740167E-02; +1.57079633E+00; -8.81850414E-17; -1.00364097E-02; +1.00364097E-02; -1.57079633E+00; 
  +7.70000000E-01; +0.00000000E+00; +2.64537628E-16; +8.40445785E-02; +8.40445785E-02; +1.57079633E+00; -9.98768482E-17; -1.01453620E-02; +1.01453620E-02; -1.57079633E+00; 
  +7.80000000E-01; +0.00000000E+00; +3.12949931E-16; +9.14465762E-02; +9.14465762E-02; +1.57079633E+00; -1.14429397E-16; -1.02787322E-02; +1.02787322E-02; -1.57079633E+00; 
  +7.90000000E-01; +0.00000000E+00; +3.74742767E-16; +1.00019951E-01; +1.00019951E-01; +1.57079633E+00; -1.32876838E-16; -1.04423245E-02; +1.04423245E-02; -1.57079633E+00; 
  +8.00000000E-01; +0.00000000E+00; +4.55338659E-16; +1.10095821E-01; +1.10095821E-01; +1.57079633E+00; -1.56771096E-16; -1.06438255E-02; +1.06438255E-02; -1.57079633E+00; 
  +8.10000000E-01; +0.00000000E+00; +5.63213317E-16; +1.22144305E-01; +1.22144305E-01; +1.57079633E+00; -1.88528828E-16; -1.08935975E-02; +1.08935975E-02; -1.57079633E+00; 
  +8.20000000E-01; +0.00000000E+00; +7.12217232E-16; +1.36855973E-01; +1.36855973E-01; +1.57079633E+00; -2.32084231E-16; -1.12058685E-02; +1.12058685E-02; -1.57079633E+00; 
  +8.30000000E-01; +0.00000000E+00; +9.26251617E-16; +1.55288102E-01; +1.55288102E-01; +1.57079633E+00; -2.94200320E-16; -1.16005128E-02; +1.16005128E-02; -1.57079633E+00; 
  +8.40000000E-01; +0.00000000E+00; +1.24948245E-15; +1.79145076E-01; +1.79145076E-01; +1.57079633E+00; -3.87325372E-16; -1.21055785E-02; +1.21055785E-02; -1.57079633E+00; 
  +8.50000000E-01; +0.00000000E+00; +1.77108656E-15; +2.11362077E-01; +2.11362077E-01; +1.57079633E+00; -5.36493597E-16; -1.27600891E-02; +1.27600891E-02; -1.57079633E+00; 
  +8.60000000E-01; +0.00000000E+00; +2.69404217E-15; +2.57457891E-01; +2.57457891E-01; +1.57079633E+00; -7.98450500E-16; -1.36124573E-02; +1.36124573E-02; -1.57079633E+00; 
  +8.70000000E-01; +0.00000000E+00; +4.56710677E-15; +3.29165583E-01; +3.29165583E-01; +1.57079633E+00; -1.32593917E-15; -1.46828076E-02; +1.46828076E-02; -1.57079633E+00; 
  +8.80000000E-01; +0.00000000E+00; +9.33778241E-15; +4.56503375E-01; +4.56503375E-01; +1.57079633E+00; -2.65841887E-15; -1.56391497E-02; +1.56391497E-02; -1.57079633E+00; 
  +8.90000000E-01; +0.00000000E+00; +2.85888424E-14; +7.44418094E-01; +7.44418094E-01; +1.57079633E+00; -7.98488258E-15; -1.19602779E-02; +1.19602779E-02; -1.57079633E+00; 
  +9.00000000E-01; +0.00000000E+00; +4.51283610E-13; +1.61155394E+00; +1.61155394E+00; +1.57079633E+00; -1.22727276E-13; +2.53418843E-01; +2.53418843E-01; +1.57079633E+00; 
  +9.10000000E-01; +0.00000000E+00; +1.16135091E-13; -2.15403044E+00; +2.15403044E+00; -1.57079633E+00; -3.17782834E-14; +1.51937698E-01; +1.51937698E-01; +1.57079633E+00; 
  +9.20000000E-01; +0.00000000E+00; +1.84579319E-14; -7.41691132E-01; +7.41691132E-01; -1.57079633E+00; -4.96196161E-15; +3.30075851E-02; +3.30075851E-02; +1.57079633E+00; 
  +9.30000000E-01; +0.00000000E+00; +7.18711249E-15; -4.40846715E-01; +4.40846715E-01; -1.57079633E+00; -1.90698583E-15; +1.46143814E-02; +1.46143814E-02; +1.57079633E+00; 
  +9.40000000E-01; +0.00000000E+00; +3.78893240E-15; -3.10547664E-01; +3.10547664E-01; -1.57079633E+00; -9.94310875E-16; +7.76822765E-03; +7.76822765E-03; +1.57079633E+00; 
  +9.50000000E-01; +0.00000000E+00; +2.32994259E-15; -2.37649844E-01; +2.37649844E-01; -1.57079633E+00; -6.05763712E-16; +4.30113939E-03; +4.30113939E-03; +1.57079633E+00; 
  +9.60000000E-01; +0.00000000E+00; +1.57276480E-15; -1.90914343E-01; +1.90914343E-01; -1.57079633E+00; -4.05771059E-16; +2.24485777E-03; +2.24485777E-03; +1.57079633E+00; 
  +9.70000000E-01; +0.00000000E+00; +1.13003314E-15; -1.58277224E-01; +1.58277224E-01; -1.57079633E+00; -2.89780968E-16; +9.03876105E-04; +9.03876105E-04; +1.57079633E+00; 
  +9.80000000E-01; +0.00000000E+00; +8.48974435E-16; -1.34099071E-01; +1.34099071E-01; -1.57079633E+00; -2.16742056E-16; -2.67486392E-05; +2.67486392E-05; -1.57079633E+00; 
  +9.90000000E-01; +0.00000000E+00; +6.59473154E-16; -1.15391982E-01; +1.15391982E-01; -1.57079633E+00; -1.67894140E-16; -7.00871373E-04; +7.00871373E-04; -1.57079633E+00; 
  +1.00000000E+00; +0.00000000E+00; +5.25680754E-16; -1.00425497E-01; +1.00425497E-01; -1.57079633E+00; -1.33685606E-16; -1.20421131E-03; +1.20421131E-03; -1.57079633E+00; 
  +1.01000000E+00; +0.00000000E+00; +4.27719901E-16; -8.81282198E-02; +8.81282198E-02; -1.57079633E+00; -1.08842093E-16; -1.58819256E-03; +1.58819256E-03; -1.57079633E+00; 
  +1.02000000E+00; +0.00000000E+00; +3.53848551E-16; -7.78013894E-02; +7.78013894E-02; -1.57079633E+00; -9.02606444E-17; -1.88548588E-03; +1.88548588E-03; -1.57079633E+00; 
  +1.03000000E+00; +0.00000000E+00; +2.96768416E-16; -6.89698639E-02; +6.89698639E-02; -1.57079633E+00; -7.60204622E-17; -2.11782004E-03; +2.11782004E-03; -1.57079633E+00; 
  +1.04000000E+00; +0.00000000E+00; +2.51749606E-16; -6.12993080E-02; +6.12993080E-02; -1.57079633E+00; -6.48817632E-17; -2.30019739E-03; +2.30019739E-03; -1.57079633E+00; 
  +1.05000000E+00; +0.00000000E+00; +2.15617642E-16; -5.45476402E-02; +5.45476402E-02; -1.57079633E+00; -5.60158391E-17; -2.44330384E-03; +2.44330384E-03; -1.57079633E+00; 
  +1.06000000E+00; +0.00000000E+00; +1.86177713E-16; -4.85352721E-02; +4.85352721E-02; -1.57079633E+00; -4.88520498E-17; -2.55495396E-03; +2.55495396E-03; -1.57079633E+00; 
  +1.07000000E+00; +0.00000000E+00; +1.61873049E-16; -4.31261699E-02; +4.31261699E-02; -1.57079633E+00; -4.29872858E-17; -2.64099294E-03; +2.64099294E-03; -1.57079633E+00; 
  +1.08000000E+00; +0.00000000E+00; +1.41574621E-16; -3.82154081E-02; +3.82154081E-02; -1.57079633E+00; -3.81303849E-17; -2.70587928E-03; +2.70587928E-03; -1.57079633E+00; 
  +1.09000000E+00; +0.00000000E+00; +1.24447480E-16; -3.37207604E-02; +3.37207604E-02; -1.57079633E+00; -3.40669008E-17; -2.75307244E-03; +2.75307244E-03; -1.57079633E+00; 
  +1.10000000E+00; +0.00000000E+00; +1.09863403E-16; -2.95768787E-02; +2.95768787E-02; -1.57079633E+00; -3.06361408E-17; -2.78529754E-03; +2.78529754E-03; -1.57079633E+00; 
  +1.11000000E+00; +0.00000000E+00; +9.73423788E-17; -2.57311756E-02; +2.57311756E-02; -1.57079633E+00; -2.77158258E-17; -2.80473026E-03; +2.80473026E-03; -1.57079633E+00; 
  +1.12000000E+00; +0.00000000E+00; +8.65125459E-17; -2.21408556E-02; +2.21408556E-02; -1.57079633E+00; -2.52116147E-17; -2.81312861E-03; +2.81312861E-03; -1.57079633E+00; 
  +1.13000000E+00; +0.00000000E+00; +7.70822139E-17; -1.87707394E-02; +1.87707394E-02; -1.57079633E+00; -2.30498108E-17; -2.81192858E-03; +2.81192858E-03; -1.57079633E+00; 
  +1.14000000E+00; +0.00000000E+00; +6.88199820E-17; -1.55916425E-02; +1.55916425E-02; -1.57079633E+00; -2.11721907E-17; -2.80231467E-03; +2.80231467E-03; -1.57079633E+00; 
  +1.15000000E+00; +0.00000000E+00; +6.15403806E-17; -1.25791518E-02; +1.25791518E-02; -1.57079633E+00; -1.95322810E-17; -2.78527269E-03; +2.78527269E-03; -1.57079633E+00; 
  +1.16000000E+00; +0.00000000E+00; +5.50933486E-17; -9.71268956E-03; +9.71268956E-03; -1.57079633E+00; -1.80926370E-17; -2.76162982E-03; +2.76162982E-03; -1.57079633E+00; 
  +1.17000000E+00; +0.00000000E+00; +4.93564208E-17; -6.97478991E-03; +6.97478991E-03; -1.57079633E+00; -1.68228271E-17; -2.73208532E-03; +2.73208532E-03; -1.57079633E+00; 
  +1.18000000E+00; +0.00000000E+00; +4.42288539E-17; -4.35053258E-03; +4.35053258E-03; -1.57079633E+00; -1.56979220E-17; -2.69723445E-03; +2.69723445E-03; -1.57079633E+00; 
  +1.19000000E+00; +0.00000000E+00; +3.96271618E-17; -1.82709639E-03; +1.82709639E-03; -1.57079633E+00; -1.46973496E-17; -2.65758715E-03; +2.65758715E-03; -1.57079633E+00; 
  +1.20000000E+00; +0.00000000E+00; +3.54816856E-17; +6.06596647E-04; +6.06596647E-04; +1.57079633E+00; -1.38040171E-17; -2.61358287E-03; +2.61358287E-03; -1.57079633E+00; 
  +1.21000000E+00; +0.00000000E+00; +3.17339338E-17; +2.96016717E-03; +2.96016717E-03; +1.57079633E+00; -1.30036326E-17; -2.56560244E-03; +2.56560244E-03; -1.57079633E+00; 
  +1.22000000E+00; +0.00000000E+00; +2.83345004E-17; +5.24200982E-03; +5.24200982E-03; +1.57079633E+00; -1.22841753E-17; -2.51397757E-03; +2.51397757E-03; -1.57079633E+00; 
  +1.23000000E+00; +0.00000000E+00; +2.52414225E-17; +7.45948195E-03; +7.45948195E-03; +1.57079633E+00; -1.16354788E-17; -2.45899857E-03; +2.45899857E-03; -1.57079633E+00; 
  +1.24000000E+00; +0.00000000E+00; +2.24188740E-17; +9.61905839E-03; +9.61905839E-03; +1.57079633E+00; -1.10489006E-17; -2.40092071E-03; +2.40092071E-03; -1.57079633E+00; 
  +1.25000000E+00; +0.00000000E+00; +1.98361193E-17; +1.17264595E-02; +1.17264595E-02; +1.57079633E+00; -1.05170578E-17; -2.33996939E-03; +2.33996939E-03; -1.57079633E+00; 
  +1.26000000E+00; +0.00000000E+00; +1.74666690E-17; +1.37867572E-02; +1.37867572E-02; +1.57079633E+00; -1.00336151E-17; -2.27634445E-03; +2.27634445E-03; -1.57079633E+00; 
