s1,s2,Re(r_ibc1_2.tm),Im(r_ibc1_2.tm),Abs(r_ibc1_2.tm),Arg(r_ibc1_2.tm),Re(r_ibc1_2.te),Im(r_ibc1_2.te),Abs(r_ibc1_2.te),Arg(r_ibc1_2.te)
+7.00000000E-01,+0.00000000E+00,+9.57925953E-01,+5.20527069E-01,+1.09021583E+00,+4.97753941E-01,+9.63735694E-01,+2.94596818E-01,+1.00775680E+00,+2.96661607E-01
+7.10000000E-01,+0.00000000E+00,+9.59611222E-01,+5.26284605E-01,+1.09445383E+00,+5.01641062E-01,+9.65343654E-01,+2.90309153E-01,+1.00805147E+00,+2.92127673E-01
+7.20000000E-01,+0.00000000E+00,+9.61551430E-01,+5.32354522E-01,+1.09908257E+00,+5.05634487E-01,+9.66985708E-01,+2.85881972E-01,+1.00835999E+00,+2.87454214E-01
+7.30000000E-01,+0.00000000E+00,+9.63789129E-01,+5.38764895E-01,+1.10415447E+00,+5.09732085E-01,+9.68662934E-01,+2.81308168E-01,+1.00868338E+00,+2.82634399E-01
+7.40000000E-01,+0.00000000E+00,+9.66375539E-01,+5.45547816E-01,+1.10973154E+00,+5.13930069E-01,+9.70376532E-01,+2.76579954E-01,+1.00902284E+00,+2.77660738E-01
+7.50000000E-01,+0.00000000E+00,+9.69372723E-01,+5.52740191E-01,+1.11588763E+00,+5.18222479E-01,+9.72127832E-01,+2.71688763E-01,+1.00937966E+00,+2.72524989E-01
+7.60000000E-01,+0.00000000E+00,+9.72856421E-01,+5.60384758E-01,+1.12271131E+00,+5.22600501E-01,+9.73918319E-01,+2.66625136E-01,+1.00975534E+00,+2.67218049E-01
+7.70000000E-01,+0.00000000E+00,+9.76919798E-01,+5.68531377E-01,+1.13030979E+00,+5.27051567E-01,+9.75749660E-01,+2.61378586E-01,+1.01015156E+00,+2.61729825E-01
+7.80000000E-01,+0.00000000E+00,+9.81678438E-01,+5.77238698E-01,+1.13881389E+00,+5.31558157E-01,+9.77623735E-01,+2.55937438E-01,+1.01057021E+00,+2.56049078E-01
+7.90000000E-01,+0.00000000E+00,+9.87277112E-01,+5.86576342E-01,+1.14838491E+00,+5.36096180E-01,+9.79542670E-01,+2.50288632E-01,+1.01101347E+00,+2.50163232E-01
+8.00000000E-01,+0.00000000E+00,+9.93899060E-01,+5.96627782E-01,+1.15922390E+00,+5.40632793E-01,+9.81508890E-01,+2.44417480E-01,+1.01148386E+00,+2.44058147E-01
+8.10000000E-01,+0.00000000E+00,+1.00177895E+00,+6.07494224E-01,+1.17158452E+00,+5.45123390E-01,+9.83525171E-01,+2.38307375E-01,+1.01198427E+00,+2.37717835E-01
+8.20000000E-01,+0.00000000E+00,+1.01122126E+00,+6.19299911E-01,+1.18579122E+00,+5.49507435E-01,+9.85594717E-01,+2.31939417E-01,+1.01251807E+00,+2.31124102E-01
+8.30000000E-01,+0.00000000E+00,+1.02262700E+00,+6.32199488E-01,+1.20226543E+00,+5.53702597E-01,+9.87721246E-01,+2.25291954E-01,+1.01308920E+00,+2.24256112E-01
+8.40000000E-01,+0.00000000E+00,+1.03653321E+00,+6.46388466E-01,+1.22156422E+00,+5.57596358E-01,+9.89909106E-01,+2.18339988E-01,+1.01370232E+00,+2.17089818E-01
+8.50000000E-01,+0.00000000E+00,+1.05367319E+00,+6.62118370E-01,+1.24443880E+00,+5.61033812E-01,+9.92163426E-01,+2.11054418E-01,+1.01436297E+00,+2.09597242E-01
+8.60000000E-01,+0.00000000E+00,+1.07507100E+00,+6.79719227E-01,+1.27192605E+00,+5.63799532E-01,+9.94490299E-01,+2.03401041E-01,+1.01507780E+00,+2.01745522E-01
+8.70000000E-01,+0.00000000E+00,+1.10219484E+00,+6.99633810E-01,+1.30549643E+00,+5.65589958E-01,+9.96897041E-01,+1.95339231E-01,+1.01585487E+00,+1.93495662E-01
+8.80000000E-01,+0.00000000E+00,+1.13721699E+00,+7.22471230E-01,+1.34730366E+00,+5.65970087E-01,+9.99392515E-01,+1.86820151E-01,+1.01670407E+00,+1.84800837E-01
+8.90000000E-01,+0.00000000E+00,+1.18347619E+00,+7.49093286E-01,+1.40062723E+00,+5.64303011E-01,+1.00198757E+00,+1.77784287E-01,+1.01763763E+00,+1.75604062E-01
+9.00000000E-01,+0.00000000E+00,+1.24635214E+00,+7.80757272E-01,+1.47070581E+00,+5.59629794E-01,+1.00469563E+00,+1.68157963E-01,+1.01867091E+00,+1.65834913E-01
+9.10000000E-01,+0.00000000E+00,+1.33504955E+00,+8.19355529E-01,+1.56642931E+00,+5.50451557E-01,+1.00753349E+00,+1.57848308E-01,+1.01982343E+00,+1.55404804E-01
+9.20000000E-01,+0.00000000E+00,+1.46661294E+00,+8.67803309E-01,+1.70412327E+00,+5.34298463E-01,+1.01052233E+00,+1.46735750E-01,+1.02112034E+00,+1.44199962E-01
+9.30000000E-01,+0.00000000E+00,+1.67623268E+00,+9.30501593E-01,+1.91718262E+00,+5.06761649E-01,+1.01368899E+00,+1.34662460E-01,+1.02259442E+00,+1.32070676E-01
+9.40000000E-01,+0.00000000E+00,+2.04914613E+00,+1.01230340E+00,+2.28555420E+00,+4.58845987E-01,+1.01706731E+00,+1.21413880E-01,+1.02428865E+00,+1.18814178E-01
+9.50000000E-01,+0.00000000E+00,+2.85253905E+00,+1.09641009E+00,+3.05599315E+00,+3.66953841E-01,+1.02069819E+00,+1.06687946E-01,+1.02625880E+00,+1.04146298E-01
+9.60000000E-01,+0.00000000E+00,+5.42749061E+00,+6.71604648E-01,+5.46888537E+00,+1.23115450E-01,+1.02462369E+00,+9.00416303E-02,+1.02857241E+00,+8.76525864E-02
+9.70000000E-01,+0.00000000E+00,-2.65687449E-01,-1.18389508E+01,+1.18419317E+01,-1.59323437E+00,+1.02885302E+00,+7.07959409E-02,+1.03128589E+00,+6.87022530E-02
+9.80000000E-01,+0.00000000E+00,-2.62267085E+00,-1.68390933E+00,+3.11672152E+00,-2.57082015E+00,+1.03318464E+00,+4.78833458E-02,+1.03429363E+00,+4.63122518E-02
+9.90000000E-01,+0.00000000E+00,-1.49817404E+00,-4.30821127E-01,+1.55888816E+00,-2.86158359E+00,+1.03599989E+00,+1.99205478E-02,+1.03619140E+00,+1.92259607E-02
+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00,+1.00000000E+00,+0.00000000E+00
