s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+6.60000000E-01,+0.00000000E+00,+8.99630018E-01,-2.32195247E-01,+9.29111835E-01,-2.52588315E-01,+9.46490472E-01,-3.08257131E-01,+9.95422861E-01,-3.14850742E-01
+6.70000000E-01,+0.00000000E+00,+8.99603655E-01,-2.27445606E-01,+9.27910685E-01,-2.47639175E-01,+9.47685276E-01,-3.04739241E-01,+9.95476463E-01,-3.11118893E-01
+6.80000000E-01,+0.00000000E+00,+8.99605760E-01,-2.22650408E-01,+9.26749010E-01,-2.42622228E-01,+9.48899288E-01,-3.01119954E-01,+9.95531559E-01,-3.07284581E-01
+6.90000000E-01,+0.00000000E+00,+8.99639396E-01,-2.17810112E-01,+9.25630752E-01,-2.37537445E-01,+9.50132590E-01,-2.97395258E-01,+9.95588207E-01,-3.03343921E-01
+7.00000000E-01,+0.00000000E+00,+8.99707887E-01,-2.12925087E-01,+9.24560098E-01,-2.32384732E-01,+9.51385271E-01,-2.93560822E-01,+9.95646468E-01,-2.99292713E-01
+7.10000000E-01,+0.00000000E+00,+8.99814840E-01,-2.07995596E-01,+9.23541506E-01,-2.27163917E-01,+9.52657426E-01,-2.89611956E-01,+9.95706411E-01,-2.95126405E-01
+7.20000000E-01,+0.00000000E+00,+8.99964174E-01,-2.03021778E-01,+9.22579730E-01,-2.21874736E-01,+9.53949157E-01,-2.85543571E-01,+9.95768108E-01,-2.90840049E-01
+7.30000000E-01,+0.00000000E+00,+9.00160160E-01,-1.98003633E-01,+9.21679853E-01,-2.16516819E-01,+9.55260570E-01,-2.81350130E-01,+9.95831639E-01,-2.86428257E-01
+7.40000000E-01,+0.00000000E+00,+9.00407452E-01,-1.92940997E-01,+9.20847331E-01,-2.11089663E-01,+9.56591782E-01,-2.77025586E-01,+9.95897090E-01,-2.81885139E-01
+7.50000000E-01,+0.00000000E+00,+9.00711141E-01,-1.87833515E-01,+9.20088033E-01,-2.05592615E-01,+9.57942919E-01,-2.72563320E-01,+9.95964557E-01,-2.77204238E-01
+7.60000000E-01,+0.00000000E+00,+9.01076803E-01,-1.82680610E-01,+9.19408293E-01,-2.00024837E-01,+9.59314114E-01,-2.67956057E-01,+9.96034145E-01,-2.72378452E-01
+7.70000000E-01,+0.00000000E+00,+9.01510566E-01,-1.77481446E-01,+9.18814978E-01,-1.94385274E-01,+9.60705515E-01,-2.63195772E-01,+9.96105969E-01,-2.67399935E-01
+7.80000000E-01,+0.00000000E+00,+9.02019183E-01,-1.72234882E-01,+9.18315556E-01,-1.88672610E-01,+9.62117283E-01,-2.58273578E-01,+9.96180158E-01,-2.62259991E-01
+7.90000000E-01,+0.00000000E+00,+9.02610123E-01,-1.66939413E-01,+9.17918189E-01,-1.82885210E-01,+9.63549592E-01,-2.53179589E-01,+9.96256854E-01,-2.56948931E-01
+8.00000000E-01,+0.00000000E+00,+9.03291679E-01,-1.61593108E-01,+9.17631838E-01,-1.77021062E-01,+9.65002635E-01,-2.47902748E-01,+9.96336217E-01,-2.51455914E-01
+8.10000000E-01,+0.00000000E+00,+9.04073099E-01,-1.56193519E-01,+9.17466394E-01,-1.71077688E-01,+9.66476627E-01,-2.42430633E-01,+9.96418427E-01,-2.45768741E-01
+8.20000000E-01,+0.00000000E+00,+9.04964750E-01,-1.50737579E-01,+9.17432840E-01,-1.65052043E-01,+9.67971806E-01,-2.36749194E-01,+9.96503687E-01,-2.39873600E-01
+8.30000000E-01,+0.00000000E+00,+9.05978315E-01,-1.45221465E-01,+9.17543449E-01,-1.58940379E-01,+9.69488440E-01,-2.30842443E-01,+9.96592228E-01,-2.33754760E-01
+8.40000000E-01,+0.00000000E+00,+9.07127050E-01,-1.39640425E-01,+9.17812036E-01,-1.52738082E-01,+9.71026832E-01,-2.24692049E-01,+9.96684316E-01,-2.27394161E-01
+8.50000000E-01,+0.00000000E+00,+9.08426105E-01,-1.33988557E-01,+9.18254280E-01,-1.46439442E-01,+9.72587329E-01,-2.18276823E-01,+9.96780259E-01,-2.20770911E-01
+8.60000000E-01,+0.00000000E+00,+9.09892938E-01,-1.28258511E-01,+9.18888135E-01,-1.40037365E-01,+9.74170329E-01,-2.11572047E-01,+9.96880414E-01,-2.13860606E-01
+8.70000000E-01,+0.00000000E+00,+9.11547866E-01,-1.22441091E-01,+9.19734382E-01,-1.33522975E-01,+9.75776296E-01,-2.04548578E-01,+9.96985206E-01,-2.06634451E-01
+8.80000000E-01,+0.00000000E+00,+9.13414798E-01,-1.16524717E-01,+9.20817356E-01,-1.26885072E-01,+9.77405780E-01,-1.97171645E-01,+9.97095139E-01,-1.99058051E-01
+8.90000000E-01,+0.00000000E+00,+9.15522242E-01,-1.10494659E-01,+9.22165953E-01,-1.20109376E-01,+9.79059438E-01,-1.89399176E-01,+9.97210826E-01,-1.91089749E-01
+9.00000000E-01,+0.00000000E+00,+9.17904724E-01,-1.04331952E-01,+9.23815046E-01,-1.13177437E-01,+9.80738070E-01,-1.81179434E-01,+9.97333019E-01,-1.82678271E-01
+9.10000000E-01,+0.00000000E+00,+9.20604843E-01,-9.80117826E-02,+9.25807532E-01,-1.06065018E-01,+9.82442672E-01,-1.72447550E-01,+9.97462662E-01,-1.73759267E-01
+9.20000000E-01,+0.00000000E+00,+9.23676357E-01,-9.15010167E-02,+9.28197418E-01,-9.87396280E-02,+9.84174511E-01,-1.63120278E-01,+9.97600969E-01,-1.64250080E-01
+9.30000000E-01,+0.00000000E+00,+9.27189031E-01,-8.47542405E-02,+9.31054660E-01,-9.11565516E-02,+9.85935249E-01,-1.53087676E-01,+9.97749543E-01,-1.54041451E-01
