s1,s2,Re(r_ibc01_2.tm),Im(r_ibc01_2.tm),Abs(r_ibc01_2.tm),Arg(r_ibc01_2.tm),Re(r_ibc01_2.te),Im(r_ibc01_2.te),Abs(r_ibc01_2.te),Arg(r_ibc01_2.te)
+4.10000000E-01,+0.00000000E+00,+9.79289214E-01,+4.15244032E-01,+1.06368932E+00,+4.01045323E-01,+9.13089627E-01,+3.83753305E-01,+9.90454070E-01,+3.97865979E-01
+4.20000000E-01,+0.00000000E+00,+9.80060077E-01,+4.16711351E-01,+1.06497235E+00,+4.02031229E-01,+9.14866552E-01,+3.81536523E-01,+9.91237069E-01,+3.95109721E-01
+4.30000000E-01,+0.00000000E+00,+9.80853664E-01,+4.18242886E-01,+1.06630250E+00,+4.03061800E-01,+9.16676457E-01,+3.79254154E-01,+9.92032983E-01,+3.92284033E-01
+4.40000000E-01,+0.00000000E+00,+9.81670281E-01,+4.19841550E-01,+1.06768135E+00,+4.04139133E-01,+9.18518515E-01,+3.76905249E-01,+9.92841291E-01,+3.89388604E-01
+4.50000000E-01,+0.00000000E+00,+9.82510236E-01,+4.21510465E-01,+1.06911058E+00,+4.05265467E-01,+9.20391866E-01,+3.74488825E-01,+9.93661445E-01,+3.86423103E-01
+4.60000000E-01,+0.00000000E+00,+9.83373839E-01,+4.23252971E-01,+1.07059198E+00,+4.06443202E-01,+9.22295613E-01,+3.72003865E-01,+9.94492872E-01,+3.83387172E-01
+4.70000000E-01,+0.00000000E+00,+9.84261405E-01,+4.25072653E-01,+1.07212745E+00,+4.07674905E-01,+9.24228820E-01,+3.69449310E-01,+9.95334971E-01,+3.80280430E-01
+4.80000000E-01,+0.00000000E+00,+9.85173249E-01,+4.26973356E-01,+1.07371904E+00,+4.08963330E-01,+9.26190511E-01,+3.66824067E-01,+9.96187111E-01,+3.77102468E-01
+4.90000000E-01,+0.00000000E+00,+9.86109686E-01,+4.28959211E-01,+1.07536892E+00,+4.10311433E-01,+9.28179671E-01,+3.64127000E-01,+9.97048632E-01,+3.73852847E-01
+5.00000000E-01,+0.00000000E+00,+9.87071027E-01,+4.31034662E-01,+1.07707943E+00,+4.11722386E-01,+9.30195240E-01,+3.61356928E-01,+9.97918841E-01,+3.70531097E-01
+5.10000000E-01,+0.00000000E+00,+9.88057576E-01,+4.33204495E-01,+1.07885305E+00,+4.13199604E-01,+9.32236112E-01,+3.58512627E-01,+9.98797012E-01,+3.67136713E-01
+5.20000000E-01,+0.00000000E+00,+9.89069630E-01,+4.35473869E-01,+1.08069247E+00,+4.14746764E-01,+9.34301135E-01,+3.55592824E-01,+9.99682384E-01,+3.63669152E-01
+5.30000000E-01,+0.00000000E+00,+9.90107471E-01,+4.37848353E-01,+1.08260056E+00,+4.16367828E-01,+9.36389110E-01,+3.52596196E-01,+1.00057416E+00,+3.60127831E-01
+5.40000000E-01,+0.00000000E+00,+9.91171364E-01,+4.40333967E-01,+1.08458041E+00,+4.18067077E-01,+9.38498785E-01,+3.49521365E-01,+1.00147149E+00,+3.56512121E-01
+5.50000000E-01,+0.00000000E+00,+9.92261552E-01,+4.42937231E-01,+1.08663535E+00,+4.19849137E-01,+9.40628852E-01,+3.46366896E-01,+1.00237352E+00,+3.52821347E-01
+5.60000000E-01,+0.00000000E+00,+9.93378245E-01,+4.45665212E-01,+1.08876895E+00,+4.21719018E-01,+9.42777951E-01,+3.43131293E-01,+1.00327930E+00,+3.49054780E-01
+5.70000000E-01,+0.00000000E+00,+9.94521617E-01,+4.48525584E-01,+1.09098508E+00,+4.23682153E-01,+9.44944661E-01,+3.39812992E-01,+1.00418787E+00,+3.45211634E-01
+5.80000000E-01,+0.00000000E+00,+9.95691794E-01,+4.51526697E-01,+1.09328793E+00,+4.25744444E-01,+9.47127500E-01,+3.36410362E-01,+1.00509822E+00,+3.41291061E-01
+5.90000000E-01,+0.00000000E+00,+9.96888839E-01,+4.54677649E-01,+1.09568204E+00,+4.27912312E-01,+9.49324918E-01,+3.32921693E-01,+1.00600927E+00,+3.37292142E-01
+6.00000000E-01,+0.00000000E+00,+9.98112745E-01,+4.57988373E-01,+1.09817230E+00,+4.30192760E-01,+9.51535301E-01,+3.29345195E-01,+1.00691990E+00,+3.33213886E-01
+6.10000000E-01,+0.00000000E+00,+9.99363411E-01,+4.61469736E-01,+1.10076407E+00,+4.32593435E-01,+9.53756959E-01,+3.25678988E-01,+1.00782892E+00,+3.29055216E-01
+6.20000000E-01,+0.00000000E+00,+1.00064062E+00,+4.65133647E-01,+1.10346317E+00,+4.35122708E-01,+9.55988128E-01,+3.21921094E-01,+1.00873509E+00,+3.24814966E-01
+6.30000000E-01,+0.00000000E+00,+1.00194403E+00,+4.68993193E-01,+1.10627594E+00,+4.37789759E-01,+9.58226962E-01,+3.18069431E-01,+1.00963710E+00,+3.20491870E-01
+6.40000000E-01,+0.00000000E+00,+1.00327312E+00,+4.73062781E-01,+1.10920934E+00,+4.40604683E-01,+9.60471530E-01,+3.14121802E-01,+1.01053356E+00,+3.16084548E-01
+6.50000000E-01,+0.00000000E+00,+1.00462717E+00,+4.77358313E-01,+1.11227097E+00,+4.43578604E-01,+9.62719812E-01,+3.10075881E-01,+1.01142300E+00,+3.11591499E-01
+6.60000000E-01,+0.00000000E+00,+1.00600519E+00,+4.81897388E-01,+1.11546920E+00,+4.46723813E-01,+9.64969687E-01,+3.05929204E-01,+1.01230389E+00,+3.07011085E-01
+6.70000000E-01,+0.00000000E+00,+1.00740591E+00,+4.86699529E-01,+1.11881325E+00,+4.50053925E-01,+9.67218934E-01,+3.01679152E-01,+1.01317460E+00,+3.02341516E-01
+6.80000000E-01,+0.00000000E+00,+1.00882766E+00,+4.91786465E-01,+1.12231331E+00,+4.53584067E-01,+9.69465222E-01,+2.97322933E-01,+1.01403340E+00,+2.97580831E-01
+6.90000000E-01,+0.00000000E+00,+1.01026831E+00,+4.97182445E-01,+1.12598065E+00,+4.57331097E-01,+9.71706100E-01,+2.92857568E-01,+1.01487847E+00,+2.92726881E-01
+7.00000000E-01,+0.00000000E+00,+1.01172516E+00,+5.02914625E-01,+1.12982782E+00,+4.61313862E-01,+9.73938989E-01,+2.88279859E-01,+1.01570785E+00,+2.87777300E-01
+7.10000000E-01,+0.00000000E+00,+1.01319480E+00,+5.09013512E-01,+1.13386880E+00,+4.65553506E-01,+9.76161175E-01,+2.83586373E-01,+1.01651949E+00,+2.82729485E-01
+7.20000000E-01,+0.00000000E+00,+1.01467295E+00,+5.15513511E-01,+1.13811923E+00,+4.70073838E-01,+9.78369792E-01,+2.78773404E-01,+1.01731119E+00,+2.77580558E-01
+7.30000000E-01,+0.00000000E+00,+1.01615422E+00,+5.22453571E-01,+1.14259666E+00,+4.74901772E-01,+9.80561814E-01,+2.73836941E-01,+1.01808062E+00,+2.72327335E-01
+7.40000000E-01,+0.00000000E+00,+1.01763187E+00,+5.29877966E-01,+1.14732091E+00,+4.80067862E-01,+9.82734036E-01,+2.68772625E-01,+1.01882526E+00,+2.66966278E-01
+7.50000000E-01,+0.00000000E+00,+1.01909743E+00,+5.37837249E-01,+1.15231440E+00,+4.85606953E-01,+9.84883058E-01,+2.63575699E-01,+1.01954244E+00,+2.61493449E-01
+7.60000000E-01,+0.00000000E+00,+1.02054026E+00,+5.46389421E-01,+1.15760262E+00,+4.91558977E-01,+9.87005267E-01,+2.58240950E-01,+1.02022928E+00,+2.55904445E-01
+7.70000000E-01,+0.00000000E+00,+1.02194695E+00,+5.55601363E-01,+1.16321470E+00,+4.97969935E-01,+9.89096810E-01,+2.52762636E-01,+1.02088268E+00,+2.50194333E-01
+7.80000000E-01,+0.00000000E+00,+1.02330056E+00,+5.65550627E-01,+1.16918414E+00,+5.04893130E-01,+9.91153568E-01,+2.47134404E-01,+1.02149929E+00,+2.44357555E-01
+7.90000000E-01,+0.00000000E+00,+1.02457955E+00,+5.76327675E-01,+1.17554959E+00,+5.12390705E-01,+9.93171122E-01,+2.41349185E-01,+1.02207549E+00,+2.38387833E-01
+8.00000000E-01,+0.00000000E+00,+1.02575642E+00,+5.88038706E-01,+1.18235602E+00,+5.20535606E-01,+9.95144716E-01,+2.35399065E-01,+1.02260732E+00,+2.32278033E-01
+8.10000000E-01,+0.00000000E+00,+1.02679582E+00,+6.00809276E-01,+1.18965601E+00,+5.29414092E-01,+9.97069204E-01,+2.29275135E-01,+1.02309046E+00,+2.26020015E-01
+8.20000000E-01,+0.00000000E+00,+1.02765194E+00,+6.14788955E-01,+1.19751158E+00,+5.39129005E-01,+9.98938998E-01,+2.22967289E-01,+1.02352017E+00,+2.19604431E-01
+8.30000000E-01,+0.00000000E+00,+1.02826494E+00,+6.30157416E-01,+1.20599633E+00,+5.49804060E-01,+1.00074799E+00,+2.16463986E-01,+1.02389121E+00,+2.13020485E-01
+8.40000000E-01,+0.00000000E+00,+1.02855577E+00,+6.47132462E-01,+1.21519850E+00,+5.61589582E-01,+1.00248947E+00,+2.09751933E-01,+1.02419774E+00,+2.06255617E-01
+8.50000000E-01,+0.00000000E+00,+1.02841884E+00,+6.65980788E-01,+1.22522477E+00,+5.74670268E-01,+1.00415600E+00,+2.02815688E-01,+1.02443325E+00,+1.99295098E-01
+8.60000000E-01,+0.00000000E+00,+1.02771117E+00,+6.87032577E-01,+1.23620549E+00,+5.89275912E-01,+1.00573928E+00,+1.95637123E-01,+1.02459035E+00,+1.92121507E-01
+8.70000000E-01,+0.00000000E+00,+1.02623611E+00,+7.10701652E-01,+1.24830180E+00,+6.05696484E-01,+1.00722994E+00,+1.88194729E-01,+1.02466063E+00,+1.84714019E-01
+8.80000000E-01,+0.00000000E+00,+1.02371832E+00,+7.37513732E-01,+1.26171538E+00,+6.24303837E-01,+1.00861728E+00,+1.80462659E-01,+1.02463437E+00,+1.77047457E-01
+8.90000000E-01,+0.00000000E+00,+1.01976419E+00,+7.68146814E-01,+1.27670221E+00,+6.45583771E-01,+1.00988896E+00,+1.72409397E-01,+1.02450023E+00,+1.69090960E-01
+9.00000000E-01,+0.00000000E+00,+1.01379715E+00,+8.03489973E-01,+1.29359221E+00,+6.70184774E-01,+1.01103045E+00,+1.63995871E-01,+1.02424471E+00,+1.60806097E-01
