s1,s2,Re(z_ibc1_2.tm),Im(z_ibc1_2.tm),Abs(z_ibc1_2.tm),Arg(z_ibc1_2.tm),Re(z_ibc1_2.te),Im(z_ibc1_2.te),Abs(z_ibc1_2.te),Arg(z_ibc1_2.te)
+3.80000000E-01,+0.00000000E+00,+1.79338533E-02,+1.97058741E-01,+1.97873117E-01,+1.48003869E+00,+1.38514278E-03,+2.14107886E-01,+2.14112366E-01,+1.56432705E+00
+3.90000000E-01,+0.00000000E+00,+1.81366965E-02,+1.96841616E-01,+1.97675395E-01,+1.47891722E+00,+1.44166839E-03,+2.14041481E-01,+2.14046336E-01,+1.56406097E+00
+4.00000000E-01,+0.00000000E+00,+1.83485705E-02,+1.96614826E-01,+1.97469136E-01,+1.47774342E+00,+1.50071056E-03,+2.13972120E-01,+2.13977383E-01,+1.56378286E+00
+4.10000000E-01,+0.00000000E+00,+1.85698742E-02,+1.96377942E-01,+1.97253989E-01,+1.47651477E+00,+1.56238050E-03,+2.13899672E-01,+2.13905378E-01,+1.56349219E+00
+4.20000000E-01,+0.00000000E+00,+1.88010352E-02,+1.96130508E-01,+1.97029579E-01,+1.47522852E+00,+1.62679733E-03,+2.13823998E-01,+2.13830186E-01,+1.56318836E+00
+4.30000000E-01,+0.00000000E+00,+1.90425118E-02,+1.95872033E-01,+1.96795504E-01,+1.47388175E+00,+1.69408880E-03,+2.13744947E-01,+2.13751660E-01,+1.56287074E+00
+4.40000000E-01,+0.00000000E+00,+1.92947960E-02,+1.95601990E-01,+1.96551336E-01,+1.47247127E+00,+1.76439196E-03,+2.13662358E-01,+2.13669643E-01,+1.56253866E+00
+4.50000000E-01,+0.00000000E+00,+1.95584158E-02,+1.95319815E-01,+1.96296616E-01,+1.47099368E+00,+1.83785404E-03,+2.13576058E-01,+2.13583966E-01,+1.56219139E+00
+4.60000000E-01,+0.00000000E+00,+1.98339395E-02,+1.95024899E-01,+1.96030855E-01,+1.46944526E+00,+1.91463331E-03,+2.13485862E-01,+2.13494448E-01,+1.56182814E+00
+4.70000000E-01,+0.00000000E+00,+2.01219781E-02,+1.94716588E-01,+1.95753528E-01,+1.46782202E+00,+1.99490011E-03,+2.13391569E-01,+2.13400894E-01,+1.56144806E+00
+4.80000000E-01,+0.00000000E+00,+2.04231903E-02,+1.94394178E-01,+1.95464071E-01,+1.46611962E+00,+2.07883798E-03,+2.13292964E-01,+2.13303095E-01,+1.56105024E+00
+4.90000000E-01,+0.00000000E+00,+2.07382866E-02,+1.94056908E-01,+1.95161881E-01,+1.46433335E+00,+2.16664489E-03,+2.13189815E-01,+2.13200824E-01,+1.56063369E+00
+5.00000000E-01,+0.00000000E+00,+2.10680342E-02,+1.93703957E-01,+1.94846311E-01,+1.46245810E+00,+2.25853465E-03,+2.13081869E-01,+2.13093839E-01,+1.56019735E+00
+5.10000000E-01,+0.00000000E+00,+2.14132629E-02,+1.93334437E-01,+1.94516663E-01,+1.46048830E+00,+2.35473849E-03,+2.12968857E-01,+2.12981874E-01,+1.55974005E+00
+5.20000000E-01,+0.00000000E+00,+2.17748711E-02,+1.92947387E-01,+1.94172189E-01,+1.45841787E+00,+2.45550680E-03,+2.12850482E-01,+2.12864646E-01,+1.55926054E+00
+5.30000000E-01,+0.00000000E+00,+2.21538334E-02,+1.92541763E-01,+1.93812082E-01,+1.45624020E+00,+2.56111113E-03,+2.12726428E-01,+2.12741844E-01,+1.55875745E+00
+5.40000000E-01,+0.00000000E+00,+2.25512079E-02,+1.92116435E-01,+1.93435471E-01,+1.45394802E+00,+2.67184640E-03,+2.12596346E-01,+2.12613135E-01,+1.55822929E+00
+5.50000000E-01,+0.00000000E+00,+2.29681461E-02,+1.91670168E-01,+1.93041418E-01,+1.45153340E+00,+2.78803343E-03,+2.12459861E-01,+2.12478154E-01,+1.55767444E+00
+5.60000000E-01,+0.00000000E+00,+2.34059023E-02,+1.91201622E-01,+1.92628909E-01,+1.44898760E+00,+2.91002180E-03,+2.12316562E-01,+2.12336504E-01,+1.55709113E+00
+5.70000000E-01,+0.00000000E+00,+2.38658459E-02,+1.90709331E-01,+1.92196846E-01,+1.44630101E+00,+3.03819311E-03,+2.12166001E-01,+2.12187754E-01,+1.55647742E+00
+5.80000000E-01,+0.00000000E+00,+2.43494743E-02,+1.90191692E-01,+1.91744039E-01,+1.44346304E+00,+3.17296466E-03,+2.12007688E-01,+2.12031430E-01,+1.55583117E+00
+5.90000000E-01,+0.00000000E+00,+2.48584283E-02,+1.89646950E-01,+1.91269201E-01,+1.44046198E+00,+3.31479367E-03,+2.11841086E-01,+2.11867018E-01,+1.55515006E+00
+6.00000000E-01,+0.00000000E+00,+2.53945093E-02,+1.89073178E-01,+1.90770930E-01,+1.43728484E+00,+3.46418216E-03,+2.11665604E-01,+2.11693950E-01,+1.55443149E+00
+6.10000000E-01,+0.00000000E+00,+2.59596994E-02,+1.88468254E-01,+1.90247704E-01,+1.43391720E+00,+3.62168246E-03,+2.11480596E-01,+2.11511605E-01,+1.55367264E+00
+6.20000000E-01,+0.00000000E+00,+2.65561843E-02,+1.87829840E-01,+1.89697864E-01,+1.43034299E+00,+3.78790369E-03,+2.11285345E-01,+2.11319296E-01,+1.55287034E+00
+6.30000000E-01,+0.00000000E+00,+2.71863802E-02,+1.87155350E-01,+1.89119603E-01,+1.42654425E+00,+3.96351915E-03,+2.11079060E-01,+2.11116269E-01,+1.55202112E+00
+6.40000000E-01,+0.00000000E+00,+2.78529644E-02,+1.86441921E-01,+1.88510948E-01,+1.42250088E+00,+4.14927497E-03,+2.10860866E-01,+2.10901686E-01,+1.55112108E+00
+6.50000000E-01,+0.00000000E+00,+2.85589119E-02,+1.85686368E-01,+1.87869739E-01,+1.41819025E+00,+4.34600017E-03,+2.10629789E-01,+2.10674621E-01,+1.55016589E+00
+6.60000000E-01,+0.00000000E+00,+2.93075373E-02,+1.84885147E-01,+1.87193614E-01,+1.41358686E+00,+4.55461843E-03,+2.10384745E-01,+2.10434041E-01,+1.54915071E+00
+6.70000000E-01,+0.00000000E+00,+3.01025446E-02,+1.84034293E-01,+1.86479983E-01,+1.40866183E+00,+4.77616199E-03,+2.10124521E-01,+2.10178796E-01,+1.54807009E+00
+6.80000000E-01,+0.00000000E+00,+3.09480860E-02,+1.83129364E-01,+1.85726003E-01,+1.40338236E+00,+5.01178796E-03,+2.09847759E-01,+2.09907599E-01,+1.54691790E+00
+6.90000000E-01,+0.00000000E+00,+3.18488317E-02,+1.82165365E-01,+1.84928549E-01,+1.39771103E+00,+5.26279777E-03,+2.09552931E-01,+2.09619007E-01,+1.54568720E+00
+7.00000000E-01,+0.00000000E+00,+3.28100526E-02,+1.81136656E-01,+1.84084187E-01,+1.39160495E+00,+5.53066033E-03,+2.09238312E-01,+2.09311393E-01,+1.54437013E+00
+7.10000000E-01,+0.00000000E+00,+3.38377205E-02,+1.80036849E-01,+1.83189133E-01,+1.38501480E+00,+5.81703977E-03,+2.08901948E-01,+2.08982922E-01,+1.54295773E+00
+7.20000000E-01,+0.00000000E+00,+3.49386277E-02,+1.78858677E-01,+1.82239222E-01,+1.37788351E+00,+6.12382899E-03,+2.08541617E-01,+2.08631511E-01,+1.54143974E+00
+7.30000000E-01,+0.00000000E+00,+3.61205333E-02,+1.77593841E-01,+1.81229869E-01,+1.37014479E+00,+6.45319022E-03,+2.08154780E-01,+2.08254787E-01,+1.53980437E+00
+7.40000000E-01,+0.00000000E+00,+3.73923408E-02,+1.76232816E-01,+1.80156023E-01,+1.36172114E+00,+6.80760470E-03,+2.07738525E-01,+2.07850038E-01,+1.53803799E+00
+7.50000000E-01,+0.00000000E+00,+3.87643174E-02,+1.74764620E-01,+1.79012135E-01,+1.35252145E+00,+7.18993361E-03,+2.07289492E-01,+2.07414148E-01,+1.53612476E+00
+7.60000000E-01,+0.00000000E+00,+4.02483648E-02,+1.73176522E-01,+1.77792122E-01,+1.34243799E+00,+7.60349370E-03,+2.06803789E-01,+2.06943519E-01,+1.53404618E+00
+7.70000000E-01,+0.00000000E+00,+4.18583577E-02,+1.71453682E-01,+1.76489340E-01,+1.33134241E+00,+8.05215155E-03,+2.06276875E-01,+2.06433976E-01,+1.53178049E+00
+7.80000000E-01,+0.00000000E+00,+4.36105704E-02,+1.69578695E-01,+1.75096589E-01,+1.31908080E+00,+8.54044242E-03,+2.05703428E-01,+2.05880643E-01,+1.52930193E+00
+7.90000000E-01,+0.00000000E+00,+4.55242181E-02,+1.67531009E-01,+1.73606144E-01,+1.30546709E+00,+9.07372120E-03,+2.05077162E-01,+2.05277799E-01,+1.52657976E+00
+8.00000000E-01,+0.00000000E+00,+4.76221529E-02,+1.65286185E-01,+1.72009862E-01,+1.29027451E+00,+9.65835628E-03,+2.04390602E-01,+2.04618675E-01,+1.52357705E+00
+8.10000000E-01,+0.00000000E+00,+4.99317660E-02,+1.62814932E-01,+1.70299393E-01,+1.27322420E+00,+1.03019811E-02,+2.03634791E-01,+2.03895215E-01,+1.52024894E+00
+8.20000000E-01,+0.00000000E+00,+5.24861737E-02,+1.60081837E-01,+1.68466593E-01,+1.25397001E+00,+1.10138245E-02,+2.02798896E-01,+2.03097751E-01,+1.51654053E+00
+8.30000000E-01,+0.00000000E+00,+5.53257953E-02,+1.57043682E-01,+1.66504239E-01,+1.23207791E+00,+1.18051505E-02,+2.01869699E-01,+2.02214582E-01,+1.51238379E+00
+8.40000000E-01,+0.00000000E+00,+5.85004827E-02,+1.53647165E-01,+1.64407292E-01,+1.20699795E+00,+1.26898522E-02,+2.00830899E-01,+2.01231415E-01,+1.50769347E+00
+8.50000000E-01,+0.00000000E+00,+6.20724422E-02,+1.49825781E-01,+1.62175068E-01,+1.17802563E+00,+1.36852654E-02,+1.99662154E-01,+2.00130613E-01,+1.50236125E+00
+8.60000000E-01,+0.00000000E+00,+6.61203143E-02,+1.45495463E-01,+1.59814974E-01,+1.14424851E+00,+1.48133060E-02,+1.98337753E-01,+1.98890166E-01,+1.49624746E+00
+8.70000000E-01,+0.00000000E+00,+7.07449834E-02,+1.40548376E-01,+1.57348971E-01,+1.10447255E+00,+1.61020892E-02,+1.96824713E-01,+1.97482264E-01,+1.48916882E+00
+8.80000000E-01,+0.00000000E+00,+7.60780407E-02,+1.34843877E-01,+1.54824867E-01,+1.05712133E+00,+1.75882880E-02,+1.95080017E-01,+1.95871287E-01,+1.48088008E+00
+8.90000000E-01,+0.00000000E+00,+8.22944287E-02,+1.28195015E-01,+1.52336256E-01,+1.00010299E+00,+1.93206571E-02,+1.93046487E-01,+1.94010912E-01,+1.47104557E+00
+9.00000000E-01,+0.00000000E+00,+8.96318945E-02,+1.20347762E-01,+1.50058189E-01,+9.30648199E-01,+2.13654548E-02,+1.90646424E-01,+1.91839885E-01,+1.45919351E+00
+9.10000000E-01,+0.00000000E+00,+9.84219515E-02,+1.10947963E-01,+1.48311601E-01,+8.45154117E-01,+2.38150724E-02,+1.87771507E-01,+1.89275715E-01,+1.44463983E+00
+9.20000000E-01,+0.00000000E+00,+1.09141160E-01,+9.94866216E-02,+1.47679994E-01,+7.39154774E-01,+2.68023263E-02,+1.84266051E-01,+1.86205108E-01,+1.42635479E+00
+9.30000000E-01,+0.00000000E+00,+1.22500199E-01,+8.52048812E-02,+1.49218533E-01,+6.07732412E-01,+3.05252839E-02,+1.79897947E-01,+1.82469352E-01,+1.40271612E+00
+9.40000000E-01,+0.00000000E+00,+1.39607757E-01,+6.69192723E-02,+1.54817683E-01,+4.46981621E-01,+3.52929442E-02,+1.74305206E-01,+1.77842337E-01,+1.37101935E+00
+9.50000000E-01,+0.00000000E+00,+1.62294525E-01,+4.26764233E-02,+1.67811769E-01,+2.57135488E-01,+4.16155432E-02,+1.66890336E-01,+1.72000691E-01,+1.32642141E+00
+9.60000000E-01,+0.00000000E+00,+1.93815209E-01,+9.00539721E-03,+1.94024309E-01,+4.64304379E-02,+5.04002337E-02,+1.56591634E-01,+1.64502655E-01,+1.25940909E+00
+9.70000000E-01,+0.00000000E+00,+2.40567389E-01,-4.09112684E-02,+2.44021311E-01,-1.68450000E-01,+6.34302199E-02,+1.41323686E-01,+1.54905703E-01,+1.14891633E+00
+9.80000000E-01,+0.00000000E+00,+3.17092339E-01,-1.22551670E-01,+3.39950678E-01,-3.68802150E-01,+8.47588462E-02,+1.16351621E-01,+1.43950553E-01,+9.41216391E-01
+9.90000000E-01,+0.00000000E+00,+4.65081437E-01,-2.80207513E-01,+5.42970527E-01,-5.42249315E-01,+1.26008640E-01,+6.81251794E-02,+1.43245305E-01,+4.95627831E-01
+1.00000000E+00,+0.00000000E+00,+8.72208229E-01,-7.12398338E-01,+1.12616987E+00,-6.84886549E-01,+2.39510005E-01,-6.41001393E-02,+2.47939247E-01,-2.61501852E-01
