s1,s2,Re(z_ex.tm),Im(z_ex.tm),Abs(z_ex.tm),Arg(z_ex.tm),Re(z_ex.te),Im(z_ex.te),Abs(z_ex.te),Arg(z_ex.te)
+1.60000000E-01,+0.00000000E+00,+5.85672154E-03,+2.09824341E-01,+2.09906063E-01,+1.54289107E+00,+3.17627580E-03,+2.12586099E-01,+2.12609826E-01,+1.55585631E+00
+1.70000000E-01,+0.00000000E+00,+6.20172694E-03,+2.09458015E-01,+2.09549807E-01,+1.54119653E+00,+3.17590093E-03,+2.12575625E-01,+2.12599348E-01,+1.55585734E+00
+1.80000000E-01,+0.00000000E+00,+6.56760542E-03,+2.09069529E-01,+2.09172659E-01,+1.53939315E+00,+3.17550340E-03,+2.12564517E-01,+2.12588235E-01,+1.55585843E+00
+1.90000000E-01,+0.00000000E+00,+6.95435060E-03,+2.08658888E-01,+2.08774746E-01,+1.53747986E+00,+3.17508325E-03,+2.12552776E-01,+2.12576489E-01,+1.55585958E+00
+2.00000000E-01,+0.00000000E+00,+7.36195570E-03,+2.08226101E-01,+2.08356204E-01,+1.53545546E+00,+3.17464047E-03,+2.12540402E-01,+2.12564110E-01,+1.55586079E+00
+2.10000000E-01,+0.00000000E+00,+7.79041359E-03,+2.07771176E-01,+2.07917176E-01,+1.53331872E+00,+3.17417509E-03,+2.12527395E-01,+2.12551098E-01,+1.55586207E+00
+2.20000000E-01,+0.00000000E+00,+8.23971679E-03,+2.07294120E-01,+2.07457815E-01,+1.53106832E+00,+3.17368711E-03,+2.12513756E-01,+2.12537453E-01,+1.55586341E+00
+2.30000000E-01,+0.00000000E+00,+8.70985743E-03,+2.06794943E-01,+2.06978284E-01,+1.52870288E+00,+3.17317657E-03,+2.12499485E-01,+2.12523176E-01,+1.55586480E+00
+2.40000000E-01,+0.00000000E+00,+9.20082729E-03,+2.06273654E-01,+2.06478753E-01,+1.52622092E+00,+3.17264346E-03,+2.12484582E-01,+2.12508266E-01,+1.55586627E+00
+2.50000000E-01,+0.00000000E+00,+9.71261780E-03,+2.05730262E-01,+2.05959403E-01,+1.52362091E+00,+3.17208781E-03,+2.12469048E-01,+2.12492725E-01,+1.55586779E+00
+2.60000000E-01,+0.00000000E+00,+1.02452200E-02,+2.05164777E-01,+2.05420424E-01,+1.52090123E+00,+3.17150964E-03,+2.12452882E-01,+2.12476553E-01,+1.55586937E+00
+2.70000000E-01,+0.00000000E+00,+1.07986246E-02,+2.04577210E-01,+2.04862015E-01,+1.51806019E+00,+3.17090897E-03,+2.12436085E-01,+2.12459749E-01,+1.55587102E+00
+2.80000000E-01,+0.00000000E+00,+1.13728220E-02,+2.03967572E-01,+2.04284388E-01,+1.51509601E+00,+3.17028581E-03,+2.12418658E-01,+2.12442315E-01,+1.55587273E+00
+2.90000000E-01,+0.00000000E+00,+1.19678021E-02,+2.03335872E-01,+2.03687764E-01,+1.51200684E+00,+3.16964019E-03,+2.12400601E-01,+2.12424250E-01,+1.55587450E+00
+3.00000000E-01,+0.00000000E+00,+1.25835545E-02,+2.02682124E-01,+2.03072375E-01,+1.50879074E+00,+3.16897213E-03,+2.12381914E-01,+2.12405555E-01,+1.55587633E+00
+3.10000000E-01,+0.00000000E+00,+1.32200685E-02,+2.02006339E-01,+2.02438463E-01,+1.50544569E+00,+3.16828164E-03,+2.12362598E-01,+2.12386231E-01,+1.55587823E+00
+3.20000000E-01,+0.00000000E+00,+1.38773331E-02,+2.01308530E-01,+2.01786284E-01,+1.50196957E+00,+3.16756876E-03,+2.12342653E-01,+2.12366277E-01,+1.55588018E+00
+3.30000000E-01,+0.00000000E+00,+1.45553366E-02,+2.00588708E-01,+2.01116105E-01,+1.49836019E+00,+3.16683349E-03,+2.12322080E-01,+2.12345695E-01,+1.55588220E+00
+3.40000000E-01,+0.00000000E+00,+1.52540674E-02,+1.99846888E-01,+2.00428205E-01,+1.49461527E+00,+3.16607588E-03,+2.12300878E-01,+2.12324485E-01,+1.55588428E+00
+3.50000000E-01,+0.00000000E+00,+1.59735133E-02,+1.99083083E-01,+1.99722875E-01,+1.49073243E+00,+3.16529594E-03,+2.12279049E-01,+2.12302646E-01,+1.55588642E+00
+3.60000000E-01,+0.00000000E+00,+1.67136617E-02,+1.98297306E-01,+1.99000422E-01,+1.48670920E+00,+3.16449369E-03,+2.12256593E-01,+2.12280181E-01,+1.55588862E+00
+3.70000000E-01,+0.00000000E+00,+1.74744998E-02,+1.97489573E-01,+1.98261165E-01,+1.48254302E+00,+3.16366917E-03,+2.12233510E-01,+2.12257088E-01,+1.55589088E+00
+3.80000000E-01,+0.00000000E+00,+1.82560142E-02,+1.96659897E-01,+1.97505436E-01,+1.47823122E+00,+3.16282240E-03,+2.12209801E-01,+2.12233369E-01,+1.55589321E+00
+3.90000000E-01,+0.00000000E+00,+1.90581915E-02,+1.95808295E-01,+1.96733584E-01,+1.47377107E+00,+3.16195340E-03,+2.12185466E-01,+2.12209024E-01,+1.55589559E+00
+4.00000000E-01,+0.00000000E+00,+1.98810177E-02,+1.94934781E-01,+1.95945971E-01,+1.46915970E+00,+3.16106221E-03,+2.12160506E-01,+2.12184054E-01,+1.55589804E+00
+4.10000000E-01,+0.00000000E+00,+2.07244785E-02,+1.94039371E-01,+1.95142977E-01,+1.46439416E+00,+3.16014886E-03,+2.12134922E-01,+2.12158459E-01,+1.55590055E+00
