s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+4.10000000E-01,+0.00000000E+00,+9.53907758E-01,+4.25344171E-01,+1.04444132E+00,+4.19436252E-01,+9.32997683E-01,+3.75087525E-01,+1.00557214E+00,+3.82250045E-01
+4.20000000E-01,+0.00000000E+00,+9.55799819E-01,+4.26338383E-01,+1.04657427E+00,+4.19567632E-01,+9.33687453E-01,+3.73293019E-01,+1.00554460E+00,+3.80338361E-01
+4.30000000E-01,+0.00000000E+00,+9.57756627E-01,+4.27381372E-01,+1.04878625E+00,+4.19715793E-01,+9.34393847E-01,+3.71444551E-01,+1.00551624E+00,+3.78370602E-01
+4.40000000E-01,+0.00000000E+00,+9.59779991E-01,+4.28475723E-01,+1.05107996E+00,+4.19882140E-01,+9.35116862E-01,+3.69541187E-01,+1.00548706E+00,+3.76345888E-01
+4.50000000E-01,+0.00000000E+00,+9.61871825E-01,+4.29624213E-01,+1.05345829E+00,+4.20068181E-01,+9.35856494E-01,+3.67581944E-01,+1.00545704E+00,+3.74263296E-01
+4.60000000E-01,+0.00000000E+00,+9.64034164E-01,+4.30829830E-01,+1.05592434E+00,+4.20275536E-01,+9.36612740E-01,+3.65565794E-01,+1.00542617E+00,+3.72121854E-01
+4.70000000E-01,+0.00000000E+00,+9.66269164E-01,+4.32095789E-01,+1.05848140E+00,+4.20505946E-01,+9.37385597E-01,+3.63491653E-01,+1.00539442E+00,+3.69920539E-01
+4.80000000E-01,+0.00000000E+00,+9.68579120E-01,+4.33425559E-01,+1.06113299E+00,+4.20761284E-01,+9.38175060E-01,+3.61358383E-01,+1.00536179E+00,+3.67658276E-01
+4.90000000E-01,+0.00000000E+00,+9.70966470E-01,+4.34822881E-01,+1.06388290E+00,+4.21043570E-01,+9.38981125E-01,+3.59164789E-01,+1.00532825E+00,+3.65333934E-01
+5.00000000E-01,+0.00000000E+00,+9.73433807E-01,+4.36291798E-01,+1.06673516E+00,+4.21354981E-01,+9.39803784E-01,+3.56909609E-01,+1.00529380E+00,+3.62946319E-01
+5.10000000E-01,+0.00000000E+00,+9.75983896E-01,+4.37836685E-01,+1.06969413E+00,+4.21697868E-01,+9.40643032E-01,+3.54591518E-01,+1.00525840E+00,+3.60494174E-01
+5.20000000E-01,+0.00000000E+00,+9.78619683E-01,+4.39462280E-01,+1.07276446E+00,+4.22074774E-01,+9.41498862E-01,+3.52209119E-01,+1.00522205E+00,+3.57976173E-01
+5.30000000E-01,+0.00000000E+00,+9.81344308E-01,+4.41173724E-01,+1.07595116E+00,+4.22488451E-01,+9.42371265E-01,+3.49760939E-01,+1.00518472E+00,+3.55390917E-01
+5.40000000E-01,+0.00000000E+00,+9.84161129E-01,+4.42976605E-01,+1.07925965E+00,+4.22941883E-01,+9.43260233E-01,+3.47245422E-01,+1.00514638E+00,+3.52736927E-01
+5.50000000E-01,+0.00000000E+00,+9.87073734E-01,+4.44877002E-01,+1.08269576E+00,+4.23438311E-01,+9.44165754E-01,+3.44660927E-01,+1.00510702E+00,+3.50012638E-01
+5.60000000E-01,+0.00000000E+00,+9.90085962E-01,+4.46881543E-01,+1.08626577E+00,+4.23981259E-01,+9.45087819E-01,+3.42005718E-01,+1.00506661E+00,+3.47216398E-01
+5.70000000E-01,+0.00000000E+00,+9.93201929E-01,+4.48997465E-01,+1.08997651E+00,+4.24574565E-01,+9.46026413E-01,+3.39277957E-01,+1.00502513E+00,+3.44346452E-01
+5.80000000E-01,+0.00000000E+00,+9.96426046E-01,+4.51232686E-01,+1.09383536E+00,+4.25222418E-01,+9.46981524E-01,+3.36475700E-01,+1.00498254E+00,+3.41400942E-01
+5.90000000E-01,+0.00000000E+00,+9.99763056E-01,+4.53595888E-01,+1.09785035E+00,+4.25929397E-01,+9.47953135E-01,+3.33596883E-01,+1.00493882E+00,+3.38377894E-01
+6.00000000E-01,+0.00000000E+00,+1.00321805E+00,+4.56096604E-01,+1.10203021E+00,+4.26700516E-01,+9.48941230E-01,+3.30639317E-01,+1.00489393E+00,+3.35275213E-01
+6.10000000E-01,+0.00000000E+00,+1.00679653E+00,+4.58745329E-01,+1.10638444E+00,+4.27541281E-01,+9.49945789E-01,+3.27600673E-01,+1.00484785E+00,+3.32090664E-01
+6.20000000E-01,+0.00000000E+00,+1.01050441E+00,+4.61553644E-01,+1.11092345E+00,+4.28457743E-01,+9.50966792E-01,+3.24478473E-01,+1.00480054E+00,+3.28821871E-01
+6.30000000E-01,+0.00000000E+00,+1.01434807E+00,+4.64534355E-01,+1.11565863E+00,+4.29456574E-01,+9.52004216E-01,+3.21270075E-01,+1.00475195E+00,+3.25466294E-01
+6.40000000E-01,+0.00000000E+00,+1.01833444E+00,+4.67701661E-01,+1.12060247E+00,+4.30545148E-01,+9.53058034E-01,+3.17972661E-01,+1.00470206E+00,+3.22021221E-01
+6.50000000E-01,+0.00000000E+00,+1.02247101E+00,+4.71071350E-01,+1.12576871E+00,+4.31731629E-01,+9.54128220E-01,+3.14583215E-01,+1.00465081E+00,+3.18483748E-01
+6.60000000E-01,+0.00000000E+00,+1.02676589E+00,+4.74661020E-01,+1.13117252E+00,+4.33025086E-01,+9.55214740E-01,+3.11098507E-01,+1.00459817E+00,+3.14850760E-01
+6.70000000E-01,+0.00000000E+00,+1.03122792E+00,+4.78490353E-01,+1.13683070E+00,+4.34435620E-01,+9.56317562E-01,+3.07515073E-01,+1.00454408E+00,+3.11118911E-01
+6.80000000E-01,+0.00000000E+00,+1.03586670E+00,+4.82581427E-01,+1.14276185E+00,+4.35974514E-01,+9.57436646E-01,+3.03829186E-01,+1.00448848E+00,+3.07284600E-01
