s1,s2,Re(r_ibc0.11),Im(r_ibc0.11),Abs(r_ibc0.11),Arg(r_ibc0.11),Re(r_ibc0.21),Im(r_ibc0.21),Abs(r_ibc0.21),Arg(r_ibc0.21),Re(r_ibc0.12),Im(r_ibc0.12),Abs(r_ibc0.12),Arg(r_ibc0.12),Re(r_ibc0.22),Im(r_ibc0.22),Abs(r_ibc0.22),Arg(r_ibc0.22)
+3.00000000E-02,+0.00000000E+00,+1.55469182E-01,+9.87840743E-01,+1.00000000E+00,+1.41469393E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56347701E-01,+9.87702079E-01,+1.00000000E+00,+1.41380454E+00
+3.10000000E-02,+0.00000000E+00,+1.55439392E-01,+9.87845431E-01,+1.00000000E+00,+1.41472409E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56377483E-01,+9.87697364E-01,+1.00000000E+00,+1.41377439E+00
+3.20000000E-02,+0.00000000E+00,+1.55408622E-01,+9.87850272E-01,+1.00000000E+00,+1.41475524E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56408243E-01,+9.87692493E-01,+1.00000000E+00,+1.41374324E+00
+3.30000000E-02,+0.00000000E+00,+1.55376873E-01,+9.87855266E-01,+1.00000000E+00,+1.41478738E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56439981E-01,+9.87687467E-01,+1.00000000E+00,+1.41371111E+00
+3.40000000E-02,+0.00000000E+00,+1.55344145E-01,+9.87860414E-01,+1.00000000E+00,+1.41482051E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56472698E-01,+9.87682284E-01,+1.00000000E+00,+1.41367798E+00
+3.50000000E-02,+0.00000000E+00,+1.55310437E-01,+9.87865714E-01,+1.00000000E+00,+1.41485463E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56506393E-01,+9.87676946E-01,+1.00000000E+00,+1.41364387E+00
+3.60000000E-02,+0.00000000E+00,+1.55275750E-01,+9.87871166E-01,+1.00000000E+00,+1.41488974E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56541067E-01,+9.87671451E-01,+1.00000000E+00,+1.41360876E+00
+3.70000000E-02,+0.00000000E+00,+1.55240082E-01,+9.87876772E-01,+1.00000000E+00,+1.41492585E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56576720E-01,+9.87665799E-01,+1.00000000E+00,+1.41357266E+00
+3.80000000E-02,+0.00000000E+00,+1.55203434E-01,+9.87882531E-01,+1.00000000E+00,+1.41496295E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56613352E-01,+9.87659991E-01,+1.00000000E+00,+1.41353557E+00
+3.90000000E-02,+0.00000000E+00,+1.55165805E-01,+9.87888441E-01,+1.00000000E+00,+1.41500104E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,-0.00000000E+00,-0.00000000E+00,+0.00000000E+00,-3.14159265E+00,+1.56650963E-01,+9.87654026E-01,+1.00000000E+00,+1.41349749E+00
