s1,s2,Re(r_ex.tm),Im(r_ex.tm),Abs(r_ex.tm),Arg(r_ex.tm),Re(r_ex.te),Im(r_ex.te),Abs(r_ex.te),Arg(r_ex.te)
+6.90000000E-02,+0.00000000E+00,+1.44331007E-01,-9.89529464E-01,+1.00000000E+00,-1.42595946E+00,+1.47835985E-01,-9.89011892E-01,+1.00000000E+00,-1.42241647E+00
+7.00000000E-02,+0.00000000E+00,+1.43950544E-01,-9.89584883E-01,+1.00000000E+00,-1.42634394E+00,+1.47558520E-01,-9.89053327E-01,+1.00000000E+00,-1.42269701E+00
+7.10000000E-02,+0.00000000E+00,+1.43564493E-01,-9.89640963E-01,+1.00000000E+00,-1.42673404E+00,+1.47276987E-01,-9.89095288E-01,+1.00000000E+00,-1.42298166E+00
+7.20000000E-02,+0.00000000E+00,+1.43172847E-01,-9.89697699E-01,+1.00000000E+00,-1.42712977E+00,+1.46991381E-01,-9.89137773E-01,+1.00000000E+00,-1.42327040E+00
+7.30000000E-02,+0.00000000E+00,+1.42775603E-01,-9.89755084E-01,+1.00000000E+00,-1.42753114E+00,+1.46701700E-01,-9.89180778E-01,+1.00000000E+00,-1.42356326E+00
+7.40000000E-02,+0.00000000E+00,+1.42372754E-01,-9.89813113E-01,+1.00000000E+00,-1.42793815E+00,+1.46407939E-01,-9.89224300E-01,+1.00000000E+00,-1.42386023E+00
+7.50000000E-02,+0.00000000E+00,+1.41964297E-01,-9.89871779E-01,+1.00000000E+00,-1.42835080E+00,+1.46110097E-01,-9.89268336E-01,+1.00000000E+00,-1.42416131E+00
+7.60000000E-02,+0.00000000E+00,+1.41550226E-01,-9.89931075E-01,+1.00000000E+00,-1.42876909E+00,+1.45808168E-01,-9.89312882E-01,+1.00000000E+00,-1.42446651E+00
+7.70000000E-02,+0.00000000E+00,+1.41130535E-01,-9.89990996E-01,+1.00000000E+00,-1.42919304E+00,+1.45502150E-01,-9.89357935E-01,+1.00000000E+00,-1.42477582E+00
+7.80000000E-02,+0.00000000E+00,+1.40705220E-01,-9.90051535E-01,+1.00000000E+00,-1.42962264E+00,+1.45192039E-01,-9.89403493E-01,+1.00000000E+00,-1.42508926E+00
+7.90000000E-02,+0.00000000E+00,+1.40274274E-01,-9.90112684E-01,+1.00000000E+00,-1.43005790E+00,+1.44877831E-01,-9.89449551E-01,+1.00000000E+00,-1.42540683E+00
+8.00000000E-02,+0.00000000E+00,+1.39837693E-01,-9.90174439E-01,+1.00000000E+00,-1.43049883E+00,+1.44559522E-01,-9.89496106E-01,+1.00000000E+00,-1.42572852E+00
+8.10000000E-02,+0.00000000E+00,+1.39395472E-01,-9.90236791E-01,+1.00000000E+00,-1.43094543E+00,+1.44237110E-01,-9.89543155E-01,+1.00000000E+00,-1.42605435E+00
+8.20000000E-02,+0.00000000E+00,+1.38947604E-01,-9.90299734E-01,+1.00000000E+00,-1.43139770E+00,+1.43910589E-01,-9.89590694E-01,+1.00000000E+00,-1.42638431E+00
+8.30000000E-02,+0.00000000E+00,+1.38494084E-01,-9.90363261E-01,+1.00000000E+00,-1.43185564E+00,+1.43579957E-01,-9.89638720E-01,+1.00000000E+00,-1.42671841E+00
+8.40000000E-02,+0.00000000E+00,+1.38034906E-01,-9.90427365E-01,+1.00000000E+00,-1.43231927E+00,+1.43245209E-01,-9.89687228E-01,+1.00000000E+00,-1.42705666E+00
+8.50000000E-02,+0.00000000E+00,+1.37570065E-01,-9.90492038E-01,+1.00000000E+00,-1.43278859E+00,+1.42906341E-01,-9.89736216E-01,+1.00000000E+00,-1.42739905E+00
+8.60000000E-02,+0.00000000E+00,+1.37099554E-01,-9.90557274E-01,+1.00000000E+00,-1.43326360E+00,+1.42563350E-01,-9.89785679E-01,+1.00000000E+00,-1.42774559E+00
+8.70000000E-02,+0.00000000E+00,+1.36623368E-01,-9.90623064E-01,+1.00000000E+00,-1.43374431E+00,+1.42216231E-01,-9.89835614E-01,+1.00000000E+00,-1.42809628E+00
+8.80000000E-02,+0.00000000E+00,+1.36141502E-01,-9.90689402E-01,+1.00000000E+00,-1.43423073E+00,+1.41864981E-01,-9.89886017E-01,+1.00000000E+00,-1.42845113E+00
+8.90000000E-02,+0.00000000E+00,+1.35653948E-01,-9.90756280E-01,+1.00000000E+00,-1.43472284E+00,+1.41509595E-01,-9.89936884E-01,+1.00000000E+00,-1.42881014E+00
+9.00000000E-02,+0.00000000E+00,+1.35160701E-01,-9.90823690E-01,+1.00000000E+00,-1.43522068E+00,+1.41150068E-01,-9.89988211E-01,+1.00000000E+00,-1.42917331E+00
+9.10000000E-02,+0.00000000E+00,+1.34661755E-01,-9.90891625E-01,+1.00000000E+00,-1.43572423E+00,+1.40786398E-01,-9.90039994E-01,+1.00000000E+00,-1.42954065E+00
+9.20000000E-02,+0.00000000E+00,+1.34157103E-01,-9.90960076E-01,+1.00000000E+00,-1.43623350E+00,+1.40418578E-01,-9.90092229E-01,+1.00000000E+00,-1.42991216E+00
+9.30000000E-02,+0.00000000E+00,+1.33646740E-01,-9.91029035E-01,+1.00000000E+00,-1.43674850E+00,+1.40046606E-01,-9.90144913E-01,+1.00000000E+00,-1.43028784E+00
+9.40000000E-02,+0.00000000E+00,+1.33130659E-01,-9.91098495E-01,+1.00000000E+00,-1.43726924E+00,+1.39670477E-01,-9.90198040E-01,+1.00000000E+00,-1.43066770E+00
+9.50000000E-02,+0.00000000E+00,+1.32608853E-01,-9.91168448E-01,+1.00000000E+00,-1.43779571E+00,+1.39290186E-01,-9.90251606E-01,+1.00000000E+00,-1.43105175E+00
+9.60000000E-02,+0.00000000E+00,+1.32081316E-01,-9.91238884E-01,+1.00000000E+00,-1.43832793E+00,+1.38905729E-01,-9.90305609E-01,+1.00000000E+00,-1.43143998E+00
+9.70000000E-02,+0.00000000E+00,+1.31548042E-01,-9.91309796E-01,+1.00000000E+00,-1.43886590E+00,+1.38517102E-01,-9.90360042E-01,+1.00000000E+00,-1.43183240E+00
+9.80000000E-02,+0.00000000E+00,+1.31009024E-01,-9.91381176E-01,+1.00000000E+00,-1.43940962E+00,+1.38124299E-01,-9.90414902E-01,+1.00000000E+00,-1.43222902E+00
