s1,s2,Re(r_ibc3.tm),Im(r_ibc3.tm),Abs(r_ibc3.tm),Arg(r_ibc3.tm),Re(r_ibc3.te),Im(r_ibc3.te),Abs(r_ibc3.te),Arg(r_ibc3.te)
+8.80000000E-02,+0.00000000E+00,+2.19220645E-01,+9.75675309E-01,+1.00000000E+00,+1.34978071E+00,+2.27252919E-01,+9.73835772E-01,+1.00000000E+00,+1.34154046E+00
+8.90000000E-02,+0.00000000E+00,+2.19120902E-01,+9.75697715E-01,+1.00000000E+00,+1.34988294E+00,+2.27337536E-01,+9.73816022E-01,+1.00000000E+00,+1.34145357E+00
+9.00000000E-02,+0.00000000E+00,+2.19020008E-01,+9.75720368E-01,+1.00000000E+00,+1.34998635E+00,+2.27423120E-01,+9.73796039E-01,+1.00000000E+00,+1.34136569E+00
+9.10000000E-02,+0.00000000E+00,+2.18917963E-01,+9.75743268E-01,+1.00000000E+00,+1.35009093E+00,+2.27509672E-01,+9.73775821E-01,+1.00000000E+00,+1.34127680E+00
+9.20000000E-02,+0.00000000E+00,+2.18814766E-01,+9.75766416E-01,+1.00000000E+00,+1.35019669E+00,+2.27597193E-01,+9.73755368E-01,+1.00000000E+00,+1.34118693E+00
+9.30000000E-02,+0.00000000E+00,+2.18710417E-01,+9.75789810E-01,+1.00000000E+00,+1.35030363E+00,+2.27685684E-01,+9.73734681E-01,+1.00000000E+00,+1.34109605E+00
+9.40000000E-02,+0.00000000E+00,+2.18604914E-01,+9.75813451E-01,+1.00000000E+00,+1.35041175E+00,+2.27775144E-01,+9.73713759E-01,+1.00000000E+00,+1.34100417E+00
+9.50000000E-02,+0.00000000E+00,+2.18498256E-01,+9.75837339E-01,+1.00000000E+00,+1.35052105E+00,+2.27865574E-01,+9.73692600E-01,+1.00000000E+00,+1.34091130E+00
+9.60000000E-02,+0.00000000E+00,+2.18390443E-01,+9.75861473E-01,+1.00000000E+00,+1.35063153E+00,+2.27956975E-01,+9.73671206E-01,+1.00000000E+00,+1.34081743E+00
+9.70000000E-02,+0.00000000E+00,+2.18281475E-01,+9.75885853E-01,+1.00000000E+00,+1.35074319E+00,+2.28049346E-01,+9.73649575E-01,+1.00000000E+00,+1.34072256E+00
+9.80000000E-02,+0.00000000E+00,+2.18171349E-01,+9.75910479E-01,+1.00000000E+00,+1.35085604E+00,+2.28142689E-01,+9.73627708E-01,+1.00000000E+00,+1.34062669E+00
+9.90000000E-02,+0.00000000E+00,+2.18060065E-01,+9.75935350E-01,+1.00000000E+00,+1.35097007E+00,+2.28237003E-01,+9.73605603E-01,+1.00000000E+00,+1.34052982E+00
+1.00000000E-01,+0.00000000E+00,+2.17947623E-01,+9.75960467E-01,+1.00000000E+00,+1.35108528E+00,+2.28332290E-01,+9.73583261E-01,+1.00000000E+00,+1.34043195E+00
+1.01000000E-01,+0.00000000E+00,+2.17834021E-01,+9.75985829E-01,+1.00000000E+00,+1.35120168E+00,+2.28428550E-01,+9.73560680E-01,+1.00000000E+00,+1.34033308E+00
+1.02000000E-01,+0.00000000E+00,+2.17719258E-01,+9.76011437E-01,+1.00000000E+00,+1.35131927E+00,+2.28525782E-01,+9.73537861E-01,+1.00000000E+00,+1.34023320E+00
+1.03000000E-01,+0.00000000E+00,+2.17603335E-01,+9.76037289E-01,+1.00000000E+00,+1.35143804E+00,+2.28623988E-01,+9.73514803E-01,+1.00000000E+00,+1.34013233E+00
+1.04000000E-01,+0.00000000E+00,+2.17486249E-01,+9.76063385E-01,+1.00000000E+00,+1.35155800E+00,+2.28723168E-01,+9.73491506E-01,+1.00000000E+00,+1.34003045E+00
+1.05000000E-01,+0.00000000E+00,+2.17367999E-01,+9.76089726E-01,+1.00000000E+00,+1.35167914E+00,+2.28823323E-01,+9.73467969E-01,+1.00000000E+00,+1.33992756E+00
+1.06000000E-01,+0.00000000E+00,+2.17248586E-01,+9.76116311E-01,+1.00000000E+00,+1.35180148E+00,+2.28924453E-01,+9.73444192E-01,+1.00000000E+00,+1.33982368E+00
+1.07000000E-01,+0.00000000E+00,+2.17128007E-01,+9.76143139E-01,+1.00000000E+00,+1.35192501E+00,+2.29026558E-01,+9.73420174E-01,+1.00000000E+00,+1.33971878E+00
+1.08000000E-01,+0.00000000E+00,+2.17006263E-01,+9.76170212E-01,+1.00000000E+00,+1.35204973E+00,+2.29129639E-01,+9.73395916E-01,+1.00000000E+00,+1.33961289E+00
+1.09000000E-01,+0.00000000E+00,+2.16883351E-01,+9.76197527E-01,+1.00000000E+00,+1.35217564E+00,+2.29233696E-01,+9.73371416E-01,+1.00000000E+00,+1.33950598E+00
+1.10000000E-01,+0.00000000E+00,+2.16759271E-01,+9.76225086E-01,+1.00000000E+00,+1.35230274E+00,+2.29338731E-01,+9.73346673E-01,+1.00000000E+00,+1.33939808E+00
+1.11000000E-01,+0.00000000E+00,+2.16634023E-01,+9.76252887E-01,+1.00000000E+00,+1.35243104E+00,+2.29444742E-01,+9.73321689E-01,+1.00000000E+00,+1.33928916E+00
+1.12000000E-01,+0.00000000E+00,+2.16507604E-01,+9.76280932E-01,+1.00000000E+00,+1.35256053E+00,+2.29551732E-01,+9.73296462E-01,+1.00000000E+00,+1.33917924E+00
+1.13000000E-01,+0.00000000E+00,+2.16380014E-01,+9.76309218E-01,+1.00000000E+00,+1.35269122E+00,+2.29659700E-01,+9.73270991E-01,+1.00000000E+00,+1.33906830E+00
+1.14000000E-01,+0.00000000E+00,+2.16251253E-01,+9.76337747E-01,+1.00000000E+00,+1.35282310E+00,+2.29768647E-01,+9.73245277E-01,+1.00000000E+00,+1.33895636E+00
+1.15000000E-01,+0.00000000E+00,+2.16121318E-01,+9.76366517E-01,+1.00000000E+00,+1.35295618E+00,+2.29878573E-01,+9.73219318E-01,+1.00000000E+00,+1.33884341E+00
+1.16000000E-01,+0.00000000E+00,+2.15990210E-01,+9.76395529E-01,+1.00000000E+00,+1.35309046E+00,+2.29989480E-01,+9.73193115E-01,+1.00000000E+00,+1.33872945E+00
+1.17000000E-01,+0.00000000E+00,+2.15857926E-01,+9.76424782E-01,+1.00000000E+00,+1.35322594E+00,+2.30101367E-01,+9.73166667E-01,+1.00000000E+00,+1.33861448E+00
+1.18000000E-01,+0.00000000E+00,+2.15724466E-01,+9.76454277E-01,+1.00000000E+00,+1.35336262E+00,+2.30214234E-01,+9.73139973E-01,+1.00000000E+00,+1.33849850E+00
+1.19000000E-01,+0.00000000E+00,+2.15589829E-01,+9.76484012E-01,+1.00000000E+00,+1.35350050E+00,+2.30328084E-01,+9.73113032E-01,+1.00000000E+00,+1.33838151E+00
+1.20000000E-01,+0.00000000E+00,+2.15454014E-01,+9.76513987E-01,+1.00000000E+00,+1.35363959E+00,+2.30442915E-01,+9.73085846E-01,+1.00000000E+00,+1.33826350E+00
